Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2019,10,GSW,Golden State Warriors,57,25,0.7,—,117.7,111.2,6.42
2019,8,DEN,Denver Nuggets,54,28,0.66,3.0,110.7,106.7,4.19
2019,25,POR,Portland Trail Blazers,53,29,0.65,4.0,114.7,110.5,4.43
2019,11,HOU,Houston Rockets,53,29,0.65,4.0,113.9,109.1,4.96
2019,29,UTA,Utah Jazz,50,32,0.61,7.0,111.7,106.5,5.28
2019,21,OKC,Oklahoma City Thunder,49,33,0.6,8.0,114.5,111.1,3.56
2019,27,SAS,San Antonio Spurs,48,34,0.58,9.0,111.7,110.0,1.8
2019,13,LAC,Los Angeles Clippers,48,34,0.58,9.0,115.1,114.3,1.09
2019,26,SAC,Sacramento Kings,39,43,0.48,18.0,114.2,115.3,-0.81
2019,14,LAL,Los Angeles Lakers,37,45,0.45,20.0,111.8,113.5,-1.33
2019,18,MIN,Minnesota Timberwolves,36,46,0.44,21.0,112.5,114.0,-1.02
2019,15,MEM,Memphis Grizzlies,33,49,0.4,24.0,103.5,106.1,-2.08
2019,19,NOP,New Orleans Pelicans,33,49,0.4,24.0,115.4,116.8,-1.1
2019,7,DAL,Dallas Mavericks,33,49,0.4,24.0,108.9,110.1,-0.87
2019,24,PHO,Phoenix Suns,19,63,0.23,38.0,107.5,116.8,-8.61
