Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2016,10,GSW,Golden State Warriors,73,9,0.89,—,114.9,104.1,10.38
2016,27,SAS,San Antonio Spurs,67,15,0.82,6.0,103.5,92.9,10.28
2016,21,OKC,Oklahoma City Thunder,55,27,0.67,18.0,110.2,102.9,7.09
2016,13,LAC,Los Angeles Clippers,53,29,0.65,20.0,104.5,100.2,4.13
2016,25,POR,Portland Trail Blazers,44,38,0.54,29.0,105.1,104.3,0.98
2016,7,DAL,Dallas Mavericks,42,40,0.51,31.0,102.3,102.6,-0.02
2016,15,MEM,Memphis Grizzlies,42,40,0.51,31.0,99.1,101.3,-2.14
2016,11,HOU,Houston Rockets,41,41,0.5,32.0,106.5,106.4,0.34
2016,29,UTA,Utah Jazz,40,42,0.49,33.0,97.7,95.9,1.84
2016,26,SAC,Sacramento Kings,33,49,0.4,40.0,106.6,109.1,-2.32
2016,8,DEN,Denver Nuggets,33,49,0.4,40.0,101.9,105.0,-2.81
2016,19,NOP,New Orleans Pelicans,30,52,0.37,43.0,102.7,106.5,-3.56
2016,18,MIN,Minnesota Timberwolves,29,53,0.35,44.0,102.4,106.0,-3.38
2016,24,PHO,Phoenix Suns,23,59,0.28,50.0,100.9,107.5,-6.32
2016,14,LAL,Los Angeles Lakers,17,65,0.21,56.0,97.3,106.9,-8.92
