Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1981,3,2723,NJN,New Jersey Nets,Rory Sparrow,"June 12, 1958",22.0,NBA,PG,15.0,,212.0,22.0,63.0,0.35,0.0,0.0,,22.0,63.0,0.35,0.35,12.0,16.0,0.75,7.0,11.0,18.0,32.0,13.0,3.0,18.0,15.0,56.0,,0.0
1982,1,2723,ATL,Atlanta Hawks,Rory Sparrow,"June 12, 1958",23.0,NBA,PG,82.0,82.0,2610.0,366.0,730.0,0.5,1.0,15.0,0.07,365.0,715.0,0.51,0.5,124.0,148.0,0.84,53.0,171.0,224.0,424.0,87.0,13.0,145.0,240.0,857.0,,0.0
1983,31,2723,TOT,Total After Trade,Rory Sparrow,"June 12, 1958",24.0,NBA,PG,81.0,58.0,2428.0,392.0,810.0,0.48,5.0,22.0,0.23,387.0,788.0,0.49,0.49,147.0,199.0,0.74,61.0,169.0,230.0,397.0,107.0,5.0,197.0,255.0,936.0,,0.0
1983,1,2723,ATL,Atlanta Hawks,Rory Sparrow,"June 12, 1958",24.0,NBA,PG,49.0,49.0,1548.0,264.0,512.0,0.52,3.0,15.0,0.2,261.0,497.0,0.52,0.52,84.0,113.0,0.74,39.0,102.0,141.0,238.0,70.0,1.0,126.0,162.0,615.0,,0.0
1983,20,2723,NYK,New York Knicks,Rory Sparrow,"June 12, 1958",24.0,NBA,PG,32.0,9.0,880.0,128.0,298.0,0.43,2.0,7.0,0.29,126.0,291.0,0.43,0.43,63.0,86.0,0.73,22.0,67.0,89.0,159.0,37.0,4.0,71.0,93.0,321.0,,0.0
1984,20,2723,NYK,New York Knicks,Rory Sparrow,"June 12, 1958",25.0,NBA,PG,79.0,74.0,2436.0,350.0,738.0,0.47,10.0,39.0,0.26,340.0,699.0,0.49,0.48,108.0,131.0,0.82,48.0,141.0,189.0,539.0,100.0,8.0,210.0,230.0,818.0,,0.0
1985,20,2723,NYK,New York Knicks,Rory Sparrow,"June 12, 1958",26.0,NBA,PG,79.0,41.0,2292.0,326.0,662.0,0.49,7.0,31.0,0.23,319.0,631.0,0.51,0.5,122.0,141.0,0.86,38.0,131.0,169.0,557.0,81.0,9.0,150.0,200.0,781.0,,0.0
1986,20,2723,NYK,New York Knicks,Rory Sparrow,"June 12, 1958",27.0,NBA,PG,74.0,74.0,2344.0,345.0,723.0,0.48,5.0,20.0,0.25,340.0,703.0,0.48,0.48,101.0,127.0,0.8,50.0,120.0,170.0,472.0,85.0,14.0,154.0,182.0,796.0,,0.0
1987,20,2723,NYK,New York Knicks,Rory Sparrow,"June 12, 1958",28.0,NBA,PG,80.0,30.0,1951.0,263.0,590.0,0.45,11.0,42.0,0.26,252.0,548.0,0.46,0.46,71.0,89.0,0.8,29.0,86.0,115.0,432.0,67.0,6.0,140.0,160.0,608.0,,0.0
1988,31,2723,TOT,Total After Trade,Rory Sparrow,"June 12, 1958",29.0,NBA,PG,58.0,25.0,1044.0,117.0,293.0,0.4,2.0,13.0,0.15,115.0,280.0,0.41,0.4,24.0,33.0,0.73,15.0,57.0,72.0,167.0,41.0,3.0,58.0,79.0,260.0,,0.0
1988,20,2723,NYK,New York Knicks,Rory Sparrow,"June 12, 1958",29.0,NBA,PG,3.0,0.0,52.0,5.0,19.0,0.26,0.0,1.0,0.0,5.0,18.0,0.28,0.26,0.0,0.0,,1.0,1.0,2.0,5.0,4.0,0.0,6.0,7.0,10.0,,0.0
1988,5,2723,CHI,Chicago Bulls,Rory Sparrow,"June 12, 1958",29.0,NBA,PG,55.0,25.0,992.0,112.0,274.0,0.41,2.0,12.0,0.17,110.0,262.0,0.42,0.41,24.0,33.0,0.73,14.0,56.0,70.0,162.0,37.0,3.0,52.0,72.0,250.0,,0.0
1989,16,2723,MIA,Miami Heat,Rory Sparrow,"June 12, 1958",30.0,NBA,PG,80.0,79.0,2613.0,444.0,982.0,0.45,18.0,74.0,0.24,426.0,908.0,0.47,0.46,94.0,107.0,0.88,55.0,161.0,216.0,429.0,103.0,17.0,204.0,168.0,1000.0,,1.0
1990,16,2723,MIA,Miami Heat,Rory Sparrow,"June 12, 1958",31.0,NBA,PG,82.0,25.0,1756.0,210.0,510.0,0.41,8.0,40.0,0.2,202.0,470.0,0.43,0.42,59.0,77.0,0.77,37.0,101.0,138.0,298.0,49.0,4.0,99.0,140.0,487.0,,0.0
1991,26,2723,SAC,Sacramento Kings,Rory Sparrow,"June 12, 1958",32.0,NBA,PG,80.0,74.0,2375.0,371.0,756.0,0.49,31.0,78.0,0.4,340.0,678.0,0.5,0.51,58.0,83.0,0.7,45.0,141.0,186.0,362.0,83.0,16.0,126.0,189.0,831.0,,0.0
1992,31,2723,TOT,Total After Trade,Rory Sparrow,"June 12, 1958",33.0,NBA,PG,46.0,0.0,489.0,58.0,151.0,0.38,3.0,15.0,0.2,55.0,136.0,0.4,0.39,8.0,13.0,0.62,3.0,25.0,28.0,83.0,12.0,5.0,33.0,57.0,127.0,,0.0
1992,5,2723,CHI,Chicago Bulls,Rory Sparrow,"June 12, 1958",33.0,NBA,PG,4.0,0.0,18.0,1.0,8.0,0.12,1.0,2.0,0.5,0.0,6.0,0.0,0.19,0.0,0.0,,0.0,1.0,1.0,4.0,0.0,0.0,2.0,2.0,3.0,,0.0
1992,14,2723,LAL,Los Angeles Lakers,Rory Sparrow,"June 12, 1958",33.0,NBA,PG,42.0,0.0,471.0,57.0,143.0,0.4,2.0,13.0,0.15,55.0,130.0,0.42,0.41,8.0,13.0,0.62,3.0,24.0,27.0,79.0,12.0,5.0,31.0,55.0,124.0,,0.0
