Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,17,1450,MIL,Milwaukee Bucks,20.0,NBA,PG,7.0,7.0,35.6,7.0,17.1,0.41,1.7,5.9,0.29,5.3,11.3,0.47,0.46,3.0,3.7,0.81,0.7,2.3,3.0,3.6,1.1,0.6,1.1,2.7,18.7
2013,17,1450,MIL,Milwaukee Bucks,23.0,NBA,PG,4.0,4.0,33.3,4.3,14.3,0.3,1.5,7.0,0.21,2.8,7.3,0.38,0.35,3.3,4.5,0.72,0.3,2.0,2.3,4.0,2.3,0.3,2.8,1.5,13.3
2017,30,1450,WAS,Washington Wizards,27.0,NBA,PG,13.0,0.0,13.7,1.1,2.8,0.39,0.2,1.0,0.15,0.9,1.8,0.52,0.42,0.5,0.6,0.88,0.4,1.1,1.5,1.8,0.2,0.0,0.6,1.0,2.8
2018,17,1450,MIL,Milwaukee Bucks,28.0,NBA,PG,1.0,0.0,5.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
