Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2009,23.0,GSW,NBA,SG,67.0,1515.0,14.7,0.588,0.345,0.172,5.6,8.7,7.1,8.2,1.2,0.5,8.3,17.7,,3.0,0.0,3.0,0.096,,1.7,-1.9,-0.2,0.7
2010,24.0,GSW,NBA,SG,69.0,2018.0,14.0,0.597,0.437,0.162,3.3,11.1,7.1,7.6,1.5,0.6,10.0,17.8,,3.0,0.6,3.5,0.084,,1.2,-1.5,-0.4,0.8
2011,25.0,NJN,NBA,SG,58.0,1856.0,12.1,0.573,0.419,0.173,2.3,8.8,5.5,6.3,0.5,0.3,7.5,18.0,,2.6,0.4,3.0,0.078,,0.3,-1.3,-1.0,0.5
2012,26.0,NJN,NBA,SG,62.0,1636.0,13.1,0.531,0.435,0.158,2.1,7.0,4.5,6.8,1.5,0.4,9.0,21.6,,1.7,0.0,1.7,0.051,,0.1,-2.0,-1.9,0.0
2013,27.0,TOT,NBA,SG,41.0,383.0,12.0,0.53,0.297,0.152,3.3,5.6,4.5,5.6,1.8,0.2,4.9,19.6,,0.4,0.3,0.7,0.084,,-1.9,0.0,-1.8,0.0
2013,27.0,ATL,NBA,SG,24.0,301.0,12.3,0.526,0.342,0.162,3.9,6.0,4.9,4.8,2.1,0.3,3.3,18.9,,0.4,0.3,0.6,0.1,,-1.5,0.7,-0.8,0.1
2013,27.0,DAL,NBA,SG,17.0,82.0,10.9,0.545,0.147,0.118,1.4,4.0,2.7,8.3,0.6,0.0,10.1,22.1,,0.0,0.0,0.0,0.028,,-3.3,-2.4,-5.7,-0.1
2014,28.0,NOP,NBA,SG,76.0,1426.0,13.9,0.57,0.375,0.167,2.3,9.2,5.7,6.7,1.4,0.7,8.4,19.4,,2.1,0.3,2.4,0.081,,0.7,-1.6,-0.9,0.4
2015,29.0,OKC,NBA,SG,74.0,1806.0,14.8,0.604,0.528,0.145,2.4,9.1,5.8,5.2,1.5,0.5,5.5,16.5,,4.4,1.2,5.7,0.151,,1.9,-0.1,1.8,1.7
2016,30.0,OKC,NBA,SG,68.0,926.0,10.7,0.543,0.613,0.117,1.2,5.8,3.6,3.7,1.2,0.4,4.6,16.9,,1.4,0.5,1.9,0.097,,-0.1,-1.0,-1.1,0.2
2017,31.0,TOT,NBA,SG,49.0,714.0,10.1,0.505,0.528,0.147,1.9,2.9,2.4,5.2,1.7,0.2,2.2,16.4,,0.7,0.5,1.2,0.083,,-1.8,-0.5,-2.3,0.0
2017,31.0,OKC,NBA,SG,40.0,627.0,9.2,0.491,0.534,0.117,1.9,3.2,2.6,4.5,1.7,0.3,2.5,16.3,,0.4,0.4,0.9,0.069,,-2.3,-0.5,-2.8,-0.1
2017,31.0,CHI,NBA,SG,9.0,87.0,16.0,0.606,0.483,0.379,1.2,1.2,1.2,10.4,1.2,0.0,0.0,17.0,,0.3,0.0,0.3,0.19,,1.7,-0.2,1.5,0.1
