SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1990,11,HOU,Sleepy Floyd,29,4,172,16.8,0.52,0.19,0.27,4.4,6.7,5.4,38.3,1.5,0.4,17.3,21.7,,0.2,0.0,0.2,0.05,,3.3,-0.4,2.8,0.2
1990,11,HOU,Otis Thorpe,27,4,164,18.8,0.65,0.0,0.84,9.3,16.7,12.5,6.8,1.6,0.0,12.7,18.6,,0.4,0.0,0.5,0.14,,2.0,0.2,2.2,0.2
1990,11,HOU,Hakeem Olajuwon,27,4,161,20.5,0.48,0.0,0.24,10.2,27.8,17.8,8.2,3.2,10.3,12.4,23.7,,0.0,0.3,0.3,0.08,,-0.6,4.4,3.9,0.2
1990,11,HOU,Vernon Maxwell,24,4,159,11.9,0.44,0.32,0.26,3.4,6.4,4.7,17.6,1.6,0.0,6.2,26.1,,0.0,0.0,0.0,-0.0,,-0.8,-1.3,-2.1,0.0
1990,11,HOU,Buck Johnson,26,4,148,11.3,0.48,0.02,0.27,5.9,7.8,6.7,9.2,2.1,1.0,6.9,16.8,,0.1,0.0,0.2,0.05,,-1.9,0.6,-1.3,0.0
1990,11,HOU,Larry Smith,32,4,73,9.3,0.75,0.0,0.0,10.5,11.9,11.1,9.6,2.8,0.0,38.5,7.7,,0.0,0.0,0.1,0.04,,-3.1,3.0,0.0,0.0
1990,11,HOU,Mitchell Wiggins,30,4,51,9.1,0.49,0.0,0.2,8.6,25.5,15.8,5.9,1.0,0.0,19.7,17.2,,0.0,0.0,0.0,-0.03,,-4.0,-0.6,-4.6,0.0
1990,11,HOU,Tim McCormick,27,3,21,4.7,0.39,0.0,0.67,5.2,48.1,23.7,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,0.03,,-7.1,0.3,-6.8,0.0
1990,11,HOU,Mike Woodson,31,1,6,9.6,0.33,0.33,0.0,0.0,0.0,0.0,52.9,0.0,0.0,0.0,21.6,,0.0,0.0,0.0,-0.0,,-2.1,1.1,-1.0,0.0
1990,11,HOU,Anthony Bowie,26,2,4,-13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,,0.0,0.0,0.0,-0.25,,-16.6,-3.6,-20.2,0.0
1990,11,HOU,Adrian Caldwell,23,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.02,,-2.8,-0.5,-3.3,0.0
