PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Magic Johnson,30,9,376,25.0,0.598,0.161,0.51,4.0,13.7,9.0,47.9,1.5,0.2,15.9,26.4,,1.4,0.3,1.7,0.222,,7.6,0.4,8.0,1.0
James Worthy,28,9,366,18.3,0.545,0.044000000000000004,0.23800000000000002,3.7,12.2,8.1,12.4,2.0,0.5,9.9,26.7,,0.5,0.3,0.8,0.106,,3.0,-0.8,2.2,0.4
Byron Scott,28,9,325,13.1,0.542,0.321,0.12300000000000001,2.7,10.5,6.8,10.3,3.1,0.6,10.4,16.9,,0.3,0.4,0.6,0.09300000000000001,,0.3,1.3,1.6,0.3
A.C. Green,26,9,252,17.1,0.569,0.0,0.405,16.7,21.3,19.1,5.3,1.0,1.0,13.1,18.7,,0.5,0.3,0.7,0.138,,2.0,-1.5,0.5,0.2
Mychal Thompson,35,9,225,7.0,0.523,0.0,0.591,8.3,12.2,10.3,1.2,0.5,3.6,23.5,14.2,,-0.2,0.2,0.0,0.0,,-3.9,-1.2,-5.1,-0.2
Orlando Woolridge,30,9,199,17.7,0.614,0.013999999999999999,0.529,3.7,9.8,6.9,7.9,2.0,2.5,11.3,21.5,,0.4,0.2,0.6,0.142,,1.8,0.8,2.6,0.2
Vlade Divac,21,9,175,23.1,0.7829999999999999,0.045,0.43200000000000005,11.3,20.9,16.3,8.7,2.3,5.4,19.9,16.4,,0.5,0.3,0.8,0.231,,3.4,4.3,7.7,0.4
Michael Cooper,33,9,173,7.1,0.32899999999999996,0.34299999999999997,0.0,7.9,8.6,8.2,18.5,2.1,1.5,16.7,10.7,,-0.1,0.1,0.1,0.018000000000000002,,-1.1,1.2,0.0,0.1
Larry Drew,31,7,51,5.1,0.564,0.5,0.75,0.0,4.5,2.3,10.0,3.0,0.0,27.3,12.6,,0.0,0.0,0.0,0.018000000000000002,,-5.2,0.7,-4.4,0.0
Jay Vincent,30,3,8,-23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,22.0,,-0.1,0.0,-0.1,-0.609,,-20.1,-9.3,-29.3,-0.1
Mel McCants,22,2,5,-3.5,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.004,,-6.2,-1.0,-7.1,0.0
Mark McNamara,30,2,5,-5.4,0.25,0.0,0.0,0.0,22.9,11.9,0.0,0.0,0.0,0.0,35.2,,0.0,0.0,0.0,-0.29600000000000004,,-16.4,-9.7,-26.1,0.0
