PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Tom Chambers,30,16,612,14.2,0.5329999999999999,0.069,0.48,3.9,14.6,9.6,8.0,0.6,0.7,12.8,26.4,,0.4,0.7,1.0,0.08199999999999999,,0.3,-0.9,-0.5,0.2
Jeff Hornacek,26,16,583,17.6,0.593,0.11,0.33299999999999996,2.7,8.6,5.9,19.7,2.0,0.0,11.9,20.7,,1.3,0.6,1.9,0.158,,2.5,1.6,4.1,0.9
Kevin Johnson,23,16,582,21.4,0.555,0.043,0.436,1.8,7.8,5.0,47.5,2.1,0.0,16.8,26.8,,1.2,0.6,1.8,0.14800000000000002,,5.4,0.7,6.1,1.2
Mark West,29,16,544,13.5,0.5820000000000001,0.0,0.385,11.6,20.9,16.6,1.3,0.4,4.5,14.6,13.8,,0.5,0.9,1.4,0.122,,-0.5,1.4,1.0,0.4
Dan Majerle,24,16,479,15.7,0.563,0.08,0.433,7.5,10.9,9.3,10.5,2.0,0.2,9.2,17.4,,0.9,0.6,1.5,0.149,,2.4,2.1,4.5,0.8
Kurt Rambis,31,16,385,9.7,0.505,0.019,0.519,12.1,22.4,17.6,7.5,1.0,1.2,20.4,9.2,,0.2,0.6,0.8,0.10099999999999999,,-1.1,1.8,0.7,0.3
Eddie Johnson,30,16,337,15.7,0.542,0.23800000000000002,0.294,5.3,12.8,9.3,8.2,1.5,0.7,10.0,25.2,,0.4,0.4,0.8,0.11199999999999999,,1.8,0.5,2.3,0.4
Tim Perry,24,11,100,11.0,0.516,0.0,0.72,11.9,11.3,11.6,2.9,1.5,3.6,13.2,16.0,,0.0,0.1,0.2,0.083,,-2.3,1.0,-1.3,0.0
Andrew Lang,23,12,93,9.4,0.662,0.0,0.778,5.1,17.6,11.9,2.8,1.6,6.4,29.3,7.8,,0.0,0.2,0.2,0.09699999999999999,,-3.1,4.9,1.8,0.1
Greg Grant,23,7,47,13.3,0.475,0.15,0.0,5.1,8.7,7.0,33.5,2.1,0.0,20.0,22.5,,0.0,0.1,0.0,0.019,,0.2,-0.3,-0.1,0.0
Mike McGee,30,10,44,5.8,0.414,0.35,0.2,2.7,7.0,5.0,6.8,1.1,1.4,8.4,22.8,,-0.1,0.0,0.0,-0.039,,-3.5,-1.6,-5.1,0.0
Kenny Battle,25,8,34,-1.1,0.335,0.0,0.077,3.5,12.1,8.1,0.0,0.0,0.0,13.0,19.2,,-0.1,0.0,-0.1,-0.12300000000000001,,-9.6,-3.7,-13.3,-0.1
