PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Patrick Ewing,27,10,395,25.4,0.579,0.009000000000000001,0.361,6.0,26.0,15.7,14.2,1.7,3.2,9.6,30.9,,1.0,0.3,1.3,0.155,,4.3,0.8,5.2,0.7
Maurice Cheeks,33,10,388,16.2,0.544,0.038,0.298,3.5,8.5,5.9,30.8,2.2,0.3,13.9,15.3,,0.7,0.0,0.7,0.091,,1.4,-0.1,1.4,0.3
Charles Oakley,26,10,336,15.9,0.5660000000000001,0.012,0.619,13.2,25.8,19.3,11.3,1.7,0.4,17.1,16.7,,0.4,0.2,0.6,0.086,,1.0,-0.5,0.5,0.2
Gerald Wilkins,26,10,319,15.7,0.498,0.057999999999999996,0.161,5.0,8.4,6.6,25.4,2.2,0.2,10.9,22.5,,0.3,0.0,0.3,0.043,,1.2,0.0,1.2,0.3
Kiki Vandeweghe,31,10,236,8.4,0.485,0.17600000000000002,0.135,3.4,2.6,3.0,8.4,1.1,0.5,8.2,15.7,,0.0,-0.1,0.0,-0.006999999999999999,,-1.4,-2.3,-3.6,-0.1
Johnny Newman,26,10,231,11.7,0.5489999999999999,0.11800000000000001,0.5760000000000001,5.4,5.3,5.4,6.4,2.0,0.8,13.8,23.3,,0.1,0.0,0.1,0.03,,-3.3,-1.3,-4.6,-0.2
Trent Tucker,30,10,178,11.9,0.52,0.491,0.109,3.2,6.2,4.6,15.7,2.8,0.0,9.4,15.6,,0.2,0.0,0.2,0.055999999999999994,,-0.3,0.2,-0.1,0.1
Kenny Walker,25,10,154,9.8,0.583,0.034,0.483,5.2,14.3,9.6,5.3,0.0,1.6,2.8,10.2,,0.3,0.0,0.2,0.075,,-2.0,-0.7,-2.7,0.0
Mark Jackson,24,9,81,13.4,0.474,0.065,0.355,1.4,6.0,3.6,38.2,1.2,0.0,16.3,23.0,,0.0,0.0,0.0,-0.009000000000000001,,0.7,-2.7,-2.0,0.0
Eddie Lee Wilkins,27,7,54,12.8,0.525,0.0,0.611,10.5,13.6,12.0,0.0,1.9,0.0,8.1,20.0,,0.0,0.0,0.1,0.047,,-0.8,-1.7,-2.5,0.0
Brian Quinnett,23,3,16,20.8,0.625,0.25,0.0,35.5,22.9,29.4,17.5,0.0,0.0,20.0,13.6,,0.1,0.0,0.1,0.177,,7.2,-1.3,5.8,0.0
Stuart Gray,26,4,12,6.8,0.4,0.0,0.0,28.4,50.9,39.3,0.0,4.2,0.0,37.5,29.0,,-0.1,0.0,-0.1,-0.21100000000000002,,-9.8,-2.4,-12.2,0.0
