PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Reggie Miller,24,3,125,20.0,0.701,0.2,0.6,1.0,10.6,6.0,8.4,1.3,0.0,6.4,17.9,,0.5,0.0,0.5,0.19899999999999998,,5.7,0.4,6.1,0.3
Detlef Schrempf,27,3,125,14.4,0.564,0.064,0.34,5.1,16.3,10.9,7.3,0.9,0.5,15.6,24.3,,0.1,0.0,0.1,0.043,,1.1,-1.3,-0.2,0.1
Chuck Person,25,3,123,8.9,0.39799999999999996,0.222,0.267,6.3,13.7,10.1,16.5,0.4,0.0,7.4,20.9,,-0.1,0.0,-0.1,-0.043,,0.2,-2.4,-2.2,0.0
Vern Fleming,27,3,113,14.1,0.527,0.059000000000000004,0.265,4.6,9.6,7.1,27.1,1.0,0.5,17.4,19.3,,0.1,0.0,0.1,0.033,,2.8,-1.2,1.6,0.1
Rik Smits,23,3,96,13.5,0.563,0.0,0.39299999999999996,5.4,15.0,10.3,5.4,1.1,2.5,13.2,18.7,,0.1,0.0,0.1,0.063,,0.3,0.2,0.5,0.1
LaSalle Thompson,28,3,54,6.7,0.537,0.0,0.267,14.3,20.0,17.2,6.2,0.0,1.1,29.5,20.8,,-0.1,0.0,-0.1,-0.055,,-5.8,-1.0,-6.8,-0.1
Rickey Green,35,3,31,-5.2,0.14300000000000002,0.0,0.0,0.0,3.9,2.0,13.9,1.7,0.0,22.2,13.7,,-0.1,0.0,-0.1,-0.23,,-9.9,-2.5,-12.4,-0.1
Mike Sanders,29,3,24,14.7,0.5,0.091,0.0,26.8,5.0,15.5,16.0,0.0,0.0,15.4,25.6,,0.0,0.0,0.0,0.019,,3.5,-3.4,0.1,0.0
Calvin Natt,33,2,14,-7.0,0.33299999999999996,0.0,0.0,9.2,8.6,8.9,10.9,0.0,0.0,40.0,16.9,,-0.1,0.0,-0.1,-0.233,,-12.7,-3.1,-15.8,0.0
Randy Wittman,30,2,11,-1.8,0.0,0.0,0.0,0.0,10.9,5.6,0.0,0.0,0.0,0.0,4.3,,0.0,0.0,0.0,-0.10800000000000001,,-4.5,-2.4,-6.8,0.0
George McCloud,22,1,4,-0.9,0.5,0.0,0.0,32.1,0.0,15.5,0.0,0.0,0.0,33.3,35.5,,0.0,0.0,0.0,-0.27399999999999997,,-11.5,-5.7,-17.2,0.0
