PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Roy Tarpley,25,3,129,15.7,0.488,0.022000000000000002,0.261,8.2,29.9,19.7,1.2,2.7,4.7,14.9,20.2,,-0.1,0.2,0.1,0.043,,-0.9,1.6,0.7,0.1
Rolando Blackman,30,3,127,12.4,0.514,0.09300000000000001,0.185,1.8,5.8,3.9,16.8,2.3,0.9,18.2,24.3,,-0.1,0.1,-0.1,-0.019,,0.1,-0.4,-0.3,0.1
Derek Harper,28,3,119,13.6,0.527,0.33299999999999996,0.33299999999999996,2.0,5.3,3.7,31.1,1.7,0.0,17.9,24.4,,0.0,0.0,0.1,0.021,,1.3,-1.9,-0.6,0.0
Sam Perkins,28,3,118,12.1,0.517,0.027999999999999997,0.47200000000000003,9.9,10.6,10.3,10.2,1.3,1.0,13.9,18.5,,0.1,0.1,0.1,0.054000000000000006,,-0.5,-0.5,-1.0,0.0
Herb Williams,31,3,81,17.6,0.682,0.0,0.696,5.8,11.6,8.9,9.9,0.6,1.5,9.1,17.7,,0.3,0.0,0.3,0.19,,1.8,2.3,4.0,0.1
James Donaldson,32,3,74,12.4,0.7240000000000001,0.0,0.385,9.5,14.1,11.9,4.0,1.3,0.0,20.8,11.2,,0.1,0.0,0.2,0.102,,0.4,0.3,0.7,0.1
Steve Alford,25,3,42,17.7,0.569,0.33299999999999996,0.278,2.8,5.0,3.9,31.3,1.2,0.0,12.9,23.9,,0.1,0.0,0.1,0.11,,4.2,-0.5,3.6,0.1
Bill Wennington,26,3,25,-5.1,0.2,0.0,0.0,0.0,12.5,6.6,5.3,0.0,2.4,28.6,12.1,,-0.1,0.0,-0.1,-0.191,,-10.6,-1.2,-11.7,-0.1
Anthony Jones,27,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.024,,-3.4,-0.3,-3.8,0.0
Randy White,22,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.024,,-0.8,-1.4,-2.2,0.0
