Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2002,24.0,BOS,NBA,SG,16.0,672.0,21.1,0.529,0.343,0.518,4.6,18.1,11.4,19.6,2.1,2.5,14.1,30.1,,1.0,1.3,2.3,0.161,,3.7,1.2,5.0,1.2
2003,25.0,BOS,NBA,SG,10.0,445.0,23.0,0.554,0.233,0.606,2.9,20.1,11.6,30.0,2.5,1.4,15.3,30.7,,0.9,0.8,1.7,0.179,,4.7,1.7,6.3,0.9
2004,26.0,BOS,NBA,SG,4.0,162.0,11.7,0.463,0.224,0.408,4.4,19.5,12.3,14.1,1.6,1.8,21.8,33.3,,-0.4,0.0,-0.4,-0.116,,-1.9,-2.4,-4.3,-0.1
2005,27.0,BOS,NBA,SF,7.0,277.0,27.5,0.651,0.29,0.731,3.1,20.9,12.0,22.9,2.6,3.3,13.4,25.1,,1.1,0.6,1.7,0.301,,7.6,3.9,11.5,0.9
2008,30.0,BOS,NBA,SF,26.0,990.0,17.4,0.57,0.322,0.478,2.7,13.5,8.2,22.5,1.6,0.7,15.5,25.8,,1.6,1.3,3.0,0.145,,2.6,1.0,3.6,1.4
2009,31.0,BOS,NBA,SF,14.0,556.0,16.1,0.554,0.258,0.457,0.8,16.8,8.7,13.6,1.4,0.8,11.1,24.8,,0.7,0.6,1.3,0.112,,1.3,0.4,1.7,0.5
2010,32.0,BOS,NBA,SF,24.0,930.0,15.8,0.566,0.304,0.423,2.7,15.7,9.4,15.9,1.4,1.3,13.8,23.7,,0.9,1.6,2.5,0.131,,2.1,0.9,3.0,1.2
2011,33.0,BOS,NBA,SF,9.0,343.0,17.6,0.574,0.318,0.23,1.9,13.6,8.0,13.5,1.9,1.0,12.8,26.1,,0.5,0.4,0.9,0.128,,2.5,1.2,3.7,0.5
2012,34.0,BOS,NBA,SF,20.0,778.0,16.1,0.516,0.28,0.395,2.2,15.8,9.2,14.8,2.1,1.9,13.3,26.5,,0.3,1.3,1.7,0.102,,1.3,1.2,2.4,0.9
2013,35.0,BOS,NBA,SF,6.0,255.0,10.6,0.484,0.387,0.274,2.1,13.0,8.0,29.1,1.1,1.0,21.2,30.1,,-0.6,0.4,-0.2,-0.03,,-1.2,-0.3,-1.6,0.0
2014,36.0,BRK,NBA,SF,12.0,368.0,15.1,0.573,0.411,0.248,1.3,18.0,9.3,11.6,2.1,1.0,12.3,21.7,,0.4,0.3,0.7,0.089,,0.6,0.8,1.4,0.3
2015,37.0,WAS,NBA,SF,10.0,298.0,16.3,0.677,0.636,0.202,0.0,14.8,7.6,5.0,1.0,1.9,8.5,17.5,,0.8,0.4,1.2,0.19,,2.1,1.7,3.8,0.4
2016,38.0,LAC,NBA,SF,5.0,54.0,-3.4,0.218,0.417,0.333,0.0,10.9,5.5,2.5,1.9,0.0,12.7,13.0,,-0.2,0.1,-0.2,-0.141,,-9.2,-1.7,-10.9,-0.1
2017,39.0,LAC,NBA,SF,7.0,101.0,7.0,0.569,0.556,0.056,2.5,15.5,8.8,10.2,1.1,0.0,17.8,10.7,,0.0,0.1,0.1,0.059,,-1.1,1.4,0.3,0.1
