Season,Team ID,Player ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
1999,29,84,UTA,Utah Jazz,40,Shandon Anderson,SG,6-6,208,1973-12-31,US,2,Georgia
1999,29,124,UTA,Utah Jazz,54,Anthony Avent,PF,6-9,235,1969-10-18,US,4,Seton Hall
1999,29,142,UTA,Utah Jazz,41,Thurl Bailey,PF,6-11,215,1961-04-07,US,11,NC State
1999,29,841,UTA,Utah Jazz,10,Howard Eisley,PG,6-2,177,1972-12-04,US,4,Boston College
1999,29,946,UTA,Utah Jazz,44,Greg Foster,PF,6-11,240,1968-10-03,US,8,"UCLA, Texas-El Paso"
1999,29,971,UTA,Utah Jazz,52,Todd Fuller,C,6-11,255,1974-07-25,US,2,NC State
1999,29,1330,UTA,Utah Jazz,14,Jeff Hornacek,SG,6-3,190,1963-05-03,US,12,Iowa State
1999,29,1589,UTA,Utah Jazz,31,Adam Keefe,PF,6-9,230,1970-02-22,US,6,Stanford
1999,29,1619,UTA,Utah Jazz,33,Chris King,SF,6-8,215,1969-07-24,US,2,Wake Forest
1999,29,1826,UTA,Utah Jazz,32,Karl Malone,PF,6-9,250,1963-07-24,US,13,Louisiana Tech
1999,29,2221,UTA,Utah Jazz,0,Greg Ostertag,C,7-2,280,1973-03-06,US,3,Kansas
1999,29,2539,UTA,Utah Jazz,3,Bryon Russell,SF,6-7,225,1970-12-31,US,5,Cal State Long Beach
1999,29,2767,UTA,Utah Jazz,12,John Stockton,PG,6-1,170,1962-03-26,US,14,Gonzaga
1999,29,2971,UTA,Utah Jazz,11,Jacque Vaughn,PG,6-1,190,1975-02-11,US,1,Kansas
