Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,11,HOU,Houston Rockets,Steve Francis,23,80,79,3194,6.2,13.7,0.45,1.5,3.8,0.4,4.7,10.0,0.47,4.0,4.9,0.82,2.1,4.1,6.2,5.8,1.6,0.3,3.0,3.1,17.9
2001,11,HOU,Houston Rockets,Cuttino Mobley,25,79,49,3002,6.3,14.6,0.43,1.1,3.0,0.36,5.2,11.5,0.45,4.7,5.7,0.83,1.0,3.8,4.8,2.3,1.0,0.3,2.0,2.0,18.4
2001,11,HOU,Houston Rockets,Shandon Anderson,27,82,82,2396,4.0,8.9,0.45,0.7,2.6,0.27,3.3,6.3,0.52,2.1,2.8,0.73,1.1,3.9,5.0,2.8,1.2,0.6,2.0,3.0,10.7
2001,11,HOU,Houston Rockets,Maurice Taylor,24,69,69,1972,7.1,14.5,0.49,0.0,0.1,0.0,7.1,14.5,0.49,2.2,3.0,0.74,2.0,4.9,6.9,1.9,0.5,0.7,2.3,3.8,16.4
2001,11,HOU,Houston Rockets,Kenny Thomas,23,74,21,1820,4.1,9.2,0.44,0.5,1.8,0.27,3.6,7.4,0.48,1.8,2.5,0.72,2.4,5.8,8.2,1.5,0.8,0.9,2.3,3.5,10.4
2001,11,HOU,Houston Rockets,Moochie Norris,27,82,6,1654,4.0,9.0,0.45,0.5,1.9,0.28,3.5,7.1,0.49,3.3,4.2,0.78,1.0,3.4,4.3,6.2,1.5,0.0,2.3,1.8,11.8
2001,11,HOU,Houston Rockets,Walt Williams,30,72,31,1583,4.6,11.7,0.39,2.2,5.6,0.4,2.4,6.0,0.39,2.2,2.9,0.77,0.7,4.9,5.6,2.2,0.7,0.6,1.7,3.5,13.6
2001,11,HOU,Houston Rockets,Hakeem Olajuwon,38,58,55,1545,6.6,13.2,0.5,0.0,0.0,0.0,6.6,13.2,0.5,2.9,4.6,0.62,2.9,7.2,10.0,1.7,1.6,2.1,1.9,3.3,16.1
2001,11,HOU,Houston Rockets,Matt Bullard,33,61,5,1000,4.6,11.0,0.42,3.1,7.7,0.4,1.5,3.3,0.47,0.4,0.5,0.71,0.8,3.9,4.7,1.5,0.4,0.3,0.4,2.7,12.7
2001,11,HOU,Houston Rockets,Kelvin Cato,26,35,13,624,3.7,6.4,0.58,0.0,0.0,,3.7,6.4,0.58,2.1,3.3,0.65,2.7,5.4,8.1,0.6,0.7,1.8,1.4,5.1,9.5
2001,11,HOU,Houston Rockets,Carlos Rogers,29,39,0,544,5.0,7.3,0.68,0.0,0.1,0.0,5.0,7.2,0.69,1.9,3.4,0.56,3.2,6.0,9.2,0.6,0.7,1.2,1.1,2.2,11.8
2001,11,HOU,Houston Rockets,Dan Langhi,23,33,0,241,5.5,14.8,0.37,0.0,0.1,0.0,5.5,14.6,0.38,2.4,4.3,0.55,1.9,4.2,6.1,0.6,1.0,0.1,1.2,2.4,13.4
2001,11,HOU,Houston Rockets,Jason Collier,23,23,0,222,4.4,11.5,0.38,0.0,0.2,0.0,4.4,11.4,0.39,2.8,3.9,0.71,1.9,4.1,6.0,1.0,0.3,0.5,1.8,4.4,11.5
2001,11,HOU,Houston Rockets,Sean Colson,25,10,0,30,7.2,22.8,0.32,1.2,4.8,0.25,6.0,18.0,0.33,2.4,4.8,0.5,2.4,1.2,3.6,8.4,1.2,0.0,0.0,7.2,18.0
2001,11,HOU,Houston Rockets,Anthony Miller,29,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
