SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2017,30,WAS,John Wall,26.0,78,78.0,2836,647,1435,0.45,89,272,0.33,558,1163,0.48,0.48,422,527,0.8,59,267,326,831,157,49,322,151,1805
2017,30,WAS,Bradley Beal,23.0,77,77.0,2684,637,1322,0.48,223,552,0.4,414,770,0.54,0.57,282,342,0.82,53,187,240,267,83,21,156,169,1779
2017,30,WAS,Otto Porter,23.0,80,80.0,2605,414,803,0.52,148,341,0.43,266,462,0.58,0.61,99,119,0.83,118,396,514,121,116,42,44,193,1075
2017,30,WAS,Marcin Gortat,32.0,82,82.0,2556,390,674,0.58,0,2,0.0,390,672,0.58,0.58,103,159,0.65,238,611,849,121,40,61,119,213,883
2017,30,WAS,Markieff Morris,27.0,76,76.0,2374,406,889,0.46,71,196,0.36,335,693,0.48,0.5,180,215,0.84,107,386,493,126,82,42,129,254,1063
2017,30,WAS,Kelly Oubre,21.0,79,5.0,1605,186,442,0.42,54,188,0.29,132,254,0.52,0.48,75,99,0.76,61,200,261,47,58,17,50,195,501
2017,30,WAS,Jason Smith,30.0,74,3.0,1068,174,329,0.53,37,78,0.47,137,251,0.55,0.58,35,51,0.69,64,194,258,37,21,54,58,168,420
2017,30,WAS,Tomas Satoransky,25.0,57,3.0,719,61,147,0.42,9,37,0.24,52,110,0.47,0.45,23,33,0.7,25,58,83,92,26,6,38,60,154
2017,30,WAS,Trey Burke,24.0,57,0.0,703,116,255,0.46,31,70,0.44,85,185,0.46,0.52,22,29,0.76,7,40,47,100,11,5,48,54,285
2017,30,WAS,Bojan Bogdanovic,27.0,26,0.0,601,107,234,0.46,45,115,0.39,62,119,0.52,0.55,71,76,0.93,14,66,80,21,10,4,38,47,330
2017,30,WAS,Marcus Thornton,29.0,33,1.0,575,84,210,0.4,28,80,0.35,56,130,0.43,0.47,23,27,0.85,22,54,76,41,19,3,25,48,219
2017,30,WAS,Ian Mahinmi,30.0,31,0.0,555,65,111,0.59,0,0,,65,111,0.59,0.59,43,75,0.57,47,103,150,19,33,24,34,90,173
2017,30,WAS,Brandon Jennings,27.0,23,2.0,374,29,106,0.27,11,52,0.21,18,54,0.33,0.32,12,17,0.71,8,36,44,108,15,0,22,32,81
2017,30,WAS,Sheldon Mac,24.0,30,3.0,287,30,75,0.4,7,30,0.23,23,45,0.51,0.45,23,27,0.85,4,30,34,15,8,2,5,17,90
2017,30,WAS,Andrew Nicholson,27.0,28,0.0,231,30,77,0.39,3,16,0.19,27,61,0.44,0.41,7,12,0.58,11,23,34,7,11,6,11,37,70
2017,30,WAS,Daniel Ochefu,23.0,19,0.0,75,12,27,0.44,0,0,,12,27,0.44,0.44,0,2,0.0,5,17,22,3,2,0,3,17,24
2017,30,WAS,Chris McCullough,21.0,2,0.0,8,0,1,0.0,0,1,0.0,0,0,,0.0,1,2,0.5,0,2,2,0,1,0,1,0,1
2017,30,WAS,Danuel House,23.0,1,0.0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
2017,30,WAS,Team Totals,,82,,19855,3388,7137,0.48,756,2030,0.37,2632,5107,0.52,0.53,1421,1812,0.78,843,2671,3514,1956,693,336,1162,1745,8953
