Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1993,27,SAS,San Antonio Spurs,David Robinson,27,10,10,421,6.8,14.5,0.46,0.0,0.1,0.0,6.8,14.5,0.47,6.2,9.4,0.66,2.5,8.3,10.8,3.4,0.9,3.1,2.1,3.3,19.8
1993,27,SAS,San Antonio Spurs,Sean Elliott,24,10,10,381,5.6,11.8,0.47,0.3,1.3,0.21,5.3,10.5,0.5,3.5,3.8,0.92,0.8,3.8,4.5,3.4,0.8,0.3,2.1,2.1,14.9
1993,27,SAS,San Antonio Spurs,Avery Johnson,27,10,10,314,4.1,8.0,0.51,0.0,0.1,0.0,4.1,7.9,0.52,1.1,1.6,0.71,0.9,2.6,3.6,9.3,1.1,0.1,2.6,3.1,9.4
1993,27,SAS,San Antonio Spurs,Dale Ellis,32,10,10,305,6.0,13.3,0.45,1.2,3.8,0.31,4.8,9.6,0.51,1.5,1.9,0.81,1.1,3.1,4.1,1.3,0.5,0.0,1.2,3.0,14.8
1993,27,SAS,San Antonio Spurs,J.R. Reid,24,10,2,220,4.7,9.8,0.48,0.0,0.3,0.0,4.7,9.5,0.5,4.4,5.7,0.77,2.6,5.6,8.2,2.5,1.3,1.3,2.1,5.1,13.9
1993,27,SAS,San Antonio Spurs,Willie Anderson,26,10,0,219,6.1,13.5,0.45,1.0,1.8,0.55,5.1,11.7,0.44,2.5,2.8,0.88,0.7,3.1,3.8,4.6,1.5,0.3,2.0,3.8,15.6
1993,27,SAS,San Antonio Spurs,Antoine Carr,31,8,8,171,8.2,15.6,0.53,0.0,0.0,,8.2,15.6,0.53,1.3,2.1,0.6,2.7,5.3,8.0,1.9,0.6,1.9,1.5,5.9,17.7
1993,27,SAS,San Antonio Spurs,Terry Cummings,31,10,0,138,8.1,18.3,0.44,0.0,0.3,0.0,8.1,18.0,0.45,1.3,2.1,0.62,4.4,5.7,10.2,1.3,0.8,0.3,2.1,7.0,17.5
1993,27,SAS,San Antonio Spurs,Vinny Del Negro,26,8,0,112,5.5,12.2,0.45,0.6,2.9,0.22,4.8,9.3,0.52,1.3,1.3,1.0,1.9,4.2,6.1,7.7,0.3,0.3,1.0,4.2,12.9
1993,27,SAS,San Antonio Spurs,Lloyd Daniels,25,8,0,74,5.4,14.6,0.37,0.5,3.4,0.14,4.9,11.2,0.44,2.4,2.9,0.83,4.4,2.9,7.3,1.0,1.5,0.0,2.4,3.9,13.6
1993,27,SAS,San Antonio Spurs,Larry Smith,35,6,0,50,1.4,2.2,0.67,0.0,0.0,,1.4,2.2,0.67,2.2,2.9,0.75,5.8,5.8,11.5,0.7,2.9,1.4,0.7,11.5,5.0
1993,27,SAS,San Antonio Spurs,David Wood,28,5,0,20,3.6,7.2,0.5,1.8,1.8,1.0,1.8,5.4,0.33,0.0,0.0,,1.8,3.6,5.4,1.8,0.0,0.0,0.0,12.6,9.0
