SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2003,11,HOU,13,Kelvin Cato,C,6-11,255,1974-08-26,US,5,"University of South Alabama, Iowa State"
2003,11,HOU,52,Jason Collier,C,7-0,260,1977-09-08,US,2,"Indiana, Georgia Tech"
2003,11,HOU,3,Steve Francis,PG,6-3,195,1977-02-21,US,3,Maryland
2003,11,HOU,33,Eddie Griffin,PF,6-10,220,1982-05-30,US,1,Seton Hall
2003,11,HOU,1,Juaquin Hawkins,SG,6-7,220,1973-07-02,US,R,Cal State Long Beach
2003,11,HOU,6,Tito Maddox,SG,6-4,190,1981-06-07,US,R,Fresno State
2003,11,HOU,11,Yao Ming,C,7-6,310,1980-09-12,CN,R,
2003,11,HOU,5,Cuttino Mobley,SG,6-4,190,1975-09-01,US,4,Rhode Island
2003,11,HOU,44,Terence Morris,SF,6-9,221,1979-01-11,US,1,Maryland
2003,11,HOU,9,Bostjan Nachbar,SF,6-9,221,1980-07-03,SI,R,
2003,11,HOU,12,Moochie Norris,PG,6-1,175,1973-07-27,US,5,"Auburn, University of West Florida"
2003,11,HOU,55,James Posey,SF,6-8,215,1977-01-13,US,3,Xavier
2003,11,HOU,41,Glen Rice,SF,6-7,215,1967-05-28,US,13,Michigan
2003,11,HOU,2,Maurice Taylor,PF,6-9,260,1976-10-30,US,4,"Michigan, LSU"
2003,11,HOU,21,Kenny Thomas,PF,6-7,261,1977-07-25,US,3,New Mexico
