NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
10,Mike Bibby,PG,6-1,190,1978-05-13,US,4,Arizona
13,Doug Christie,SG,6-6,200,1970-05-09,US,10,Pepperdine
7,Keon Clark,C,6-11,220,1975-04-16,US,4,UNLV
8,Mateen Cleaves,PG,6-2,205,1977-09-07,US,2,Michigan State
21,Vlade Divac,C,7-1,243,1968-02-03,RS,13,
51,Lawrence Funderburke,PF,6-9,230,1970-12-15,US,5,"Indiana, Ohio State"
24,Bobby Jackson,PG,6-1,185,1973-03-13,US,5,Minnesota
22,Jim Jackson,SF,6-6,220,1970-10-14,US,10,Ohio State
9,Damon Jones,PG,6-3,185,1976-08-25,US,4,Houston
31,Scot Pollard,C,6-11,265,1975-02-12,US,5,Kansas
16,Peja Stojaković,SF,6-10,229,1977-06-09,HR,4,
5,Hedo Türkoğlu,SF,6-10,220,1979-03-19,TR,2,
3,Gerald Wallace,SF,6-7,215,1982-07-23,US,1,Alabama
4,Chris Webber,PF,6-9,245,1973-03-01,US,9,Michigan
