PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Michael Jordan,31,10,420,24.8,0.557,0.121,0.319,6.0,12.7,9.5,22.5,3.0,2.8,12.7,35.7,,0.7,0.6,1.3,0.15,,5.8,2.2,8.0,1.0
Scottie Pippen,29,10,396,18.9,0.5489999999999999,0.29,0.542,7.7,18.6,13.3,23.8,1.9,2.1,14.3,22.1,,0.7,0.6,1.2,0.15,,3.8,2.1,5.9,0.8
Toni Kukoč,26,10,372,17.0,0.564,0.28800000000000003,0.23399999999999999,6.8,15.3,11.2,24.7,1.5,0.5,13.4,17.6,,0.7,0.4,1.1,0.141,,3.7,0.9,4.6,0.6
B.J. Armstrong,27,10,288,13.0,0.581,0.36700000000000005,0.278,1.8,5.8,3.8,14.7,1.1,0.0,6.3,15.2,,0.6,0.1,0.8,0.126,,1.4,0.0,1.4,0.2
Luc Longley,26,10,204,8.6,0.515,0.0,0.2,3.7,15.2,9.6,8.4,1.9,2.1,15.5,14.6,,0.0,0.3,0.2,0.057,,-5.0,1.6,-3.4,-0.1
Steve Kerr,29,10,193,9.8,0.604,0.475,0.125,0.7,3.1,1.9,11.7,0.3,0.0,0.0,10.1,,0.4,0.0,0.5,0.113,,0.4,-0.5,-0.2,0.1
Will Perdue,29,10,176,10.6,0.541,0.0,0.568,13.0,20.3,16.7,5.2,0.3,1.4,17.8,14.8,,0.1,0.2,0.3,0.07200000000000001,,-2.9,-1.2,-4.1,-0.1
Bill Wennington,31,10,133,7.9,0.447,0.0,0.11800000000000001,11.5,14.3,12.9,3.7,1.2,1.9,13.0,21.4,,-0.1,0.1,0.0,0.006,,-6.4,-0.9,-7.3,-0.2
Jud Buechler,26,10,104,9.8,0.439,0.095,0.19,13.4,10.3,11.8,7.1,2.1,2.4,11.6,11.5,,0.0,0.1,0.2,0.07,,-2.0,0.8,-1.2,0.0
Pete Myers,31,9,79,7.4,0.391,0.14300000000000002,0.429,9.6,6.0,7.8,14.5,2.8,1.1,19.4,12.1,,-0.1,0.1,0.0,0.016,,-2.8,1.7,-1.1,0.0
Ron Harper,31,6,40,13.2,0.429,0.14300000000000002,0.0,6.3,11.9,9.2,16.3,4.1,2.1,6.7,17.4,,0.0,0.1,0.1,0.084,,-3.1,3.3,0.2,0.0
Corie Blount,26,8,20,-7.2,0.0,0.33299999999999996,0.0,6.3,23.8,15.3,0.0,0.0,0.0,25.0,9.3,,-0.1,0.0,-0.1,-0.154,,-13.7,-3.3,-17.1,-0.1
