PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Rod Strickland,28,3,126,19.5,0.48,0.077,0.27699999999999997,0.9,12.0,5.9,50.3,1.3,1.4,12.1,30.1,,0.1,-0.1,0.0,-0.002,,3.2,-1.4,1.8,0.1
Clifford Robinson,28,3,119,8.5,0.435,0.36200000000000004,0.34,6.6,13.8,9.8,10.3,0.9,0.7,12.9,23.8,,-0.2,-0.1,-0.3,-0.13,,-2.9,-3.3,-6.1,-0.1
Harvey Grant,29,3,115,14.6,0.614,0.321,0.5710000000000001,2.9,15.5,8.6,7.7,1.4,1.5,10.2,15.5,,0.2,-0.1,0.1,0.032,,1.7,0.7,2.5,0.1
Buck Williams,34,3,103,11.0,0.63,0.0,0.733,8.7,14.6,11.4,1.4,2.0,1.7,16.8,10.6,,0.1,-0.1,0.0,0.018000000000000002,,-2.5,0.3,-2.2,0.0
Otis Thorpe,32,3,66,14.6,0.61,0.0,0.47600000000000003,8.5,16.6,12.1,4.9,0.0,0.0,10.6,19.7,,0.1,-0.1,0.0,0.033,,-1.4,-2.1,-3.6,0.0
Jerome Kersey,32,3,63,22.2,0.594,0.071,0.321,3.5,13.1,7.8,8.7,2.5,1.4,0.0,23.2,,0.2,0.0,0.2,0.12300000000000001,,1.7,1.8,3.5,0.1
Chris Dudley,29,3,59,5.5,0.537,0.0,2.667,11.4,20.9,15.6,2.2,0.0,1.4,31.5,7.4,,0.0,-0.1,-0.1,-0.057,,-4.5,-1.3,-5.8,-0.1
Aaron McKie,22,3,34,19.4,0.607,0.14300000000000002,0.0,0.0,8.1,3.6,5.2,4.6,0.0,0.0,18.8,,0.1,0.0,0.1,0.08199999999999999,,0.7,2.4,3.1,0.0
Terry Porter,31,3,21,28.5,0.625,0.385,0.385,5.3,6.5,5.9,40.9,0.0,0.0,6.2,35.3,,0.1,0.0,0.1,0.183,,7.5,-0.1,7.4,0.1
Mark Bryant,29,2,6,7.6,0.34700000000000003,0.0,1.0,18.6,22.9,20.5,0.0,0.0,0.0,0.0,22.0,,0.0,0.0,0.0,-0.162,,-4.4,-6.6,-11.0,0.0
James Edwards,39,1,4,-9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,,0.0,0.0,0.0,-0.354,,-10.7,-7.7,-18.4,0.0
James Robinson,24,2,4,65.5,1.0,1.0,0.0,0.0,0.0,0.0,83.7,0.0,0.0,0.0,34.3,,0.1,0.0,0.1,0.649,,41.7,4.5,46.2,0.0
