Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg
2001,17,2377,MIL,Milwaukee Bucks,Joel Przybilla,1979-10-10,21.0,NBA,C,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,116.0
2003,17,2377,MIL,Milwaukee Bucks,Joel Przybilla,1979-10-10,23.0,NBA,C,4.0,3.0,33.0,1.6,1.6,1.0,0.0,0.0,,1.6,1.6,1.0,0.0,0.0,,3.2,12.8,16.0,1.6,0.0,3.2,1.6,17.6,3.2,128.0,106.0
2009,25,2377,POR,Portland Trail Blazers,Joel Przybilla,1979-10-10,29.0,NBA,C,6.0,6.0,162.0,3.5,6.4,0.56,0.0,0.0,,3.5,6.4,0.56,1.1,2.1,0.5,6.7,8.8,15.5,2.8,1.4,4.2,1.1,7.4,8.1,131.0,106.0
