Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,26.0,3144,SAC,Sacramento Kings,23.0,NBA,PG,50,50,36.1,4.6,12.3,.374,2.0,6.5,.310,2.6,5.9,.446,.455,1.6,2.1,.752,0.3,2.8,3.1,6.0,1.9,0.0,2.9,1.8,12.8
2001,26.0,3144,SAC,Sacramento Kings,25.0,NBA,PG,77,77,29.7,3.6,9.0,.407,1.3,4.0,.315,2.4,4.9,.483,.478,0.8,1.0,.789,0.2,2.2,2.4,5.4,1.2,0.1,2.1,1.5,9.4
2002,15.0,3144,MEM,Memphis Grizzlies,26.0,NBA,PG,65,65,34.4,5.8,15.2,.382,2.0,6.6,.295,3.8,8.5,.449,.446,1.2,1.6,.792,0.3,2.7,3.0,8.0,1.7,0.1,3.3,1.6,14.8
2003,15.0,3144,MEM,Memphis Grizzlies,27.0,NBA,PG,76,76,31.7,4.4,11.3,.388,1.9,5.3,.354,2.5,6.0,.418,.471,1.4,1.7,.840,0.3,2.5,2.8,8.3,1.2,0.1,2.2,1.7,12.1
2004,15.0,3144,MEM,Memphis Grizzlies,28.0,NBA,PG,72,68,29.4,4.0,9.9,.407,1.7,5.1,.330,2.4,4.8,.487,.491,1.1,1.4,.837,0.3,1.7,2.0,6.8,1.3,0.1,1.9,1.3,10.9
2005,15.0,3144,MEM,Memphis Grizzlies,29.0,NBA,PG,71,68,27.5,3.7,9.1,.413,1.5,4.6,.324,2.2,4.4,.506,.496,1.1,1.4,.792,0.3,1.5,1.7,5.6,1.1,0.1,1.8,1.3,10.1
2006,16.0,3144,MIA,Miami Heat,30.0,NBA,PG,59,56,31.8,4.5,10.3,.442,1.8,4.9,.372,2.7,5.4,.506,.531,1.4,1.7,.867,0.1,2.3,2.4,4.9,0.9,0.1,1.7,1.7,12.3
2007,16.0,3144,MIA,Miami Heat,31.0,NBA,PG,61,55,30.6,3.9,9.3,.413,1.6,4.8,.339,2.2,4.5,.493,.501,1.5,1.7,.913,0.3,2.0,2.3,5.3,1.0,0.0,1.6,1.1,10.9
2008,16.0,3144,MIA,Miami Heat,32.0,NBA,PG,67,53,28.1,3.1,8.2,.384,1.4,4.1,.353,1.7,4.1,.415,.472,1.0,1.2,.863,0.2,1.8,1.9,4.6,1.2,0.1,1.4,1.4,8.8
2010,22.0,3144,ORL,Orlando Magic,34.0,NBA,PG,82,18,20.8,2.3,5.2,.444,1.0,2.7,.380,1.3,2.5,.512,.542,0.4,0.5,.756,0.1,1.5,1.5,3.6,0.6,0.0,1.1,0.8,6.0
2011,31.0,3144,TOT,Total After Trade,35.0,NBA,PG,27,0,10.9,0.8,2.5,.328,0.4,1.4,.263,0.4,1.1,.414,.403,0.0,0.0,,0.1,1.0,1.1,1.9,0.4,0.0,0.7,0.3,2.0
2011,22.0,3144,ORL,Orlando Magic,35.0,NBA,PG,16,0,10.7,0.8,2.4,.342,0.4,1.4,.304,0.4,0.9,.400,.434,0.0,0.0,,0.2,1.2,1.4,1.5,0.5,0.0,0.7,0.4,2.1
2011,15.0,3144,MEM,Memphis Grizzlies,35.0,NBA,PG,11,0,11.3,0.8,2.6,.310,0.3,1.4,.200,0.5,1.3,.429,.362,0.0,0.0,,0.0,0.7,0.7,2.5,0.3,0.1,0.6,0.2,1.9
