SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008,6,CLE,LeBron James,23.0,75,74.0,3027,794,1642,0.48,113,359,0.32,681,1283,0.53,0.52,549,771,0.71,133,459,592,539,138,81,255,165,2250
2008,6,CLE,Zydrunas Ilgauskas,32.0,73,73.0,2222,417,879,0.47,0,1,0.0,417,878,0.48,0.47,195,243,0.8,263,419,682,104,34,120,135,247,1029
2008,6,CLE,Daniel Gibson,21.0,58,26.0,1765,201,465,0.43,118,268,0.44,83,197,0.42,0.56,85,105,0.81,30,104,134,145,47,14,76,163,605
2008,6,CLE,Devin Brown,29.0,78,20.0,1762,217,531,0.41,45,146,0.31,172,385,0.45,0.45,107,142,0.75,65,198,263,175,52,7,99,144,586
2008,6,CLE,Drew Gooden,26.0,51,51.0,1564,232,523,0.44,0,3,0.0,232,520,0.45,0.44,110,151,0.73,117,306,423,50,35,30,91,144,574
2008,6,CLE,Damon Jones,31.0,67,3.0,1336,151,363,0.42,115,276,0.42,36,87,0.41,0.57,20,28,0.71,5,67,72,126,19,1,36,66,437
2008,6,CLE,Anderson Varejao,25.0,48,13.0,1320,136,295,0.46,0,2,0.0,136,293,0.46,0.46,49,82,0.6,134,265,399,53,37,26,59,134,321
2008,6,CLE,Larry Hughes,29.0,40,32.0,1210,180,478,0.38,43,126,0.34,137,352,0.39,0.42,88,108,0.82,27,116,143,94,60,11,72,91,491
2008,6,CLE,Sasha Pavlovic,24.0,51,45.0,1188,146,403,0.36,34,114,0.3,112,289,0.39,0.4,53,77,0.69,35,93,128,82,29,6,55,117,379
2008,6,CLE,Delonte West,24.0,26,26.0,806,99,225,0.44,29,79,0.37,70,146,0.48,0.5,41,52,0.79,18,79,97,116,29,19,51,59,268
2008,6,CLE,Ira Newble,33.0,41,13.0,650,71,158,0.45,15,45,0.33,56,113,0.5,0.5,20,26,0.77,41,73,114,14,27,7,31,64,177
2008,6,CLE,Joe Smith,32.0,27,1.0,580,87,170,0.51,0,2,0.0,87,168,0.52,0.51,45,69,0.65,55,81,136,19,9,16,22,73,219
2008,6,CLE,Ben Wallace,33.0,22,22.0,578,37,81,0.46,0,0,,37,81,0.46,0.46,19,44,0.43,59,104,163,13,19,37,18,35,93
2008,6,CLE,Wally Szczerbiak,30.0,25,1.0,556,75,209,0.36,19,52,0.36,56,157,0.36,0.4,36,41,0.88,18,63,81,35,9,7,20,36,205
2008,6,CLE,Dwayne Jones,24.0,56,0.0,472,25,47,0.53,0,1,0.0,25,46,0.54,0.53,28,58,0.48,69,71,140,10,10,25,17,88,78
2008,6,CLE,Eric Snow,34.0,22,5.0,305,6,38,0.16,0,2,0.0,6,36,0.17,0.16,10,22,0.46,4,16,20,42,10,4,10,30,22
2008,6,CLE,Shannon Brown,22.0,15,4.0,218,41,111,0.37,9,29,0.31,32,82,0.39,0.41,14,23,0.61,5,13,18,17,10,1,19,27,105
2008,6,CLE,Donyell Marshall,34.0,11,1.0,156,13,44,0.3,8,23,0.35,5,21,0.24,0.39,7,9,0.78,9,21,30,5,2,9,6,16,41
2008,6,CLE,Cedric Simmons,22.0,7,0.0,68,2,6,0.33,0,0,,2,6,0.33,0.33,0,8,0.0,5,10,15,0,2,5,4,7,4
2008,6,CLE,Billy Thomas,32.0,7,0.0,34,4,14,0.29,4,13,0.31,0,1,0.0,0.43,0,0,,0,2,2,0,1,0,3,4,12
2008,6,CLE,Demetris Nichols,23.0,3,0.0,14,1,8,0.12,0,3,0.0,1,5,0.2,0.12,0,0,,0,1,1,0,0,0,2,0,2
2008,6,CLE,Kaniel Dickens,29.0,5,0.0,12,1,3,0.33,0,0,,1,3,0.33,0.33,0,0,,0,1,1,1,0,1,0,1,2
2008,6,CLE,Lance Allred,26.0,3,0.0,10,1,4,0.25,0,0,,1,4,0.25,0.25,1,2,0.5,0,1,1,0,0,0,0,1,3
2008,6,CLE,Team Totals,,82,,19855,2937,6697,0.44,552,1544,0.36,2385,5153,0.46,0.48,1477,2061,0.72,1092,2563,3655,1640,579,427,1145,1712,7903
