Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,22.0,MIL,NBA,SG,77.0,,1557.0,4.9,10.4,0.468,0.0,0.0,0.0,4.9,10.4,0.469,5.4,6.8,0.795,3.6,4.3,7.8,3.1,1.7,0.4,2.7,2.5,15.1
1981,23.0,MIL,NBA,SG,80.0,,2417.0,6.0,11.0,0.541,0.0,0.1,0.222,5.9,10.9,0.545,4.8,5.9,0.804,2.8,3.3,6.0,3.9,1.3,0.6,2.2,2.3,16.7
1982,24.0,MIL,NBA,SG,80.0,80.0,2980.0,6.7,12.8,0.523,0.0,0.2,0.071,6.7,12.7,0.529,5.7,6.9,0.817,2.7,3.8,6.5,4.6,1.7,0.3,2.5,2.5,19.1
1983,25.0,MIL,NBA,SG,76.0,76.0,2710.0,8.1,15.4,0.524,0.0,0.1,0.1,8.0,15.2,0.528,6.6,8.0,0.826,2.6,3.3,5.8,4.0,1.5,0.3,2.6,2.4,22.7
1984,26.0,MIL,NBA,SG,79.0,79.0,3075.0,6.6,13.2,0.498,0.1,0.2,0.278,6.5,13.0,0.501,6.2,7.3,0.848,2.5,3.7,6.2,4.2,1.3,0.3,2.5,2.4,19.4
1985,27.0,MIL,NBA,PG,73.0,72.0,2734.0,7.4,15.3,0.483,0.1,0.4,0.273,7.3,14.9,0.489,6.0,7.2,0.828,2.0,3.2,5.1,5.0,1.5,0.5,2.4,2.6,20.9
1986,28.0,MIL,NBA,PG,73.0,72.0,2567.0,6.6,13.5,0.489,0.5,1.4,0.32,6.1,12.0,0.509,7.0,8.1,0.859,1.6,3.1,4.7,5.0,1.4,0.3,2.4,2.5,20.6
1987,29.0,MIL,NBA,SG,39.0,30.0,992.0,5.7,11.8,0.488,0.3,1.1,0.258,5.4,10.6,0.512,4.9,5.9,0.84,2.1,2.5,4.6,4.4,1.0,0.4,2.3,2.6,16.7
1988,30.0,MIL,NBA,SG,56.0,51.0,1428.0,5.5,11.2,0.489,0.1,0.8,0.161,5.3,10.4,0.513,4.1,4.9,0.837,1.5,3.1,4.5,5.1,1.0,0.4,2.2,2.7,15.2
1989,31.0,MIL,NBA,PG,62.0,50.0,1594.0,5.9,12.0,0.491,0.6,1.6,0.342,5.3,10.4,0.514,4.6,5.4,0.865,1.0,2.8,3.9,4.2,1.5,0.3,2.1,2.6,17.0
1991,33.0,ATL,NBA,SG,72.0,3.0,1096.0,3.8,7.9,0.488,0.7,2.1,0.328,3.2,5.8,0.545,2.7,3.4,0.781,1.0,3.2,4.2,3.4,1.6,0.3,2.2,3.7,11.1
