Season,Tm,Player,Rank,Pts Won,Pts Max,Share,Type
2009,CLE,LeBron James,1,1172.0,1210,0.969,MVP
2009,LAL,Kobe Bryant,2,698.0,1210,0.577,MVP
2009,MIA,Dwyane Wade,3,680.0,1210,0.562,MVP
2009,ORL,Dwight Howard,4,328.0,1210,0.271,MVP
2009,NOH,Chris Paul,5,192.0,1210,0.159,MVP
2009,TOT,Chauncey Billups,6,33.0,1210,0.027,MVP
2009,BOS,Paul Pierce,7,21.0,1210,0.017,MVP
2009,SAS,Tony Parker,8,9.0,1210,0.007,MVP
2009,POR,Brandon Roy,9,7.0,1210,0.006,MVP
2009,DAL,Dirk Nowitzki,10,3.0,1210,0.002,MVP
2009,SAS,Tim Duncan,11,2.0,1210,0.002,MVP
2009,HOU,Yao Ming,12,1.0,1210,0.001,MVP
