Season,Team ID,Team ABV,Team,PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1992,12,IND,Indiana Pacers,Reggie Miller,26,3,130,22.4,0.72,0.26,0.7,3.6,2.6,3.1,19.5,1.6,0.0,6.6,21.1,0.6,0.0,0.6,0.22,7.3,-0.1,7.2,0.3
1992,12,IND,Indiana Pacers,Detlef Schrempf,29,3,120,17.9,0.53,0.08,0.6,11.8,25.8,18.9,9.8,0.9,0.5,10.6,25.2,0.2,0.1,0.2,0.09,2.1,-3.1,-1.0,0.0
1992,12,IND,Indiana Pacers,Chuck Person,27,3,118,8.4,0.49,0.32,0.26,1.0,7.8,4.4,10.2,0.9,0.0,10.3,22.5,-0.1,0.0,-0.2,-0.06,-2.0,-3.8,-5.8,-0.1
1992,12,IND,Indiana Pacers,Micheal Williams,25,3,106,17.3,0.5,0.21,0.35,1.1,7.6,4.4,39.4,4.3,0.0,12.4,24.3,0.1,0.1,0.1,0.05,1.2,0.9,2.2,0.1
1992,12,IND,Indiana Pacers,Dale Davis,22,3,69,7.9,0.4,0.0,0.0,8.6,23.3,16.0,4.2,0.0,4.0,9.1,7.3,0.0,0.0,0.0,0.02,-2.3,-0.7,-3.0,0.0
1992,12,IND,Indiana Pacers,LaSalle Thompson,30,3,63,11.1,0.67,0.0,0.18,3.8,20.0,12.0,10.0,0.8,3.5,20.2,10.8,0.1,0.0,0.1,0.06,-2.1,2.1,0.0,0.0
1992,12,IND,Indiana Pacers,George McCloud,24,2,53,14.9,0.68,0.5,0.92,0.0,4.3,2.2,17.9,1.9,1.1,15.1,17.0,0.1,0.0,0.1,0.1,2.5,-0.4,2.1,0.1
1992,12,IND,Indiana Pacers,Vern Fleming,29,3,51,11.4,0.54,0.0,0.17,0.0,4.5,2.3,21.4,3.0,0.0,17.2,20.8,0.0,0.0,0.0,-0.04,-2.2,-0.7,-3.0,0.0
1992,12,IND,Indiana Pacers,Rik Smits,25,3,28,6.0,0.42,0.0,0.18,12.7,12.3,12.5,0.0,3.7,2.0,20.2,24.2,-0.1,0.0,-0.1,-0.12,-8.0,-1.4,-9.4,-0.1
1992,12,IND,Indiana Pacers,Greg Dreiling,29,1,3,-11.2,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.03,-17.9,1.1,-16.8,0.0
1992,12,IND,Indiana Pacers,Sean Green,21,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.04,-2.9,-1.1,-4.1,0.0
1992,12,IND,Indiana Pacers,Kenny Williams,22,1,1,49.9,,,,0.0,0.0,0.0,0.0,51.2,0.0,,0.0,0.0,0.0,0.0,0.53,11.4,37.1,48.6,0.0
