Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1997,24,1605,PHO,Phoenix Suns,Jason Kidd,"March 23, 1973",23.0,NBA,PG,5.0,207.0,15.2,0.49,0.42,0.36,2.2,13.9,8.2,39.4,2.7,0.8,17.5,15.9,0.2,0.0,0.2,0.05,1.4,0.9,2.4,0.2
1998,24,1605,PHO,Phoenix Suns,Jason Kidd,"March 23, 1973",24.0,NBA,PG,4.0,171.0,16.3,0.44,0.12,0.28,3.1,13.0,7.6,28.2,4.9,1.0,15.6,20.5,-0.1,0.2,0.1,0.04,0.4,3.3,3.7,0.2
1999,24,1605,PHO,Phoenix Suns,Jason Kidd,"March 23, 1973",25.0,NBA,PG,3.0,126.0,16.0,0.49,0.37,0.16,0.9,7.5,3.6,42.5,2.1,0.7,16.3,20.2,0.2,-0.1,0.1,0.03,2.6,-1.5,1.1,0.1
2000,24,1605,PHO,Phoenix Suns,Jason Kidd,"March 23, 1973",26.0,NBA,PG,6.0,229.0,14.3,0.5,0.4,0.16,3.7,14.9,9.2,38.5,2.5,0.3,28.1,16.0,0.0,0.4,0.4,0.08,1.5,1.8,3.3,0.3
2001,24,1605,PHO,Phoenix Suns,Jason Kidd,"March 23, 1973",27.0,NBA,PG,4.0,166.0,15.3,0.38,0.25,0.17,5.3,9.3,7.3,55.4,2.4,0.0,13.9,22.0,0.0,0.2,0.1,0.04,2.5,1.0,3.5,0.2
2002,3,1605,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",28.0,NBA,PG,20.0,803.0,21.7,0.49,0.25,0.28,5.7,17.6,11.4,40.8,2.2,0.8,14.4,25.8,1.3,1.0,2.3,0.14,4.6,1.4,6.0,1.6
2003,3,1605,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",29.0,NBA,PG,20.0,852.0,19.2,0.51,0.3,0.33,4.7,16.4,10.4,35.4,2.3,0.4,16.8,25.0,1.1,1.6,2.6,0.15,3.9,1.6,5.5,1.6
2004,3,1605,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",30.0,NBA,PG,11.0,474.0,16.1,0.46,0.37,0.41,4.2,13.3,9.0,39.1,2.8,1.0,22.0,19.4,0.3,0.8,1.1,0.11,2.0,1.5,3.5,0.6
2005,3,1605,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",31.0,NBA,PG,4.0,182.0,16.1,0.48,0.45,0.16,5.7,18.7,11.4,30.6,2.9,0.0,11.1,20.1,0.1,0.1,0.2,0.06,2.7,1.4,4.1,0.3
2006,3,1605,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",32.0,NBA,PG,11.0,450.0,16.4,0.46,0.38,0.17,5.8,17.9,11.6,38.9,2.1,0.4,14.4,17.7,0.5,0.6,1.0,0.11,2.4,1.0,3.3,0.6
2007,3,1605,NJN,New Jersey Nets,Jason Kidd,"March 23, 1973",33.0,NBA,PG,12.0,484.0,22.0,0.55,0.55,0.17,5.8,26.2,16.2,49.5,2.5,0.9,20.5,19.9,1.0,1.1,2.1,0.21,5.0,3.6,8.6,1.3
2008,7,1605,DAL,Dallas Mavericks,Jason Kidd,"March 23, 1973",34.0,NBA,PG,5.0,180.0,15.3,0.52,0.34,0.21,4.7,15.7,9.9,33.2,2.1,0.8,17.8,13.0,0.2,0.0,0.3,0.07,1.0,1.2,2.2,0.2
2009,7,1605,DAL,Dallas Mavericks,Jason Kidd,"March 23, 1973",35.0,NBA,PG,10.0,386.0,16.8,0.62,0.57,0.24,2.3,15.6,9.2,23.8,3.0,0.6,17.9,13.7,0.8,0.2,1.0,0.13,2.3,1.5,3.8,0.6
2010,7,1605,DAL,Dallas Mavericks,Jason Kidd,"March 23, 1973",36.0,NBA,PG,6.0,243.0,13.5,0.47,0.61,0.26,2.8,16.1,9.5,26.6,3.1,0.3,14.9,11.6,0.2,0.4,0.6,0.12,-0.2,2.5,2.3,0.3
2011,7,1605,DAL,Dallas Mavericks,Jason Kidd,"March 23, 1973",37.0,NBA,PG,21.0,744.0,15.7,0.56,0.71,0.19,1.9,13.6,7.8,32.7,3.0,1.1,24.3,15.1,0.9,0.9,1.9,0.12,2.1,2.7,4.8,1.3
2012,7,1605,DAL,Dallas Mavericks,Jason Kidd,"March 23, 1973",38.0,NBA,PG,4.0,144.0,16.7,0.51,0.63,0.24,2.4,18.8,10.0,29.8,4.4,0.6,19.5,18.0,0.1,0.1,0.2,0.08,1.6,4.0,5.6,0.3
2013,20,1605,NYK,New York Knicks,Jason Kidd,"March 23, 1973",39.0,NBA,SG,12.0,247.0,5.1,0.21,0.68,0.08,3.1,18.2,10.1,14.4,2.7,1.6,33.4,7.6,-0.4,0.5,0.1,0.01,-4.0,1.9,-2.1,0.0
