Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1989,23.0,NJN,NBA,SF,76.0,48.0,2096.0,414.0,905.0,0.457,64.0,175.0,0.366,350.0,730.0,0.479,0.493,182.0,254.0,0.717,188.0,209.0,397.0,119.0,102.0,60.0,190.0,250.0,1074.0,,0.0
1990,24.0,NJN,NBA,SF,80.0,76.0,2449.0,449.0,1065.0,0.422,61.0,193.0,0.316,388.0,872.0,0.445,0.45,228.0,316.0,0.722,194.0,228.0,422.0,143.0,130.0,79.0,185.0,219.0,1187.0,,0.0
1991,25.0,NJN,NBA,SF,79.0,68.0,2553.0,409.0,962.0,0.425,45.0,179.0,0.251,364.0,783.0,0.465,0.449,179.0,244.0,0.734,210.0,311.0,521.0,220.0,138.0,96.0,167.0,248.0,1042.0,,1.0
1992,26.0,NJN,NBA,SF,77.0,74.0,2394.0,346.0,726.0,0.477,22.0,110.0,0.2,324.0,616.0,0.526,0.492,165.0,231.0,0.714,199.0,295.0,494.0,197.0,129.0,81.0,171.0,211.0,879.0,,0.0
1993,27.0,NJN,NBA,SF,77.0,57.0,2302.0,436.0,907.0,0.481,17.0,76.0,0.224,419.0,831.0,0.504,0.49,197.0,248.0,0.794,227.0,227.0,454.0,106.0,144.0,52.0,119.0,171.0,1086.0,,0.0
1994,28.0,NJN,NBA,SF,50.0,27.0,1349.0,203.0,454.0,0.447,53.0,147.0,0.361,150.0,307.0,0.489,0.506,85.0,118.0,0.72,91.0,137.0,228.0,83.0,55.0,49.0,52.0,120.0,544.0,,0.0
1995,29.0,NJN,NBA,SF,71.0,49.0,2131.0,351.0,856.0,0.41,106.0,317.0,0.334,245.0,539.0,0.455,0.472,142.0,195.0,0.728,181.0,221.0,402.0,147.0,86.0,51.0,117.0,155.0,950.0,,0.0
1996,30.0,UTA,NBA,SG,66.0,33.0,1424.0,265.0,606.0,0.437,63.0,197.0,0.32,202.0,409.0,0.494,0.489,98.0,127.0,0.772,100.0,129.0,229.0,77.0,63.0,20.0,71.0,140.0,691.0,,0.0
1997,31.0,UTA,NBA,SF,73.0,1.0,977.0,122.0,299.0,0.408,31.0,113.0,0.274,91.0,186.0,0.489,0.46,39.0,54.0,0.722,37.0,125.0,162.0,43.0,29.0,24.0,45.0,121.0,314.0,,0.0
1998,32.0,UTA,NBA,SF,54.0,1.0,538.0,85.0,207.0,0.411,19.0,62.0,0.306,66.0,145.0,0.455,0.457,44.0,61.0,0.721,35.0,79.0,114.0,24.0,25.0,17.0,33.0,61.0,233.0,,0.0
1999,33.0,PHO,NBA,SF,44.0,2.0,535.0,64.0,149.0,0.43,16.0,56.0,0.286,48.0,93.0,0.516,0.483,40.0,46.0,0.87,54.0,67.0,121.0,23.0,16.0,11.0,21.0,54.0,184.0,,0.0
