Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003,13,857,LAC,Los Angeles Clippers,24.0,NBA,C,52.0,7.0,802.0,92.0,186.0,0.5,0.0,0.0,,92.0,186.0,0.5,0.5,52.0,74.0,0.7,64.0,110.0,174.0,15.0,10.0,32.0,50.0,95.0,236.0
2004,13,857,LAC,Los Angeles Clippers,25.0,NBA,PF,42.0,2.0,510.0,66.0,153.0,0.43,0.0,1.0,0.0,66.0,152.0,0.43,0.43,25.0,42.0,0.6,48.0,53.0,101.0,22.0,9.0,17.0,20.0,68.0,157.0
2005,4,857,CHA,Charlotte Bobcats,26.0,NBA,PF,79.0,17.0,1649.0,227.0,526.0,0.43,0.0,0.0,,227.0,526.0,0.43,0.43,122.0,212.0,0.57,142.0,184.0,326.0,76.0,32.0,69.0,115.0,199.0,576.0
2006,4,857,CHA,Charlotte Bobcats,27.0,NBA,PF,57.0,22.0,1348.0,216.0,425.0,0.51,0.0,2.0,0.0,216.0,423.0,0.51,0.51,128.0,192.0,0.67,94.0,183.0,277.0,76.0,29.0,44.0,100.0,160.0,560.0
2007,31,857,TOT,Total After Trade,28.0,NBA,"C,PF",30.0,0.0,309.0,29.0,80.0,0.36,0.0,0.0,,29.0,80.0,0.36,0.36,31.0,47.0,0.66,15.0,38.0,53.0,18.0,6.0,8.0,28.0,51.0,89.0
2007,4,857,CHA,Charlotte Bobcats,28.0,NBA,PF,24.0,0.0,244.0,23.0,60.0,0.38,0.0,0.0,,23.0,60.0,0.38,0.38,24.0,35.0,0.69,12.0,27.0,39.0,14.0,2.0,6.0,23.0,39.0,70.0
2007,27,857,SAS,San Antonio Spurs,28.0,NBA,C,6.0,0.0,65.0,6.0,20.0,0.3,0.0,0.0,,6.0,20.0,0.3,0.3,7.0,12.0,0.58,3.0,11.0,14.0,4.0,4.0,2.0,5.0,12.0,19.0
2008,19,857,NOH,New Orleans Hornets,29.0,NBA,C,52.0,1.0,621.0,85.0,180.0,0.47,0.0,0.0,,85.0,180.0,0.47,0.47,32.0,58.0,0.55,28.0,117.0,145.0,22.0,7.0,18.0,42.0,79.0,202.0
2009,19,857,NOH,New Orleans Hornets,30.0,NBA,C,31.0,4.0,373.0,37.0,95.0,0.39,0.0,0.0,,37.0,95.0,0.39,0.39,23.0,36.0,0.64,30.0,34.0,64.0,18.0,2.0,9.0,23.0,58.0,97.0
2011,8,857,DEN,Denver Nuggets,32.0,NBA,C,30.0,2.0,366.0,28.0,51.0,0.55,0.0,0.0,,28.0,51.0,0.55,0.55,13.0,21.0,0.62,27.0,47.0,74.0,14.0,4.0,11.0,14.0,50.0,69.0
2014,19,857,NOP,New Orleans Pelicans,35.0,NBA,C,2.0,0.0,27.0,3.0,6.0,0.5,0.0,0.0,,3.0,6.0,0.5,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,6.0
