SEASON,TEAM ID,TEAM,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,7,DAL,Dallas Mavericks,82,19805,3322,7230,0.46,507,1456,0.35,2815,5774,0.49,1475,1854,0.8,1174,2538,3712,1963,656,437,1000,1609,8626
2004,26,SAC,Sacramento Kings,82,19780,3103,6711,0.46,601,1498,0.4,2502,5213,0.48,1626,2044,0.8,888,2492,3380,2152,710,325,1137,1586,8433
2004,14,LAL,Los Angeles Lakers,82,19855,3028,6676,0.45,365,1115,0.33,2663,5561,0.48,1631,2352,0.69,1001,2535,3536,1948,682,379,1132,1732,8052
2004,17,MIL,Milwaukee Bucks,82,19780,2970,6650,0.45,401,1145,0.35,2569,5505,0.47,1698,2192,0.78,960,2502,3462,1872,554,383,1110,1668,8039
2004,8,DEN,Denver Nuggets,82,19730,2993,6763,0.44,331,985,0.34,2662,5778,0.46,1655,2159,0.77,1083,2387,3470,1794,745,520,1278,1804,7972
2004,21,SEA,Seattle Supersonics,82,19805,2939,6590,0.45,723,1936,0.37,2216,4654,0.48,1363,1782,0.76,907,2318,3225,1782,661,387,1188,1784,7964
2004,15,MEM,Memphis Grizzlies,82,19880,2963,6657,0.44,447,1314,0.34,2516,5343,0.47,1557,2143,0.73,1047,2381,3428,1915,795,565,1226,1903,7930
2004,2,BOS,Boston Celtics,82,19705,2843,6415,0.44,553,1599,0.35,2290,4816,0.48,1572,2095,0.75,851,2440,3291,1683,770,331,1332,1837,7811
2004,13,LAC,Los Angeles Clippers,82,19805,2817,6579,0.43,329,1024,0.32,2488,5555,0.45,1808,2302,0.78,1149,2416,3565,1653,594,376,1344,1816,7771
2004,18,MIN,Minnesota Timberwolves,82,19755,3033,6571,0.46,326,897,0.36,2707,5674,0.48,1361,1743,0.78,875,2645,3520,1890,561,462,1043,1731,7753
2004,24,PHO,Phoenix Suns,82,19730,2958,6671,0.44,415,1202,0.34,2543,5469,0.46,1392,1865,0.75,924,2406,3330,1586,734,383,1249,1862,7723
2004,22,ORL,Orlando Magic,82,19830,2904,6768,0.43,429,1248,0.34,2475,5520,0.45,1474,2000,0.74,1003,2350,3353,1584,547,308,1123,1744,7711
2004,10,GSW,Golden State Warriors,82,19855,2875,6511,0.44,429,1283,0.33,2446,5228,0.47,1470,2028,0.72,1002,2533,3535,1681,576,389,1211,1691,7649
2004,6,CLE,Cleveland Cavaliers,82,19855,2922,6753,0.43,247,786,0.31,2675,5967,0.45,1528,2030,0.75,1118,2619,3737,1808,585,537,1216,1743,7619
2004,1,ALT,Atlanta Hawks,82,19905,2829,6529,0.43,419,1249,0.34,2410,5280,0.46,1534,1976,0.78,996,2507,3503,1648,627,408,1350,1826,7611
2004,20,NYK,New York Knicks,82,19880,2881,6513,0.44,406,1115,0.36,2475,5398,0.46,1374,1732,0.79,950,2543,3493,1695,608,391,1289,1897,7542
2004,19,NOH,New Orleans Hornets,82,19830,2772,6605,0.42,531,1666,0.32,2241,4939,0.45,1454,1937,0.75,1091,2418,3509,1716,708,346,1228,1715,7529
2004,30,WAS,Washington Wizards,82,19830,2758,6556,0.42,433,1269,0.34,2325,5287,0.44,1579,2211,0.71,1115,2392,3507,1537,733,406,1439,1712,7528
2004,27,SAS,San Antonio Spurs,82,19755,2842,6434,0.44,408,1140,0.36,2434,5294,0.46,1409,2069,0.68,1029,2669,3698,1676,661,537,1203,1667,7501
2004,12,IND,Indiana Pacers,82,19805,2753,6322,0.44,449,1281,0.35,2304,5041,0.46,1538,2014,0.76,965,2452,3417,1774,726,411,1182,1709,7493
2004,25,POR,Portland Trail Blazers,82,19980,2898,6467,0.45,381,1102,0.35,2517,5365,0.47,1263,1728,0.73,1040,2376,3416,1768,613,443,1213,1554,7440
2004,16,MIA,Miami Heat,82,19755,2729,6417,0.42,485,1357,0.36,2244,5060,0.44,1459,1915,0.76,940,2459,3399,1565,590,313,1137,1812,7402
2004,3,NJN,New Jersey Nets,82,19705,2813,6372,0.44,377,1123,0.34,2436,5249,0.46,1398,1856,0.75,862,2473,3335,2009,709,322,1209,1722,7401
2004,9,DET,Detroit Pistons,82,19780,2747,6314,0.44,333,968,0.34,2414,5346,0.45,1561,2074,0.75,1014,2492,3506,1702,659,570,1241,1664,7388
2004,11,HOU,Houston Rockets,82,19930,2738,6195,0.44,515,1406,0.37,2223,4789,0.46,1371,1774,0.77,847,2647,3494,1579,560,443,1373,1762,7362
2004,5,CHI,Chicago Bulls,82,19830,2798,6753,0.41,429,1256,0.34,2369,5497,0.43,1330,1834,0.72,1048,2519,3567,1793,659,396,1321,1911,7355
2004,29,UTA,Utah Jazz,82,19780,2690,6172,0.44,252,786,0.32,2438,5386,0.45,1639,2196,0.75,1103,2272,3375,1671,583,494,1365,2096,7271
2004,23,PHI,Philadelphia 76Ers,82,19855,2682,6260,0.43,339,992,0.34,2343,5268,0.44,1512,2009,0.75,941,2408,3349,1640,654,358,1307,1701,7215
2004,28,TOR,Toronto Raptors,82,19980,2654,6348,0.42,461,1294,0.36,2193,5054,0.43,1237,1650,0.75,830,2419,3249,1574,604,402,1164,1748,7006
