Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1985,11,2198,HOU,Houston Rockets,Hakeem Olajuwon,"January 21, 1963",22.0,NBA,C,82.0,82.0,2914.0,677.0,1258.0,0.54,0.0,0.0,,677.0,1258.0,0.54,0.54,338.0,551.0,0.61,440.0,534.0,974.0,111.0,99.0,220.0,234.0,344.0,1692.0,,0.0
1986,11,2198,HOU,Houston Rockets,Hakeem Olajuwon,"January 21, 1963",23.0,NBA,C,68.0,68.0,2467.0,625.0,1188.0,0.53,0.0,0.0,,625.0,1188.0,0.53,0.53,347.0,538.0,0.64,333.0,448.0,781.0,137.0,134.0,231.0,195.0,271.0,1597.0,,1.0
1987,11,2198,HOU,Houston Rockets,Hakeem Olajuwon,"January 21, 1963",24.0,NBA,C,75.0,75.0,2760.0,677.0,1332.0,0.51,1.0,5.0,0.2,676.0,1327.0,0.51,0.51,400.0,570.0,0.7,315.0,543.0,858.0,220.0,140.0,254.0,228.0,294.0,1755.0,,1.0
1988,11,2198,HOU,Houston Rockets,Hakeem Olajuwon,"January 21, 1963",25.0,NBA,C,79.0,79.0,2825.0,712.0,1385.0,0.51,0.0,4.0,0.0,712.0,1381.0,0.52,0.51,381.0,548.0,0.7,302.0,657.0,959.0,163.0,162.0,214.0,243.0,324.0,1805.0,,1.0
1989,11,2198,HOU,Houston Rockets,Hakeem Olajuwon,"January 21, 1963",26.0,NBA,C,82.0,82.0,3024.0,790.0,1556.0,0.51,0.0,10.0,0.0,790.0,1546.0,0.51,0.51,454.0,652.0,0.7,338.0,767.0,1105.0,149.0,213.0,282.0,275.0,329.0,2034.0,,0.0
1990,11,2198,HOU,Houston Rockets,Hakeem Olajuwon,"January 21, 1963",27.0,NBA,C,82.0,82.0,3124.0,806.0,1609.0,0.5,1.0,6.0,0.17,805.0,1603.0,0.5,0.5,382.0,536.0,0.71,299.0,850.0,1149.0,234.0,174.0,376.0,316.0,314.0,1995.0,,4.0
1991,11,2198,HOU,Houston Rockets,Hakeem Olajuwon,"January 21, 1963",28.0,NBA,C,56.0,50.0,2062.0,487.0,959.0,0.51,0.0,4.0,0.0,487.0,955.0,0.51,0.51,213.0,277.0,0.77,219.0,551.0,770.0,131.0,121.0,221.0,174.0,221.0,1187.0,,1.0
1992,11,2198,HOU,Houston Rockets,Hakeem Olajuwon,"January 21, 1963",29.0,NBA,C,70.0,69.0,2636.0,591.0,1177.0,0.5,0.0,1.0,0.0,591.0,1176.0,0.5,0.5,328.0,428.0,0.77,246.0,599.0,845.0,157.0,127.0,304.0,187.0,263.0,1510.0,,0.0
1993,11,2198,HOU,Houston Rockets,Hakeem Olajuwon,"January 21, 1963",30.0,NBA,C,82.0,82.0,3242.0,848.0,1603.0,0.53,0.0,8.0,0.0,848.0,1595.0,0.53,0.53,444.0,570.0,0.78,283.0,785.0,1068.0,291.0,150.0,342.0,262.0,305.0,2140.0,,0.0
1994,11,2198,HOU,Houston Rockets,Hakeem Olajuwon,"January 21, 1963",31.0,NBA,C,80.0,80.0,3277.0,894.0,1694.0,0.53,8.0,19.0,0.42,886.0,1675.0,0.53,0.53,388.0,542.0,0.72,229.0,726.0,955.0,287.0,128.0,297.0,271.0,289.0,2184.0,,1.0
