Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
1988,13,3178,LAC,Los Angeles Clippers,Reggie Williams,1964-03-05,23.0,NBA,SF,35.0,14.0,857.0,152.0,427.0,0.36,13.0,58.0,0.22,139.0,369.0,0.38,0.37,48.0,66.0,0.73,55.0,63.0,118.0,58.0,29.0,21.0,63.0,108.0,365.0,0.0
1989,13,3178,LAC,Los Angeles Clippers,Reggie Williams,1964-03-05,24.0,NBA,SF,63.0,17.0,1303.0,260.0,594.0,0.44,30.0,104.0,0.29,230.0,490.0,0.47,0.46,92.0,122.0,0.75,70.0,109.0,179.0,103.0,81.0,29.0,114.0,181.0,642.0,0.0
1990,31,3178,TOT,Total After Trade,Reggie Williams,1964-03-05,25.0,NBA,SF,47.0,17.0,743.0,131.0,338.0,0.39,6.0,37.0,0.16,125.0,301.0,0.42,0.4,52.0,68.0,0.76,28.0,55.0,83.0,53.0,32.0,14.0,45.0,102.0,320.0,0.0
1990,13,3178,LAC,Los Angeles Clippers,Reggie Williams,1964-03-05,25.0,NBA,SF,5.0,5.0,133.0,21.0,57.0,0.37,0.0,5.0,0.0,21.0,52.0,0.4,0.37,18.0,21.0,0.86,8.0,7.0,15.0,10.0,9.0,1.0,9.0,7.0,60.0,0.0
1990,6,3178,CLE,Cleveland Cavaliers,Reggie Williams,1964-03-05,25.0,NBA,SF,32.0,12.0,542.0,91.0,239.0,0.38,6.0,27.0,0.22,85.0,212.0,0.4,0.39,30.0,41.0,0.73,17.0,43.0,60.0,38.0,22.0,10.0,32.0,79.0,218.0,0.0
1990,27,3178,SAS,San Antonio Spurs,Reggie Williams,1964-03-05,25.0,NBA,SF,10.0,0.0,68.0,19.0,42.0,0.45,0.0,5.0,0.0,19.0,37.0,0.51,0.45,4.0,6.0,0.67,3.0,5.0,8.0,5.0,1.0,3.0,4.0,16.0,42.0,0.0
1991,31,3178,TOT,Total After Trade,Reggie Williams,1964-03-05,26.0,NBA,SF,73.0,46.0,1896.0,384.0,855.0,0.45,57.0,157.0,0.36,327.0,698.0,0.47,0.48,166.0,197.0,0.84,133.0,173.0,306.0,133.0,113.0,41.0,112.0,253.0,991.0,0.0
1991,27,3178,SAS,San Antonio Spurs,Reggie Williams,1964-03-05,26.0,NBA,SF,22.0,0.0,354.0,61.0,127.0,0.48,14.0,26.0,0.54,47.0,101.0,0.46,0.54,35.0,41.0,0.85,17.0,42.0,59.0,46.0,20.0,11.0,36.0,64.0,171.0,0.0
1991,8,3178,DEN,Denver Nuggets,Reggie Williams,1964-03-05,26.0,NBA,SF,51.0,46.0,1542.0,323.0,728.0,0.44,43.0,131.0,0.33,280.0,597.0,0.47,0.47,131.0,156.0,0.84,116.0,131.0,247.0,87.0,93.0,30.0,76.0,189.0,820.0,0.0
1992,8,3178,DEN,Denver Nuggets,Reggie Williams,1964-03-05,27.0,NBA,SF,81.0,80.0,2623.0,601.0,1277.0,0.47,56.0,156.0,0.36,545.0,1121.0,0.49,0.49,216.0,269.0,0.8,145.0,260.0,405.0,235.0,148.0,68.0,173.0,270.0,1474.0,0.0
1993,8,3178,DEN,Denver Nuggets,Reggie Williams,1964-03-05,28.0,NBA,SF,79.0,79.0,2722.0,535.0,1167.0,0.46,33.0,122.0,0.27,502.0,1045.0,0.48,0.47,238.0,296.0,0.8,132.0,296.0,428.0,295.0,126.0,76.0,194.0,284.0,1341.0,0.0
1994,8,3178,DEN,Denver Nuggets,Reggie Williams,1964-03-05,29.0,NBA,SF,82.0,68.0,2654.0,418.0,1014.0,0.41,64.0,230.0,0.28,354.0,784.0,0.45,0.44,165.0,225.0,0.73,98.0,294.0,392.0,300.0,117.0,66.0,163.0,288.0,1065.0,0.0
1995,8,3178,DEN,Denver Nuggets,Reggie Williams,1964-03-05,30.0,NBA,SF,74.0,70.0,2198.0,388.0,846.0,0.46,85.0,266.0,0.32,303.0,580.0,0.52,0.51,132.0,174.0,0.76,94.0,235.0,329.0,231.0,114.0,67.0,124.0,264.0,993.0,1.0
1996,8,3178,DEN,Denver Nuggets,Reggie Williams,1964-03-05,31.0,NBA,SF,52.0,5.0,817.0,94.0,254.0,0.37,20.0,89.0,0.22,74.0,165.0,0.45,0.41,33.0,39.0,0.85,25.0,97.0,122.0,74.0,34.0,21.0,51.0,137.0,241.0,0.0
1997,31,3178,TOT,Total After Trade,Reggie Williams,1964-03-05,32.0,NBA,SF,13.0,0.0,200.0,29.0,76.0,0.38,9.0,34.0,0.26,20.0,42.0,0.48,0.44,9.0,12.0,0.75,5.0,26.0,31.0,10.0,8.0,4.0,12.0,33.0,76.0,0.0
1997,12,3178,IND,Indiana Pacers,Reggie Williams,1964-03-05,32.0,NBA,SF,2.0,0.0,33.0,2.0,9.0,0.22,0.0,1.0,0.0,2.0,8.0,0.25,0.22,1.0,2.0,0.5,1.0,6.0,7.0,2.0,0.0,0.0,2.0,5.0,5.0,0.0
1997,3,3178,NJN,New Jersey Nets,Reggie Williams,1964-03-05,32.0,NBA,SF,11.0,0.0,167.0,27.0,67.0,0.4,9.0,33.0,0.27,18.0,34.0,0.53,0.47,8.0,10.0,0.8,4.0,20.0,24.0,8.0,8.0,4.0,10.0,28.0,71.0,0.0
