Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984,11,2552,HOU,Houston Rockets,Ralph Sampson,"July 7, 1960",23.0,NBA,C,82.0,82.0,2693.0,9.6,18.3,0.52,0.0,0.1,0.25,9.6,18.2,0.52,3.8,5.8,0.66,3.9,8.3,12.2,2.2,0.9,2.6,3.9,4.5,23.0
1985,11,2552,HOU,Houston Rockets,Ralph Sampson,"July 7, 1960",24.0,NBA,PF,82.0,82.0,3086.0,8.8,17.5,0.5,0.0,0.1,0.0,8.8,17.4,0.5,3.5,5.2,0.68,2.6,7.3,10.0,2.6,0.9,2.0,3.8,3.6,21.1
1986,11,2552,HOU,Houston Rockets,Ralph Sampson,"July 7, 1960",25.0,NBA,PF,79.0,76.0,2864.0,7.8,16.1,0.49,0.0,0.2,0.13,7.8,15.9,0.49,3.0,4.7,0.64,3.2,7.8,11.0,3.6,1.2,1.6,3.6,3.9,18.7
1987,11,2552,HOU,Houston Rockets,Ralph Sampson,"July 7, 1960",26.0,NBA,PF,43.0,32.0,1326.0,7.5,15.4,0.49,0.0,0.1,0.0,7.5,15.3,0.49,3.2,5.1,0.62,2.4,7.7,10.1,3.3,1.1,1.6,3.4,4.6,18.2
1988,31,2552,TOT,Total After Trade,Ralph Sampson,"July 7, 1960",27.0,NBA,"C,PF",48.0,44.0,1663.0,6.5,14.8,0.44,0.0,0.2,0.18,6.4,14.5,0.44,3.2,4.2,0.76,3.0,7.0,10.0,2.6,0.9,1.9,3.7,3.6,16.2
1988,11,2552,HOU,Houston Rockets,Ralph Sampson,"July 7, 1960",27.0,NBA,PF,19.0,19.0,705.0,6.1,13.8,0.44,0.1,0.3,0.33,6.0,13.5,0.44,3.2,4.3,0.74,3.0,5.8,8.8,1.9,0.9,1.7,3.2,3.2,15.5
1988,10,2552,GSW,Golden State Warriors,Ralph Sampson,"July 7, 1960",27.0,NBA,C,29.0,25.0,958.0,6.8,15.4,0.44,0.0,0.2,0.0,6.8,15.3,0.44,3.2,4.2,0.78,3.1,7.8,10.9,3.2,0.9,2.1,4.1,3.8,16.8
1989,10,2552,GSW,Golden State Warriors,Ralph Sampson,"July 7, 1960",28.0,NBA,C,61.0,36.0,1086.0,5.4,12.1,0.45,0.1,0.3,0.38,5.3,11.8,0.45,2.1,3.1,0.65,3.5,6.7,10.2,2.6,1.0,2.2,3.0,5.6,13.0
1990,26,2552,SAC,Sacramento Kings,Ralph Sampson,"July 7, 1960",29.0,NBA,C,26.0,7.0,417.0,4.1,11.1,0.37,0.1,0.3,0.25,4.1,10.8,0.38,1.0,2.0,0.52,0.9,6.3,7.3,2.4,1.2,1.9,2.9,5.7,9.4
1991,26,2552,SAC,Sacramento Kings,Ralph Sampson,"July 7, 1960",30.0,NBA,C,25.0,4.0,348.0,3.5,9.6,0.37,0.1,0.5,0.2,3.4,9.1,0.38,0.5,2.0,0.26,4.2,7.2,11.5,1.8,1.1,1.8,2.8,5.6,7.7
1992,30,2552,WSB,Washington Bullets,Ralph Sampson,"July 7, 1960",31.0,NBA,C,10.0,0.0,108.0,3.0,9.7,0.31,0.0,0.7,0.0,3.0,9.0,0.33,1.3,2.0,0.67,3.7,6.3,10.0,1.3,1.0,2.7,3.3,4.7,7.3
