NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
11,B.J. Armstrong,PG,6-2,175,1967-09-09,US,6,Iowa
20,Jon Barry,SG,6-4,195,1969-07-25,US,3,"University of the Pacific, Georgia Tech"
21,Robert Churchwell,SG,6-6,195,1972-02-20,US,R,Georgetown
12,Bimbo Coles,PG,6-1,180,1968-04-22,US,5,Virginia Tech
55,Andrew DeClercq,C,6-10,230,1973-02-01,US,R,Florida
25,Chris Gatling,PF,6-10,220,1967-09-03,US,4,Old Dominion
43,Geert Hammink,C,7-0,262,1969-07-12,NL,2,LSU
10,Tim Hardaway,PG,6-0,175,1966-09-01,US,5,Texas-El Paso
7,Jerome Kersey,SF,6-7,215,1962-06-26,US,11,Longwood University
3,Donyell Marshall,SF,6-9,218,1973-05-18,US,1,UConn
17,Chris Mullin,SF,6-6,200,1963-07-30,US,10,St. John's
44,Clifford Rozier,C,6-11,245,1972-10-31,US,1,"UNC, Louisville"
4,Rony Seikaly,C,6-11,230,1965-05-10,LB,7,Syracuse
32,Joe Smith,PF,6-10,225,1975-07-26,US,R,Maryland
15,Latrell Sprewell,SG,6-5,190,1970-09-08,US,3,Alabama
41,Kevin Willis,PF,7-0,220,1962-09-06,US,10,Michigan State
12,David Wood,PF,6-9,227,1964-11-30,US,5,Nevada
