SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1996,3,NJN,7,Kenny Anderson,PG,6-0,168,1970-10-09,US,4,Georgia Tech
1996,3,NJN,45,Shawn Bradley,C,7-6,235,1972-03-22,DE,2,BYU
1996,3,NJN,42,P.J. Brown,C,6-11,225,1969-10-14,US,2,Louisiana Tech
1996,3,NJN,1,Chris Childs,PG,6-3,195,1967-11-20,US,1,Boise State
1996,3,NJN,33,Yinka Dare,C,7-0,265,1972-10-10,NG,1,George Washington
1996,3,NJN,21,Kevin Edwards,SG,6-3,190,1965-10-30,US,7,DePaul
1996,3,NJN,10,Vern Fleming,PG,6-5,185,1962-02-04,US,11,Georgia
1996,3,NJN,13,Kendall Gill,SG,6-5,195,1968-05-25,US,5,Illinois
1996,3,NJN,43,Armen Gilliam,SF,6-9,230,1964-05-28,US,8,UNLV
1996,3,NJN,35,Gerald Glass,SF,6-5,221,1967-11-12,US,3,"Delta State University, Ole Miss"
1996,3,NJN,20,Greg Graham,SG,6-4,174,1970-11-26,US,2,Indiana
1996,3,NJN,4,Rick Mahorn,C,6-10,240,1958-09-21,US,14,Hampton
1996,3,NJN,31,Ed O'Bannon,SG,6-8,222,1972-08-14,US,R,UCLA
1996,3,NJN,34,Tim Perry,PF,6-9,200,1965-06-04,US,7,Temple
1996,3,NJN,6,Khalid Reeves,PG,6-3,199,1972-07-15,US,1,Arizona
1996,3,NJN,2,Rex Walters,SG,6-4,190,1970-03-12,US,2,"Northwestern, Kansas"
1996,3,NJN,41,Robert Werdann,C,6-11,250,1970-09-12,US,1,St. John's
1996,3,NJN,55,Jayson Williams,PF,6-9,240,1968-02-22,US,5,St. John's
