NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
43,Corie Blount,PF,6-9,240,1969-01-04,US,2,Cincinnati
41,Elden Campbell,PF,6-11,215,1968-07-23,US,5,Clemson
23,Cedric Ceballos,SF,6-6,190,1969-08-02,US,5,Cal State Fullerton
12,Vlade Divac,C,7-1,243,1968-02-03,RS,6,
32,Magic Johnson,PF,6-9,215,1959-08-14,US,12,Michigan State
25,Eddie Jones,SG,6-6,190,1971-10-20,US,1,Temple
4,Frankie King,PG,6-1,185,1972-06-06,US,R,Western Carolina University
34,George Lynch,SF,6-8,218,1970-09-03,US,2,UNC
2,Anthony Miller,PF,6-9,225,1971-10-22,US,1,Michigan State
1,Anthony Peeler,SG,6-4,208,1969-11-25,US,3,Missouri
24,Fred Roberts,C,6-10,218,1960-08-14,US,11,BYU
7,Derek Strong,PF,6-8,220,1968-02-09,US,4,Xavier
3,Sedale Threatt,PG,6-2,175,1961-09-10,US,12,West Virginia Tech
9,Nick Van Exel,PG,6-1,170,1971-11-27,US,2,"Trinity Valley CC, Cincinnati"
