PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Isiah Thomas,25,15,15,37.5,8.9,19.8,0.451,0.7,2.2,0.303,8.3,17.6,0.47,0.46799999999999997,5.5,7.3,0.755,1.4,3.1,4.5,8.7,2.6,0.3,2.8,3.4,24.1
Bill Laimbeer,29,15,15,36.2,5.6,10.9,0.515,0.1,0.3,0.2,5.5,10.5,0.525,0.518,1.0,1.6,0.625,2.0,8.4,10.4,2.5,1.0,0.8,1.3,3.5,12.3
Adrian Dantley,31,15,15,33.3,7.4,13.7,0.539,0.0,0.0,,7.4,13.7,0.539,0.539,5.7,7.4,0.775,1.9,2.6,4.5,2.3,0.9,0.0,2.2,2.4,20.5
Rick Mahorn,28,15,15,32.2,3.9,7.3,0.541,0.0,0.1,0.0,3.9,7.2,0.546,0.541,1.9,2.3,0.8,2.8,6.7,9.5,0.3,0.4,0.7,1.1,4.0,9.7
Joe Dumars,23,15,15,31.5,5.2,9.7,0.5379999999999999,0.1,0.2,0.667,5.1,9.5,0.535,0.545,2.1,2.7,0.78,0.5,0.7,1.3,4.8,0.8,0.1,1.8,1.7,12.7
Vinnie Johnson,30,15,0,25.9,6.3,13.8,0.45899999999999996,0.0,0.1,0.0,6.3,13.7,0.46299999999999997,0.45899999999999996,2.1,2.4,0.861,1.3,1.6,2.9,4.1,0.6,0.3,1.5,2.2,14.7
John Salley,22,15,0,20.7,2.2,4.4,0.5,0.0,0.0,,2.2,4.4,0.5,0.5,1.8,2.8,0.643,2.0,2.8,4.8,0.7,0.2,1.1,0.9,4.0,6.2
Dennis Rodman,25,15,0,16.3,2.7,4.9,0.541,0.0,0.0,,2.7,4.9,0.541,0.541,1.2,2.1,0.563,2.1,2.6,4.7,0.2,0.4,1.1,1.1,3.2,6.5
Kurt Nimphius,28,4,0,7.5,0.8,2.3,0.33299999999999996,0.0,0.0,,0.8,2.3,0.33299999999999996,0.33299999999999996,0.5,1.0,0.5,1.3,1.3,2.5,0.0,0.0,0.5,0.8,2.5,2.0
Sidney Green,26,9,0,4.7,0.7,1.1,0.6,0.0,0.0,,0.7,1.1,0.6,0.6,0.6,0.7,0.833,0.3,0.7,1.0,0.1,0.1,0.2,0.3,0.2,1.9
Tony Campbell,24,4,0,3.3,0.8,1.5,0.5,0.3,0.3,1.0,0.5,1.3,0.4,0.583,0.5,0.5,1.0,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0.3,2.3
Chuck Nevitt,27,3,0,3.3,0.3,1.7,0.2,0.0,0.0,,0.3,1.7,0.2,0.2,0.7,0.7,1.0,0.3,1.7,2.0,0.0,0.0,1.0,1.0,0.3,1.3
