Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002,23.0,NJN,NBA,PF,28.0,0.0,290.0,2.9,8.3,0.343,0.4,1.2,0.3,2.5,7.1,0.351,1.4,1.9,0.733,1.5,4.8,6.3,2.6,1.1,0.2,3.0,4.8,7.4
2003,24.0,NJN,NBA,PF,59.0,7.0,724.0,3.4,8.4,0.402,0.7,1.9,0.359,2.7,6.5,0.415,1.5,1.8,0.833,2.0,5.0,7.0,2.3,0.8,0.9,2.3,3.8,9.0
2004,25.0,NJN,NBA,PF,69.0,2.0,928.0,3.3,8.5,0.394,0.4,1.6,0.244,2.9,6.9,0.429,2.3,2.7,0.829,1.6,5.1,6.7,2.5,0.8,0.5,1.6,4.4,9.3
2005,26.0,NJN,NBA,PF,54.0,14.0,1167.0,4.1,10.2,0.398,0.7,2.1,0.324,3.4,8.1,0.417,1.6,2.1,0.768,2.6,5.0,7.5,2.7,1.0,0.6,2.0,3.4,10.5
2006,27.0,BOS,NBA,PF,71.0,1.0,938.0,2.8,7.4,0.383,1.2,3.3,0.356,1.7,4.1,0.406,1.0,1.4,0.722,1.0,3.3,4.4,2.0,0.8,0.7,1.9,4.9,7.9
2007,28.0,BOS,NBA,PF,54.0,17.0,1027.0,2.7,6.7,0.403,1.5,3.9,0.4,1.2,2.8,0.407,0.6,0.8,0.783,0.8,2.8,3.7,2.1,0.8,0.6,1.5,4.6,7.6
2008,29.0,BOS,NBA,PF,48.0,9.0,512.0,2.0,6.6,0.309,1.1,3.2,0.326,1.0,3.4,0.292,1.1,1.4,0.75,1.5,4.0,5.6,2.8,0.6,0.6,1.8,4.4,6.2
2009,30.0,BOS,NBA,C,39.0,8.0,504.0,3.4,8.1,0.421,1.7,4.4,0.393,1.7,3.8,0.453,1.1,1.3,0.889,0.5,3.1,3.6,1.3,0.5,0.7,0.9,5.2,9.7
2010,31.0,BOS,NBA,PF,52.0,3.0,472.0,2.2,6.5,0.341,1.2,3.7,0.327,1.0,2.7,0.361,0.3,0.5,0.667,0.7,3.0,3.7,2.1,0.7,0.3,1.3,4.5,5.9
2011,32.0,CHI,NBA,PF,18.0,0.0,88.0,4.1,7.8,0.526,0.0,2.0,0.0,4.1,5.7,0.714,0.0,0.0,,0.4,2.9,3.3,2.5,1.2,1.6,2.0,7.4,8.2
2012,33.0,CHI,NBA,PF,28.0,0.0,122.0,4.1,8.9,0.467,0.3,2.1,0.143,3.8,6.8,0.565,0.9,1.8,0.5,2.4,3.8,6.2,4.4,1.5,1.8,2.7,2.7,9.4
