Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1990,1,2977,ATL,Atlanta Hawks,Alexander Volkov,"March 28, 1964",25.0,NBA,C,72,4,937,7.3,15.2,0.48,0.7,1.8,0.38,6.6,13.4,0.5,3.7,6.4,0.58,2.8,3.6,6.4,4.4,1.9,1.2,2.8,8.9,19.1,,110,113
1992,1,2977,ATL,Atlanta Hawks,Alexander Volkov,"March 28, 1964",27.0,NBA,C,77,27,1516,8.1,18.4,0.44,1.1,3.6,0.32,7.0,14.9,0.47,4.0,6.4,0.63,3.3,5.2,8.6,8.1,2.1,1.0,3.3,5.8,21.4,,108,109
