OPP_SEASON,OPP_TEAM ID,TEAM,OPP_G,OPP_MP,OPP_FG,OPP_FGA,OPP_FG%,OPP_3P,OPP_3PA,OPP_3P%,OPP_2P,OPP_2PA,OPP_2P%,OPP_FT,OPP_FTA,OPP_FT%,OPP_ORB,OPP_DRB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF,OPP_PTS
1988,5,CHI,82,19855,41.5,88.2,0.47,1.4,4.7,0.29,40.1,83.6,0.48,21.1,27.9,0.76,13.0,28.7,41.7,26.3,7.6,5.3,15.8,23.8,105.5
1988,6,CLE,82,19780,42.2,88.5,0.48,1.6,5.0,0.32,40.6,83.5,0.49,20.1,25.5,0.79,14.4,28.1,42.6,24.8,8.6,5.6,17.9,25.2,106.0
1988,9,DET,82,19780,41.1,88.0,0.47,1.4,4.9,0.29,39.7,83.2,0.48,21.6,28.4,0.76,14.1,28.1,42.2,24.2,8.0,5.0,16.4,26.7,105.3
1988,1,ALT,82,19780,40.8,86.7,0.47,1.7,5.1,0.34,39.1,81.6,0.48,24.3,31.2,0.78,14.6,29.6,44.2,24.9,8.1,4.4,16.6,25.3,107.6
1988,29,UTA,82,19705,39.3,87.4,0.45,1.8,5.6,0.32,37.5,81.8,0.46,22.9,29.7,0.77,15.3,29.3,44.6,23.9,9.2,5.7,17.6,24.1,103.1
1988,7,DAL,82,19755,43.4,92.5,0.47,2.1,6.5,0.32,41.3,86.0,0.48,18.8,24.5,0.77,15.0,28.0,43.0,28.1,7.7,5.5,15.4,25.0,107.7
1988,12,IND,82,19705,41.4,87.7,0.47,1.5,4.6,0.32,40.0,83.2,0.48,23.1,30.4,0.76,14.4,31.1,45.5,24.0,8.7,5.1,15.8,23.1,107.4
1988,17,MIL,82,19780,41.6,87.8,0.47,1.7,5.5,0.3,39.9,82.3,0.48,22.8,30.0,0.76,14.6,29.8,44.4,26.6,7.7,5.6,16.7,24.3,107.6
1988,20,NYK,82,19805,39.2,82.1,0.48,1.4,4.6,0.3,37.8,77.5,0.49,26.6,34.3,0.78,14.1,27.9,42.1,24.5,8.6,5.5,20.0,24.1,106.4
1988,30,WAB,82,19880,42.6,89.0,0.48,1.6,4.8,0.33,41.0,84.2,0.49,20.5,27.6,0.74,15.1,29.1,44.2,26.3,8.5,6.5,17.0,24.2,107.2
1988,14,LAL,82,19805,43.4,91.3,0.48,1.6,5.4,0.3,41.8,85.9,0.49,18.8,24.7,0.76,14.4,27.5,41.9,26.9,9.0,4.8,15.2,23.7,107.3
1988,23,PHI,82,19905,44.0,88.7,0.5,1.8,5.3,0.34,42.2,83.4,0.51,20.6,27.2,0.76,13.9,27.9,41.9,27.8,9.0,5.5,16.1,26.6,110.3
1988,11,HOU,82,19680,41.4,88.9,0.46,1.3,4.7,0.28,40.1,84.2,0.48,21.6,28.2,0.77,15.1,30.0,45.1,23.4,8.8,4.4,16.8,24.1,105.7
1988,2,BOS,82,19780,43.3,89.9,0.48,1.4,4.5,0.3,42.0,85.4,0.49,21.4,27.9,0.77,13.9,27.2,41.1,25.5,9.1,4.3,14.6,24.6,109.4
1988,3,NJN,82,19780,42.3,85.2,0.5,1.6,4.5,0.36,40.7,80.7,0.5,23.3,29.8,0.78,12.7,30.3,43.0,24.5,10.0,6.4,17.6,23.9,109.6
1988,13,LAC,82,19805,42.2,88.5,0.48,1.5,4.4,0.34,40.7,84.1,0.48,21.6,27.8,0.78,14.9,32.0,47.0,27.6,10.1,5.8,17.5,23.0,107.6
1988,21,SEA,82,19855,39.8,82.0,0.48,1.6,4.8,0.32,38.2,77.2,0.5,27.0,36.1,0.75,13.6,27.8,41.4,23.7,7.3,5.1,18.5,23.7,108.1
1988,25,POR,82,19730,41.0,86.2,0.48,1.7,5.4,0.3,39.3,80.8,0.49,23.7,30.9,0.77,13.5,28.2,41.7,25.3,7.6,4.4,16.9,25.1,107.4
1988,8,DEN,82,19780,41.5,84.6,0.49,1.3,4.3,0.3,40.2,80.3,0.5,22.0,28.8,0.76,13.6,31.6,45.2,25.0,7.1,5.9,18.5,22.9,106.3
1988,24,PHO,82,19730,43.4,87.1,0.5,1.5,5.1,0.3,41.8,82.0,0.51,23.1,30.1,0.77,13.3,29.0,42.3,26.7,8.5,5.3,15.6,22.8,111.4
1988,26,SAC,82,19780,44.7,89.7,0.5,1.4,4.4,0.32,43.3,85.3,0.51,21.3,28.0,0.76,13.9,29.1,43.0,26.2,9.4,6.4,14.4,23.5,112.1
1988,10,GSW,82,19780,43.3,86.5,0.5,1.8,5.6,0.32,41.5,80.9,0.51,24.4,32.2,0.76,14.4,30.0,44.4,27.1,8.9,5.2,16.9,21.6,112.9
1988,27,SAS,82,19805,44.7,89.2,0.5,1.8,5.2,0.35,42.9,83.9,0.51,21.5,27.8,0.78,15.0,29.2,44.2,28.7,8.0,6.2,16.6,22.9,112.8
