Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp Dbl
2015,31,962,TOT,Total After Trade,Tim Frazier,1990-11-01,24.0,NBA,PG,11.0,3.0,239.0,21.0,61.0,0.34,5.0,17.0,0.29,16.0,44.0,0.36,0.38,10.0,21.0,0.48,6.0,22.0,28.0,60.0,8.0,0.0,25.0,26.0,57.0,0.0
2015,23,962,PHI,Philadelphia 76Ers,Tim Frazier,1990-11-01,24.0,NBA,PG,6.0,3.0,171.0,13.0,43.0,0.3,3.0,11.0,0.27,10.0,32.0,0.31,0.34,5.0,15.0,0.33,4.0,15.0,19.0,43.0,6.0,0.0,18.0,16.0,34.0,0.0
2015,25,962,POR,Portland Trail Blazers,Tim Frazier,1990-11-01,24.0,NBA,PG,5.0,0.0,68.0,8.0,18.0,0.44,2.0,6.0,0.33,6.0,12.0,0.5,0.5,5.0,6.0,0.83,2.0,7.0,9.0,17.0,2.0,0.0,7.0,10.0,23.0,0.0
2016,31,962,TOT,Total After Trade,Tim Frazier,1990-11-01,25.0,NBA,PG,51.0,2.0,741.0,96.0,229.0,0.42,16.0,48.0,0.33,80.0,181.0,0.44,0.45,53.0,74.0,0.72,26.0,84.0,110.0,162.0,33.0,2.0,65.0,73.0,261.0,0.0
2016,25,962,POR,Portland Trail Blazers,Tim Frazier,1990-11-01,25.0,NBA,PG,35.0,1.0,272.0,20.0,60.0,0.33,3.0,17.0,0.18,17.0,43.0,0.4,0.36,8.0,15.0,0.53,11.0,28.0,39.0,42.0,10.0,1.0,27.0,31.0,51.0,0.0
2016,19,962,NOP,New Orleans Pelicans,Tim Frazier,1990-11-01,25.0,NBA,PG,16.0,1.0,469.0,76.0,169.0,0.45,13.0,31.0,0.42,63.0,138.0,0.46,0.49,45.0,59.0,0.76,15.0,56.0,71.0,120.0,23.0,1.0,38.0,42.0,210.0,0.0
2017,19,962,NOP,New Orleans Pelicans,Tim Frazier,1990-11-01,26.0,NBA,PG,65.0,35.0,1525.0,163.0,404.0,0.4,40.0,128.0,0.31,123.0,276.0,0.45,0.45,98.0,129.0,0.76,34.0,139.0,173.0,335.0,56.0,6.0,101.0,133.0,464.0,1.0
2018,30,962,WAS,Washington Wizards,Tim Frazier,1990-11-01,27.0,NBA,PG,59.0,11.0,838.0,68.0,172.0,0.4,17.0,56.0,0.3,51.0,116.0,0.44,0.44,23.0,30.0,0.77,18.0,97.0,115.0,194.0,47.0,7.0,57.0,97.0,176.0,0.0
2019,31,962,TOT,Total After Trade,Tim Frazier,1990-11-01,28.0,NBA,PG,59.0,19.0,1120.0,116.0,261.0,0.44,37.0,101.0,0.37,79.0,160.0,0.49,0.52,41.0,54.0,0.76,41.0,127.0,168.0,248.0,30.0,5.0,76.0,112.0,310.0,0.0
2019,19,962,NOP,New Orleans Pelicans,Tim Frazier,1990-11-01,28.0,NBA,PG,47.0,17.0,909.0,88.0,195.0,0.45,27.0,77.0,0.35,61.0,118.0,0.52,0.52,32.0,41.0,0.78,32.0,105.0,137.0,206.0,25.0,4.0,60.0,93.0,235.0,0.0
2019,17,962,MIL,Milwaukee Bucks,Tim Frazier,1990-11-01,28.0,NBA,PG,12.0,2.0,211.0,28.0,66.0,0.42,10.0,24.0,0.42,18.0,42.0,0.43,0.5,9.0,13.0,0.69,9.0,22.0,31.0,42.0,5.0,1.0,16.0,19.0,75.0,0.0
2020,9,962,DET,Detroit Pistons,Tim Frazier,1990-11-01,29.0,NBA,PG,27.0,11.0,355.0,34.0,94.0,0.36,10.0,30.0,0.33,24.0,64.0,0.38,0.42,19.0,24.0,0.79,9.0,24.0,33.0,93.0,14.0,4.0,36.0,42.0,97.0,0.0
2021,15,962,MEM,Memphis Grizzlies,Tim Frazier,1990-11-01,30.0,NBA,PG,3.0,0.0,33.0,2.0,8.0,0.25,0.0,2.0,0.0,2.0,6.0,0.33,0.25,0.0,0.0,,0.0,4.0,4.0,7.0,1.0,0.0,3.0,4.0,4.0,0.0
