Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1999,,1990,CHH,None,Brad Miller,"April 12, 1976",22.0,NBA,C,38.0,0.0,469.0,78.0,138.0,0.56,1.0,2.0,0.5,77.0,136.0,0.57,0.57,81.0,102.0,0.79,35.0,82.0,117.0,22.0,9.0,18.0,32.0,65.0,238.0,,0.0
2000,,1990,CHH,None,Brad Miller,"April 12, 1976",23.0,NBA,C,55.0,4.0,961.0,135.0,293.0,0.46,0.0,2.0,0.0,135.0,291.0,0.46,0.46,153.0,195.0,0.78,113.0,180.0,293.0,45.0,23.0,35.0,48.0,111.0,423.0,,0.0
2001,5.0,1990,CHI,Chicago Bulls,Brad Miller,"April 12, 1976",24.0,NBA,C,57.0,45.0,1434.0,168.0,386.0,0.44,1.0,5.0,0.2,167.0,381.0,0.44,0.44,168.0,226.0,0.74,144.0,275.0,419.0,107.0,33.0,38.0,73.0,176.0,505.0,,0.0
2002,31.0,1990,TOT,Total After Trade,Brad Miller,"April 12, 1976",25.0,NBA,C,76.0,75.0,2263.0,366.0,733.0,0.5,3.0,7.0,0.43,363.0,726.0,0.5,0.5,297.0,383.0,0.78,252.0,369.0,621.0,152.0,76.0,41.0,115.0,244.0,1032.0,,0.0
2002,5.0,1990,CHI,Chicago Bulls,Brad Miller,"April 12, 1976",25.0,NBA,C,48.0,47.0,1391.0,208.0,452.0,0.46,2.0,4.0,0.5,206.0,448.0,0.46,0.46,190.0,253.0,0.75,176.0,225.0,401.0,101.0,52.0,29.0,74.0,156.0,608.0,,0.0
2002,12.0,1990,IND,Indiana Pacers,Brad Miller,"April 12, 1976",25.0,NBA,C,28.0,28.0,872.0,158.0,281.0,0.56,1.0,3.0,0.33,157.0,278.0,0.56,0.56,107.0,130.0,0.82,76.0,144.0,220.0,51.0,24.0,12.0,41.0,88.0,424.0,,0.0
2003,12.0,1990,IND,Indiana Pacers,Brad Miller,"April 12, 1976",26.0,NBA,C,73.0,72.0,2270.0,329.0,667.0,0.49,5.0,16.0,0.31,324.0,651.0,0.5,0.5,292.0,357.0,0.82,185.0,418.0,603.0,193.0,65.0,43.0,118.0,203.0,955.0,,0.0
2004,26.0,1990,SAC,Sacramento Kings,Brad Miller,"April 12, 1976",27.0,NBA,PF,72.0,53.0,2621.0,373.0,731.0,0.51,12.0,38.0,0.32,361.0,693.0,0.52,0.52,256.0,329.0,0.78,191.0,552.0,743.0,312.0,68.0,86.0,144.0,247.0,1014.0,,2.0
2005,26.0,1990,SAC,Sacramento Kings,Brad Miller,"April 12, 1976",28.0,NBA,C,56.0,56.0,2089.0,319.0,609.0,0.52,5.0,19.0,0.26,314.0,590.0,0.53,0.53,233.0,287.0,0.81,139.0,382.0,521.0,220.0,69.0,68.0,82.0,181.0,876.0,,0.0
2006,26.0,1990,SAC,Sacramento Kings,Brad Miller,"April 12, 1976",29.0,NBA,C,79.0,79.0,2923.0,434.0,877.0,0.5,34.0,88.0,0.39,400.0,789.0,0.51,0.51,280.0,338.0,0.83,122.0,493.0,615.0,374.0,61.0,62.0,180.0,234.0,1182.0,,0.0
2007,26.0,1990,SAC,Sacramento Kings,Brad Miller,"April 12, 1976",30.0,NBA,C,63.0,56.0,1783.0,224.0,494.0,0.45,5.0,33.0,0.15,219.0,461.0,0.48,0.46,115.0,149.0,0.77,79.0,322.0,401.0,224.0,38.0,39.0,108.0,155.0,568.0,,1.0
2008,26.0,1990,SAC,Sacramento Kings,Brad Miller,"April 12, 1976",31.0,NBA,C,72.0,72.0,2513.0,337.0,728.0,0.46,28.0,90.0,0.31,309.0,638.0,0.48,0.48,262.0,309.0,0.85,167.0,514.0,681.0,264.0,69.0,74.0,164.0,247.0,964.0,,0.0
