SEASON,TEAM ID,TEAM,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,26,SAC,Sacramento Kings,50,12200,39.3,88.3,0.44,5.9,19.3,0.31,33.4,69.0,0.48,18.1,26.5,0.68,14.5,32.2,46.7,23.1,9.1,4.8,17.3,20.8,102.7
1999,14,LAL,Los Angeles Lakers,50,12050,40.0,85.5,0.47,5.2,14.9,0.35,34.8,70.6,0.49,22.3,32.7,0.68,13.5,32.2,45.7,23.8,8.5,6.2,16.4,26.8,107.6
1999,24,PHO,Phoenix Suns,50,12050,39.8,88.6,0.45,5.8,15.5,0.37,34.0,73.1,0.46,20.4,26.9,0.76,13.2,31.4,44.6,27.6,9.8,4.4,15.1,22.6,105.8
1999,21,SEA,Seattle Supersonics,50,12100,38.9,88.0,0.44,6.8,19.9,0.34,32.0,68.1,0.47,20.4,30.0,0.68,15.0,31.5,46.4,24.1,8.7,4.4,16.9,23.2,105.0
1999,25,POR,Portland Trail Blazers,50,12175,38.6,87.4,0.44,5.4,14.9,0.36,33.2,72.5,0.46,22.1,29.8,0.74,14.3,34.7,49.0,23.7,9.1,6.4,17.0,24.9,104.8
1999,12,IND,Indiana Pacers,50,12100,39.7,88.8,0.45,6.8,18.3,0.37,33.0,70.4,0.47,22.4,28.2,0.8,13.2,33.3,46.5,23.1,7.3,5.1,14.9,24.8,108.7
1999,11,HOU,Houston Rockets,50,12075,39.3,85.0,0.46,7.5,20.5,0.37,31.8,64.6,0.49,19.4,26.6,0.73,12.0,34.5,46.5,23.7,8.6,5.8,18.2,21.5,105.4
1999,8,DEN,Denver Nuggets,50,12025,37.1,88.0,0.42,6.7,20.3,0.33,30.4,67.7,0.45,22.3,29.2,0.76,14.3,30.7,45.0,21.4,8.3,6.1,16.3,25.3,103.1
1999,29,UTA,Utah Jazz,50,12175,38.2,82.1,0.46,3.2,8.8,0.36,35.0,73.3,0.48,26.2,34.2,0.77,12.6,34.2,46.8,27.3,9.0,6.3,18.5,25.7,105.8
1999,2,BOS,Boston Celtics,50,12150,39.2,89.9,0.44,5.9,16.4,0.36,33.3,73.5,0.45,16.1,23.3,0.69,14.7,31.5,46.2,23.2,9.8,5.5,17.4,25.8,100.4
