Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2006,11,1231,HOU,Houston Rockets,Chuck Hayes,"June 11, 1983",22.0,NBA,PF,40.0,0.0,535.0,6.0,10.7,0.56,0.0,0.1,0.0,6.0,10.6,0.57,3.0,4.6,0.64,6.8,11.4,18.2,1.4,2.6,1.4,1.2,7.7,15.0,,127.0,98.0
2007,11,1231,HOU,Houston Rockets,Chuck Hayes,"June 11, 1983",23.0,NBA,PF,78.0,43.0,1714.0,5.9,10.3,0.57,0.0,0.0,,5.9,10.3,0.57,1.7,2.7,0.62,6.3,9.8,16.1,1.5,2.2,0.6,2.0,8.7,13.6,,119.0,98.0
2008,11,1231,HOU,Houston Rockets,Chuck Hayes,"June 11, 1983",24.0,NBA,PF,79.0,44.0,1575.0,3.8,7.5,0.51,0.0,0.1,0.0,3.8,7.4,0.52,0.4,0.8,0.46,4.5,9.9,14.4,3.1,2.9,1.5,2.1,7.2,8.0,,107.0,97.0
2009,11,1231,HOU,Houston Rockets,Chuck Hayes,"June 11, 1983",25.0,NBA,C,71.0,1.0,858.0,2.6,7.0,0.37,0.0,0.2,0.0,2.6,6.8,0.38,0.4,1.2,0.37,4.6,10.9,15.5,2.6,2.1,1.2,1.6,8.3,5.6,,98.0,100.0
2010,11,1231,HOU,Houston Rockets,Chuck Hayes,"June 11, 1983",26.0,NBA,C,82.0,82.0,1773.0,4.6,9.5,0.49,0.0,0.0,,4.6,9.5,0.49,1.0,1.9,0.55,4.3,9.0,13.4,4.0,2.1,1.2,2.1,6.3,10.3,,108.0,105.0
2011,11,1231,HOU,Houston Rockets,Chuck Hayes,"June 11, 1983",27.0,NBA,C,74.0,63.0,2079.0,6.0,11.3,0.53,0.0,0.0,0.0,6.0,11.3,0.53,2.3,3.5,0.66,5.4,9.3,14.7,5.0,1.9,1.2,2.1,4.9,14.3,,120.0,106.0
2012,26,1231,SAC,Sacramento Kings,Chuck Hayes,"June 11, 1983",28.0,NBA,C,54.0,9.0,1039.0,3.6,8.3,0.43,0.0,0.1,0.0,3.6,8.2,0.44,1.3,1.9,0.67,3.5,7.9,11.4,3.8,1.8,0.8,2.4,5.4,8.4,,98.0,109.0
2013,26,1231,SAC,Sacramento Kings,Chuck Hayes,"June 11, 1983",29.0,NBA,C,74.0,1.0,1209.0,3.6,8.1,0.44,0.0,0.0,0.0,3.6,8.0,0.44,1.3,2.0,0.62,4.8,7.9,12.7,4.7,1.3,0.8,1.9,4.8,8.4,,111.0,111.0
2014,31,1231,TOT,Total After Trade,Chuck Hayes,"June 11, 1983",30.0,NBA,C,61.0,1.0,754.0,3.9,9.0,0.43,0.0,0.1,0.0,3.9,8.9,0.43,1.4,1.7,0.8,4.8,9.7,14.5,2.4,2.3,0.8,2.3,6.5,9.1,,102.0,103.0
2014,26,1231,SAC,Sacramento Kings,Chuck Hayes,"June 11, 1983",30.0,NBA,C,16.0,1.0,179.0,4.0,9.1,0.44,0.0,0.0,,4.0,9.1,0.44,1.4,2.0,0.71,5.7,7.7,13.4,1.7,3.1,0.6,2.0,5.1,9.4,,105.0,105.0
2014,28,1231,TOR,Toronto Raptors,Chuck Hayes,"June 11, 1983",30.0,NBA,C,45.0,0.0,575.0,3.8,8.9,0.43,0.0,0.1,0.0,3.8,8.8,0.43,1.4,1.6,0.83,4.5,10.4,14.8,2.6,2.1,0.9,2.4,7.0,9.0,,101.0,102.0
2015,28,1231,TOR,Toronto Raptors,Chuck Hayes,"June 11, 1983",31.0,NBA,C,29.0,0.0,255.0,4.5,9.3,0.48,0.0,0.0,,4.5,9.3,0.48,1.2,2.2,0.55,3.6,6.7,10.3,4.1,2.0,0.8,1.6,7.5,10.1,,111.0,107.0
2016,11,1231,HOU,Houston Rockets,Chuck Hayes,"June 11, 1983",32.0,NBA,C,2.0,0.0,24.0,2.0,4.1,0.5,0.0,0.0,,2.0,4.1,0.5,4.1,4.1,1.0,0.0,16.4,16.4,4.1,0.0,0.0,6.1,12.3,8.2,,79.0,107.0
