PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ron Harper,28,5,5,206,6.8,15.2,0.44799999999999995,0.2,1.6,0.111,6.6,13.6,0.48700000000000004,1.9,2.4,0.7859999999999999,1.7,3.8,5.6,4.0,0.9,0.7,2.6,2.3,15.7
Danny Manning,25,5,5,194,8.5,15.0,0.568,0.2,0.6,0.33299999999999996,8.4,14.5,0.5770000000000001,3.7,5.8,0.645,2.8,2.4,5.2,2.6,0.9,0.7,2.4,3.9,21.0
Doc Rivers,30,5,4,187,4.8,10.8,0.446,0.8,1.5,0.5,4.0,9.2,0.43799999999999994,4.2,5.2,0.815,0.8,2.9,3.7,4.0,1.2,0.0,0.6,3.1,14.6
Ken Norman,27,5,5,184,5.3,10.4,0.509,0.0,0.4,0.0,5.3,10.0,0.529,1.8,3.3,0.529,3.7,5.9,9.6,2.9,0.8,0.6,1.2,3.5,12.3
Charles Smith,26,5,5,148,5.4,13.6,0.39299999999999996,0.0,0.0,,5.4,13.6,0.39299999999999996,3.4,3.6,0.9329999999999999,2.4,4.4,6.8,2.2,1.0,2.9,2.4,5.8,14.1
James Edwards,36,5,0,87,4.1,9.9,0.41700000000000004,0.0,0.0,,4.1,9.9,0.41700000000000004,5.0,7.9,0.632,2.1,3.3,5.4,1.2,0.4,0.4,1.7,4.6,13.2
Gary Grant,26,5,1,77,4.7,9.8,0.47600000000000003,0.0,0.9,0.0,4.7,8.9,0.526,0.9,0.9,1.0,0.0,1.9,1.9,8.4,1.4,0.9,3.7,4.7,10.3
Olden Polynice,27,5,0,63,4.0,6.9,0.583,0.0,0.0,,4.0,6.9,0.583,1.1,3.4,0.33299999999999996,1.1,9.1,10.3,1.1,0.6,0.6,0.6,6.3,9.1
Loy Vaught,23,5,0,36,7.0,11.0,0.636,1.0,1.0,1.0,6.0,10.0,0.6,2.0,2.0,1.0,2.0,10.0,12.0,4.0,1.0,1.0,1.0,3.0,17.0
Danny Young,29,3,0,11,6.5,13.1,0.5,0.0,6.5,0.0,6.5,6.5,1.0,0.0,0.0,,0.0,0.0,0.0,3.3,0.0,0.0,6.5,0.0,13.1
Bo Kimble,25,3,0,5,0.0,7.2,0.0,0.0,0.0,,0.0,7.2,0.0,0.0,0.0,,0.0,0.0,0.0,7.2,0.0,0.0,7.2,14.4,0.0
LeRon Ellis,22,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
