Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl
1985,12,922,IND,Indiana Pacers,22.0,NBA,PG,80.0,65.0,2486.0,433.0,922.0,0.47,0.0,4.0,0.0,433.0,918.0,0.47,0.47,260.0,339.0,0.77,148.0,175.0,323.0,247.0,99.0,8.0,197.0,232.0,1126.0,,0.0
1986,12,922,IND,Indiana Pacers,23.0,NBA,PG,80.0,77.0,2870.0,436.0,862.0,0.51,1.0,6.0,0.17,435.0,856.0,0.51,0.51,263.0,353.0,0.74,102.0,284.0,386.0,505.0,131.0,5.0,208.0,230.0,1136.0,,0.0
1987,12,922,IND,Indiana Pacers,24.0,NBA,PG,82.0,82.0,2549.0,370.0,727.0,0.51,2.0,10.0,0.2,368.0,717.0,0.51,0.51,238.0,302.0,0.79,109.0,225.0,334.0,473.0,109.0,18.0,167.0,222.0,980.0,,1.0
1988,12,922,IND,Indiana Pacers,25.0,NBA,PG,80.0,80.0,2733.0,442.0,845.0,0.52,0.0,13.0,0.0,442.0,832.0,0.53,0.52,227.0,283.0,0.8,106.0,258.0,364.0,568.0,115.0,11.0,175.0,225.0,1111.0,,3.0
1989,12,922,IND,Indiana Pacers,26.0,NBA,PG,76.0,69.0,2552.0,419.0,814.0,0.52,3.0,23.0,0.13,416.0,791.0,0.53,0.52,243.0,304.0,0.8,85.0,225.0,310.0,494.0,77.0,12.0,192.0,212.0,1084.0,,1.0
1990,12,922,IND,Indiana Pacers,27.0,NBA,PG,82.0,82.0,2876.0,467.0,919.0,0.51,12.0,34.0,0.35,455.0,885.0,0.51,0.52,230.0,294.0,0.78,118.0,204.0,322.0,610.0,92.0,10.0,206.0,213.0,1176.0,,0.0
1991,12,922,IND,Indiana Pacers,28.0,NBA,PG,69.0,45.0,1929.0,356.0,671.0,0.53,4.0,18.0,0.22,352.0,653.0,0.54,0.53,161.0,221.0,0.73,83.0,131.0,214.0,369.0,76.0,13.0,137.0,116.0,877.0,,0.0
1992,12,922,IND,Indiana Pacers,29.0,NBA,PG,82.0,6.0,1737.0,294.0,610.0,0.48,6.0,27.0,0.22,288.0,583.0,0.49,0.49,132.0,179.0,0.74,69.0,140.0,209.0,266.0,56.0,7.0,140.0,134.0,726.0,,0.0
1993,12,922,IND,Indiana Pacers,30.0,NBA,PG,75.0,8.0,1503.0,280.0,554.0,0.5,7.0,36.0,0.19,273.0,518.0,0.53,0.51,143.0,197.0,0.73,63.0,106.0,169.0,224.0,63.0,9.0,121.0,126.0,710.0,,0.0
1994,12,922,IND,Indiana Pacers,31.0,NBA,PG,55.0,5.0,1053.0,147.0,318.0,0.46,0.0,4.0,0.0,147.0,314.0,0.47,0.46,64.0,87.0,0.74,27.0,96.0,123.0,173.0,40.0,6.0,87.0,98.0,358.0,,0.0
1995,12,922,IND,Indiana Pacers,32.0,NBA,PG,55.0,1.0,686.0,93.0,188.0,0.5,0.0,7.0,0.0,93.0,181.0,0.51,0.5,65.0,90.0,0.72,20.0,68.0,88.0,109.0,27.0,1.0,43.0,80.0,251.0,,0.0
1996,3,922,NJN,New Jersey Nets,33.0,NBA,PG,77.0,3.0,1747.0,227.0,524.0,0.43,3.0,28.0,0.11,224.0,496.0,0.45,0.44,133.0,177.0,0.75,49.0,121.0,170.0,255.0,41.0,5.0,122.0,115.0,590.0,,0.0
