TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHO,82,19780,3351,7018,0.48,796,2026,0.39,2555,4992,0.51,1556,2080,0.75,967,2652,3619,1927,572,453,1125,1563,9054
SAC,82,19855,3203,6978,0.46,522,1396,0.37,2681,5582,0.48,1577,2004,0.79,1023,2455,3478,2005,674,316,1073,1685,8505
DAL,82,19730,3058,6691,0.46,463,1273,0.36,2595,5418,0.48,1826,2314,0.79,990,2530,3520,1610,708,461,1102,1827,8405
MIA,82,19980,3097,6368,0.49,475,1260,0.38,2622,5108,0.51,1658,2466,0.67,887,2639,3526,1790,528,474,1127,1814,8327
BOS,82,19880,3046,6511,0.47,437,1252,0.35,2609,5259,0.5,1775,2323,0.76,909,2438,3347,1810,667,423,1297,2000,8304
WAS,82,19780,2966,6794,0.44,514,1498,0.34,2452,5296,0.46,1795,2476,0.72,1133,2374,3507,1563,716,347,1172,1807,8241
TOR,82,19805,2952,6656,0.44,648,1681,0.38,2304,4975,0.46,1626,2101,0.77,844,2444,3288,1670,621,317,1087,1876,8178
DEN,82,19755,3038,6615,0.46,320,940,0.34,2718,5675,0.48,1765,2313,0.76,967,2473,3440,1958,750,489,1224,1878,8161
ORL,82,19705,3034,6679,0.45,320,916,0.35,2714,5763,0.47,1772,2335,0.76,1038,2544,3582,1583,633,441,1322,1937,8160
PHI,82,19855,2946,6736,0.44,505,1453,0.35,2441,5283,0.46,1731,2194,0.79,909,2536,3445,1710,756,321,1274,1878,8128
SEA,82,19755,2882,6498,0.44,666,1824,0.36,2216,4674,0.47,1683,2131,0.79,1041,2311,3352,1487,553,338,1113,1944,8113
LAL,82,19780,2895,6629,0.44,644,1813,0.36,2251,4816,0.47,1661,2137,0.78,1028,2511,3539,1672,508,344,1176,1794,8095
GSW,82,19905,3029,7039,0.43,624,1774,0.35,2405,5265,0.46,1412,1955,0.72,1069,2436,3505,1811,642,420,1112,1833,8094
NYK,82,19880,2978,6599,0.45,441,1240,0.36,2537,5359,0.47,1580,2060,0.77,965,2393,3358,1665,629,260,1204,1942,7977
MIL,82,19780,2964,6580,0.45,325,925,0.35,2639,5655,0.47,1720,2229,0.77,985,2405,3390,1720,529,289,1132,1797,7973
MIN,82,19755,3045,6629,0.46,395,1145,0.34,2650,5484,0.48,1449,1820,0.8,947,2580,3527,1918,460,447,1079,1774,7934
CLE,82,19855,2990,6687,0.45,300,904,0.33,2690,5783,0.46,1634,2174,0.75,1117,2352,3469,1851,654,461,1141,1850,7914
SAS,82,19805,2923,6450,0.45,507,1395,0.36,2416,5055,0.48,1535,2120,0.72,987,2489,3476,1771,613,543,1126,1717,7888
LAC,82,20030,2924,6368,0.46,231,669,0.34,2693,5699,0.47,1770,2274,0.78,980,2455,3435,1901,599,422,1290,1819,7849
HOU,82,19855,2846,6419,0.44,553,1521,0.36,2293,4898,0.47,1551,1986,0.78,874,2601,3475,1733,563,378,1135,1807,7796
CHI,82,19830,2849,6592,0.43,511,1433,0.36,2338,5159,0.45,1536,2048,0.75,1001,2591,3592,1743,576,369,1371,2028,7745
CHA,82,19880,2961,6859,0.43,320,881,0.36,2641,5978,0.44,1487,2096,0.71,1083,2335,3418,1794,695,440,1192,1894,7729
MEM,82,19705,2802,6271,0.45,531,1486,0.36,2271,4785,0.48,1526,2024,0.75,887,2307,3194,1716,699,476,1197,1910,7661
DET,82,19955,2851,6421,0.44,363,1053,0.34,2488,5368,0.46,1588,2150,0.74,1054,2507,3561,1787,576,497,1133,1638,7653
IND,82,19905,2668,6169,0.43,542,1575,0.34,2126,4594,0.46,1748,2206,0.79,868,2418,3286,1489,615,357,1173,1890,7626
UTA,82,19780,2828,6301,0.45,250,762,0.33,2578,5539,0.46,1719,2272,0.76,1047,2243,3290,1826,541,374,1292,2189,7625
POR,82,19730,2896,6422,0.45,420,1161,0.36,2476,5261,0.47,1409,1944,0.72,970,2404,3374,1722,583,544,1308,1703,7621
ALT,82,19855,2942,6672,0.44,304,973,0.31,2638,5699,0.46,1417,1994,0.71,1100,2335,3435,1614,629,344,1319,2009,7605
NJN,82,19905,2753,6419,0.43,435,1203,0.36,2318,5216,0.44,1555,2039,0.76,855,2387,3242,1772,650,308,1164,1985,7496
NOH,82,19930,2718,6556,0.42,415,1316,0.32,2303,5240,0.44,1401,1830,0.77,1019,2281,3300,1724,550,310,1217,1883,7252
