TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAC,82,19755,3208,6761,0.47,693,1966,0.35,2515,4795,0.52,1741,2384,0.73,858,2668,3526,2016,703,397,1136,1767,8850
HOU,82,19830,3118,6603,0.47,779,2179,0.36,2339,4424,0.53,1814,2549,0.71,920,2797,3717,1755,621,461,1323,1676,8829
MIN,82,19855,3189,7175,0.44,600,1757,0.34,2589,5418,0.48,1790,2301,0.78,1024,2644,3668,1963,718,297,1142,1504,8768
POR,82,19855,3207,7134,0.45,770,2071,0.37,2437,5063,0.48,1569,1926,0.82,1022,2786,3808,1904,454,387,1125,1576,8753
OKC,82,19805,3194,6782,0.47,664,1839,0.36,2530,4943,0.51,1653,2052,0.81,887,2781,3668,1794,678,501,1256,1858,8705
SAS,82,19755,3326,6844,0.49,698,1757,0.4,2628,5087,0.52,1289,1642,0.78,762,2786,3548,2064,604,420,1180,1495,8639
PHO,82,19755,3172,6845,0.46,765,2055,0.37,2407,4790,0.5,1520,2004,0.76,928,2601,3529,1563,688,374,1258,1798,8629
DAL,82,19830,3249,6858,0.47,721,1877,0.38,2528,4981,0.51,1378,1733,0.8,840,2514,3354,1935,704,356,1110,1636,8597
DEN,82,19755,3147,7042,0.45,702,1959,0.36,2445,5083,0.48,1563,2154,0.73,1009,2717,3726,1838,615,459,1305,1890,8559
GSW,82,19830,3236,7005,0.46,774,2037,0.38,2462,4968,0.5,1303,1731,0.75,896,2819,3715,1912,642,407,1247,1784,8549
LAL,82,19705,3139,6980,0.45,774,2032,0.38,2365,4948,0.48,1390,1835,0.76,745,2620,3365,2006,611,446,1239,1627,8442
MIA,82,19880,3142,6272,0.5,665,1829,0.36,2477,4443,0.56,1431,1884,0.76,627,2397,3024,1847,732,367,1212,1596,8380
TOR,82,19955,2992,6718,0.44,713,1917,0.37,2279,4801,0.48,1608,2055,0.78,935,2552,3487,1737,577,343,1159,1882,8305
DET,82,19780,3182,7124,0.45,507,1580,0.32,2675,5544,0.48,1415,2111,0.67,1196,2525,3721,1714,687,395,1193,1666,8286
ALT,82,19830,3061,6688,0.46,768,2116,0.36,2293,4572,0.5,1392,1782,0.78,713,2565,3278,2041,680,326,1251,1577,8282
WAS,82,20055,3177,6920,0.46,647,1704,0.38,2530,5216,0.48,1253,1715,0.73,886,2573,3459,1909,668,377,1204,1675,8254
SAC,82,19830,3026,6766,0.45,491,1475,0.33,2535,5291,0.48,1698,2237,0.76,990,2656,3646,1547,587,318,1249,1849,8241
NOP,82,19855,3101,6761,0.46,486,1303,0.37,2615,5458,0.48,1489,1936,0.77,933,2486,3419,1745,647,523,1129,1857,8177
PHI,82,19855,3108,7150,0.44,577,1847,0.31,2531,5303,0.48,1362,1918,0.71,949,2556,3505,1791,765,330,1384,1844,8155
NYK,82,19855,3027,6739,0.45,759,2038,0.37,2268,4701,0.48,1271,1670,0.76,870,2437,3307,1641,631,367,1063,1815,8084
BRK,82,19880,2931,6391,0.46,709,1922,0.37,2222,4469,0.5,1508,2002,0.75,721,2407,3128,1714,705,311,1191,1777,8079
CLE,82,19930,3036,6955,0.44,584,1640,0.36,2452,5315,0.46,1398,1861,0.75,989,2629,3618,1738,579,304,1163,1640,8054
CHA,82,19905,2976,6730,0.44,516,1471,0.35,2460,5259,0.47,1474,2000,0.74,776,2724,3500,1778,499,421,1010,1493,7942
IND,82,19780,2949,6573,0.45,550,1542,0.36,2399,5031,0.48,1485,1907,0.78,834,2831,3665,1651,550,446,1237,1675,7933
ORL,82,19955,3022,6784,0.44,563,1596,0.35,2459,5188,0.47,1307,1714,0.76,794,2654,3448,1726,630,350,1222,1678,7914
BOS,82,19730,2996,6883,0.44,575,1729,0.33,2421,5154,0.47,1325,1706,0.78,980,2505,3485,1726,584,343,1261,1743,7892
MEM,82,19805,3122,6723,0.46,405,1147,0.35,2717,5576,0.49,1235,1666,0.74,950,2526,3476,1792,631,375,1124,1568,7884
MIL,82,19880,2952,6737,0.44,548,1553,0.35,2404,5184,0.46,1377,1843,0.75,971,2399,3370,1760,541,403,1238,1713,7829
UTA,82,19780,2951,6652,0.44,543,1577,0.34,2408,5075,0.47,1346,1803,0.75,904,2477,3381,1664,570,366,1200,1699,7791
CHI,82,19930,2843,6577,0.43,508,1459,0.35,2335,5118,0.46,1486,1908,0.78,937,2683,3620,1860,594,424,1223,1565,7680
