TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
PHO,82,19730,3339,6788,0.49,730,1770,0.41,2609,5018,0.52,1631,2117,0.77,910,2616,3526,1912,479,418,1210,1713,9039
GSW,82,19730,3329,7094,0.47,633,1687,0.38,2696,5407,0.5,1631,2085,0.78,753,2397,3150,1839,761,340,1204,1886,8922
DEN,82,19780,3124,6678,0.47,544,1517,0.36,2580,5161,0.5,1937,2508,0.77,889,2505,3394,1719,683,417,1136,1844,8729
UTA,82,19755,3227,6575,0.49,439,1207,0.36,2788,5368,0.52,1654,2233,0.74,872,2588,3460,2187,675,400,1246,1859,8547
TOR,82,19780,3199,6631,0.48,518,1397,0.37,2681,5234,0.51,1618,2118,0.76,806,2507,3313,1804,469,384,1100,1819,8534
ORL,82,19730,3005,6394,0.47,841,2241,0.38,2164,4153,0.52,1575,2176,0.72,810,2736,3546,1615,512,456,1155,1629,8426
MEM,82,19905,3223,6875,0.47,344,1020,0.34,2879,5855,0.49,1614,2202,0.73,1070,2496,3566,1543,645,399,1248,1655,8404
HOU,82,19905,3094,6923,0.45,646,1838,0.35,2448,5085,0.48,1561,2022,0.77,971,2471,3442,1790,583,318,1188,1712,8395
NYK,82,19880,3127,6876,0.46,743,2145,0.35,2384,4731,0.5,1376,1759,0.78,836,2477,3313,1772,586,305,1148,1638,8373
CLE,82,19780,3101,6391,0.48,602,1582,0.38,2499,4809,0.52,1569,2180,0.72,791,2692,3483,1835,564,425,1137,1591,8373
DAL,82,19880,3140,6760,0.46,558,1498,0.37,2582,5262,0.49,1526,1870,0.82,834,2586,3420,1917,624,449,1059,1563,8364
LAL,82,19830,3144,6875,0.46,532,1562,0.34,2612,5313,0.49,1519,1985,0.76,973,2662,3635,1730,612,400,1096,1592,8339
ALT,82,19855,3181,6801,0.47,524,1455,0.36,2657,5346,0.5,1452,1914,0.76,969,2451,3420,1789,592,413,980,1632,8338
OKC,82,19805,3063,6629,0.46,418,1229,0.34,2645,5400,0.49,1778,2210,0.8,960,2607,3567,1639,654,481,1227,1743,8322
SAS,82,19780,3150,6659,0.47,554,1547,0.36,2596,5112,0.51,1458,1969,0.74,887,2621,3508,1829,516,381,1116,1669,8312
IND,82,19705,3020,6823,0.44,659,1896,0.35,2361,4927,0.48,1564,2019,0.78,785,2618,3403,1730,585,439,1232,1848,8263
NOH,82,19830,3178,6842,0.46,571,1572,0.36,2607,5270,0.5,1293,1661,0.78,852,2450,3302,1828,625,300,1103,1606,8220
SAC,82,19880,3144,6895,0.46,482,1383,0.35,2662,5512,0.48,1430,1969,0.73,977,2518,3495,1679,564,366,1226,1827,8200
BOS,82,19780,3039,6294,0.48,499,1433,0.35,2540,4861,0.52,1559,2090,0.75,716,2449,3165,1930,701,402,1219,1816,8136
MIN,82,19780,3106,6923,0.45,403,1181,0.34,2703,5742,0.47,1436,1926,0.75,962,2556,3518,1626,597,306,1333,1699,8051
POR,82,19855,2974,6453,0.46,491,1388,0.35,2483,5065,0.49,1606,2033,0.79,913,2383,3296,1674,523,350,1012,1715,8045
PHI,82,19805,3087,6706,0.46,474,1381,0.34,2613,5325,0.49,1366,1808,0.76,941,2421,3362,1723,667,439,1192,1677,8014
MIL,82,19980,3050,6998,0.44,645,1813,0.36,2405,5185,0.46,1264,1675,0.76,965,2560,3525,1740,580,385,1085,1823,8009
CHI,82,19905,3081,6825,0.45,352,1066,0.33,2729,5759,0.47,1479,1962,0.75,937,2715,3652,1704,531,478,1175,1648,7993
MIA,82,19880,2984,6518,0.46,494,1426,0.35,2490,5092,0.49,1452,1931,0.75,875,2553,3428,1548,605,457,1079,1710,7914
WAS,82,19830,3008,6700,0.45,432,1225,0.35,2576,5475,0.47,1444,1895,0.76,966,2458,3424,1557,493,421,1219,1752,7892
LAC,82,19705,3002,6601,0.46,483,1457,0.33,2519,5144,0.49,1362,1867,0.73,927,2502,3429,1810,532,466,1285,1581,7849
CHA,82,19880,2858,6306,0.45,460,1331,0.35,2398,4975,0.48,1637,2180,0.75,858,2490,3348,1658,632,446,1290,1597,7813
DET,82,19780,2940,6602,0.44,374,1190,0.31,2566,5412,0.47,1455,1998,0.73,1053,2242,3295,1591,596,313,1100,1822,7709
NJN,82,19780,2813,6554,0.43,377,1185,0.32,2436,5369,0.45,1572,2015,0.78,897,2358,3255,1540,573,393,1182,1643,7575
