SEASON,TEAM ID,TEAM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1985,8,DEN,82,19830,3876,7976,0.49,73,235,0.31,3803,7741,0.49,2016,2568,0.78,1331,2303,3634,2266,894,424,1382,2152,9841
1985,14,LAL,82,19755,3952,7254,0.55,90,295,0.3,3862,6959,0.56,1702,2232,0.76,1063,2550,3613,2575,695,481,1537,1931,9696
1985,9,DET,82,19830,3840,7999,0.48,45,199,0.23,3795,7800,0.49,1783,2262,0.79,1403,2534,3937,2302,691,397,1341,2076,9508
1985,25,POR,82,19880,3708,7374,0.5,51,202,0.25,3657,7172,0.51,2002,2667,0.75,1202,2298,3500,2225,821,516,1481,1957,9469
1985,26,KCK,82,19755,3664,7275,0.5,63,238,0.26,3601,7037,0.51,2022,2595,0.78,1167,2327,3494,2342,661,300,1593,2169,9413
1985,2,BOS,82,19705,3721,7325,0.51,110,309,0.36,3611,7016,0.52,1860,2307,0.81,1116,2630,3746,2287,645,414,1332,1781,9412
1985,27,SAS,82,19780,3698,7202,0.51,55,202,0.27,3643,7000,0.52,1961,2571,0.76,1127,2470,3597,2316,757,443,1542,2180,9412
1985,23,PHI,82,19805,3443,6992,0.49,59,224,0.26,3384,6768,0.5,2316,2883,0.8,1301,2364,3665,1999,817,534,1575,1971,9261
1985,11,HOU,82,19830,3748,7440,0.5,41,186,0.22,3707,7254,0.51,1581,2261,0.7,1325,2395,3720,2239,683,597,1605,2033,9118
1985,7,DAL,82,19855,3560,7280,0.49,152,443,0.34,3408,6837,0.5,1844,2324,0.79,1095,2345,3440,2152,575,335,1184,1796,9116
1985,17,MIL,82,19805,3564,7256,0.49,89,294,0.3,3475,6962,0.5,1873,2473,0.76,1256,2353,3609,2164,689,486,1382,2239,9090
1985,10,GSW,82,19855,3498,7555,0.46,112,397,0.28,3386,7158,0.47,1944,2531,0.77,1327,2139,3466,1759,803,284,1460,2136,9052
1985,3,NJN,82,19755,3646,7445,0.49,52,224,0.23,3594,7221,0.5,1631,2237,0.73,1233,2325,3558,2163,772,415,1355,2011,8975
1985,29,UTA,82,19755,3478,7302,0.48,103,307,0.34,3375,6995,0.48,1878,2434,0.77,1081,2554,3635,2143,712,697,1575,1961,8937
1985,5,CHI,82,19805,3453,6909,0.5,29,161,0.18,3424,6748,0.51,1981,2526,0.78,1074,2366,3440,1992,622,468,1463,2071,8916
1985,6,CLE,82,19780,3470,7364,0.47,96,335,0.29,3374,7029,0.48,1867,2491,0.75,1203,2445,3648,2096,622,472,1387,2173,8903
1985,12,IND,82,19780,3489,7324,0.48,30,155,0.19,3459,7169,0.48,1871,2516,0.74,1198,2623,3821,1945,625,366,1622,2237,8879
1985,24,PHO,82,19805,3507,7144,0.49,87,307,0.28,3420,6837,0.5,1757,2280,0.77,1026,2425,3451,2335,727,349,1583,2034,8858
1985,13,LAC,82,19730,3527,7119,0.5,56,188,0.3,3471,6931,0.5,1674,2208,0.76,1163,2434,3597,1934,534,497,1587,1840,8784
1985,1,ALT,82,19855,3444,7119,0.48,73,235,0.31,3371,6884,0.49,1782,2371,0.75,1161,2345,3506,2009,665,541,1475,2047,8743
1985,30,WAB,82,19855,3534,7383,0.48,109,398,0.27,3425,6985,0.49,1478,1989,0.74,1012,2395,3407,2088,709,393,1282,1869,8655
1985,20,NYK,82,19830,3435,7101,0.48,51,198,0.26,3384,6903,0.49,1706,2350,0.73,1116,2102,3218,1999,754,267,1458,2398,8627
1985,21,SEA,82,19705,3277,6910,0.47,45,185,0.24,3232,6725,0.48,1777,2305,0.77,1019,2287,3306,2185,649,343,1493,1974,8376
