Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2006,26,989,SAC,Sacramento Kings,24.0,NBA,SF,67.0,1301.0,10.3,0.51,0.42,0.31,3.5,13.0,8.3,11.2,1.6,2.6,16.9,15.7,0.0,1.6,1.6,0.06,-2.1,1.3,-0.8,0.4
2007,26,989,SAC,Sacramento Kings,25.0,NBA,SF,79.0,1410.0,11.7,0.55,0.39,0.3,4.3,12.9,8.5,9.8,1.6,2.3,14.0,15.9,1.1,1.2,2.4,0.08,-1.4,0.4,-1.1,0.3
2008,26,989,SAC,Sacramento Kings,26.0,NBA,SF,79.0,2096.0,15.1,0.58,0.38,0.28,3.0,11.7,7.4,10.2,2.3,1.8,13.2,20.7,2.4,1.8,4.2,0.1,0.7,0.1,0.8,1.5
2009,26,989,SAC,Sacramento Kings,27.0,NBA,SF,65.0,1975.0,14.1,0.55,0.33,0.27,3.3,9.6,6.4,12.6,2.1,2.5,13.1,19.4,1.7,0.7,2.4,0.06,0.1,-0.5,-0.3,0.8
2010,26,989,SAC,Sacramento Kings,28.0,NBA,SG,25.0,575.0,12.4,0.55,0.34,0.1,2.2,11.1,6.6,12.1,0.9,2.4,10.3,15.7,0.6,0.3,1.0,0.08,0.1,0.2,0.3,0.3
2011,26,989,SAC,Sacramento Kings,29.0,NBA,SF,58.0,1386.0,13.5,0.55,0.47,0.16,1.9,9.2,5.5,8.0,1.9,2.6,8.1,17.3,1.9,1.1,3.0,0.1,0.4,0.6,1.0,1.0
2012,26,989,SAC,Sacramento Kings,30.0,NBA,SF,49.0,798.0,10.7,0.48,0.57,0.13,1.4,12.7,6.8,5.8,2.3,3.4,8.3,14.4,0.3,0.5,0.8,0.05,-1.6,0.9,-0.7,0.3
2013,31,989,TOT,Total After Trade,31.0,NBA,"SF,SG",58.0,1029.0,11.0,0.52,0.6,0.07,0.9,9.4,5.1,9.2,2.3,2.9,9.4,14.7,0.6,0.6,1.3,0.06,-0.7,0.8,0.2,0.6
2013,26,989,SAC,Sacramento Kings,31.0,NBA,SG,40.0,710.0,10.5,0.49,0.53,0.07,1.1,10.1,5.5,9.0,2.3,3.4,8.7,14.5,0.2,0.4,0.6,0.04,-1.1,0.6,-0.6,0.3
2013,11,989,HOU,Houston Rockets,31.0,NBA,SF,18.0,319.0,12.2,0.59,0.74,0.07,0.4,7.7,4.1,9.5,2.2,1.7,10.9,15.1,0.4,0.3,0.7,0.1,0.4,1.4,1.8,0.3
2014,11,989,HOU,Houston Rockets,32.0,NBA,SF,55.0,1083.0,9.3,0.52,0.66,0.06,2.3,9.8,6.3,8.6,1.2,2.3,9.0,13.5,0.8,0.9,1.8,0.08,-0.7,0.6,-0.1,0.5
2015,11,989,HOU,Houston Rockets,33.0,NBA,SF,14.0,200.0,3.6,0.35,0.71,0.06,1.7,7.7,4.7,11.0,2.2,1.9,13.4,16.2,-0.4,0.2,-0.2,-0.04,-4.9,0.7,-4.2,-0.1
