Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992,23.0,SAC,NBA,PF,69.0,2.0,817.0,5.0,11.0,0.452,0.1,0.1,1.0,4.9,10.9,0.448,1.0,1.2,0.821,3.4,4.8,8.2,1.7,1.4,0.7,1.8,3.1,11.1
1993,24.0,SAC,NBA,PF,59.0,9.0,834.0,7.1,14.7,0.485,0.0,0.0,,7.1,14.7,0.485,1.4,2.0,0.696,3.5,4.9,8.4,2.8,0.9,0.9,2.3,4.4,15.6
1994,25.0,TOT,NBA,PF,76.0,24.0,1365.0,5.4,11.8,0.453,0.1,0.4,0.2,5.3,11.4,0.462,1.1,1.7,0.631,3.4,6.4,9.8,2.3,1.4,1.0,2.0,4.3,11.9
1994,25.0,SAC,NBA,PF,46.0,24.0,974.0,5.6,12.1,0.463,0.0,0.0,0.0,5.6,12.1,0.465,1.1,1.9,0.596,3.7,6.3,10.0,2.6,1.6,1.0,2.1,4.3,12.4
1994,25.0,DET,NBA,PF,30.0,0.0,391.0,4.7,11.0,0.425,0.3,1.3,0.214,4.4,9.8,0.453,0.9,1.2,0.769,2.7,6.5,9.2,1.4,0.9,1.0,1.7,4.4,10.6
1995,26.0,HOU,NBA,PF,68.0,17.0,1347.0,3.9,8.8,0.445,0.9,2.3,0.407,3.0,6.5,0.459,0.8,1.1,0.738,2.8,5.6,8.5,1.8,0.7,1.1,1.6,3.1,9.6
1996,27.0,HOU,NBA,PF,74.0,0.0,651.0,4.0,9.9,0.408,2.0,5.4,0.378,2.0,4.5,0.444,0.9,1.4,0.654,2.8,5.8,8.6,1.4,1.1,0.8,1.2,3.6,11.1
1997,28.0,VAN,NBA,PF,54.0,1.0,662.0,3.9,9.0,0.436,1.4,3.8,0.362,2.6,5.2,0.49,0.7,1.2,0.591,3.6,4.8,8.5,2.6,1.4,0.9,1.5,2.8,9.9
1998,29.0,VAN,NBA,PF,82.0,0.0,1420.0,4.0,9.1,0.435,1.4,3.3,0.415,2.6,5.8,0.445,1.0,1.5,0.661,2.0,5.8,7.8,2.6,1.3,0.9,1.6,4.0,10.3
1999,30.0,VAN,NBA,PF,46.0,0.0,697.0,3.3,8.9,0.366,1.3,3.5,0.382,1.9,5.4,0.356,0.7,0.9,0.824,1.5,4.5,6.0,1.5,1.1,0.6,1.4,2.7,8.6
