Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2002,30,2633,WAS,Washington Wizards,21.0,NBA,SF,30.0,343.0,13.2,0.52,0.15,0.32,8.4,9.3,8.8,8.0,2.1,1.1,11.5,16.4,0.4,0.2,0.7,0.09,0.3,-0.3,0.0,0.2
2003,30,2633,WAS,Washington Wizards,22.0,NBA,SG,36.0,378.0,13.0,0.47,0.04,0.31,10.3,13.8,12.0,8.9,1.4,0.6,5.9,16.9,0.6,0.3,0.9,0.11,-1.7,-1.2,-2.9,-0.1
2004,13,2633,LAC,Los Angeles Clippers,23.0,NBA,SF,56.0,1376.0,12.6,0.49,0.03,0.45,9.4,12.3,10.8,11.5,2.0,0.9,14.0,16.8,1.6,0.4,2.0,0.07,-0.9,-0.7,-1.6,0.1
2005,13,2633,LAC,Los Angeles Clippers,24.0,NBA,SF,75.0,2799.0,16.1,0.54,0.11,0.27,5.7,13.2,9.6,13.1,2.0,0.4,10.6,21.0,4.2,2.6,6.8,0.12,0.8,0.0,0.7,1.9
2006,17,2633,MIL,Milwaukee Bucks,25.0,NBA,SF,75.0,2538.0,13.8,0.56,0.31,0.25,4.2,11.5,7.8,11.2,1.8,0.7,12.1,18.3,3.3,2.0,5.3,0.1,0.2,0.1,0.3,1.5
2008,17,2633,MIL,Milwaukee Bucks,27.0,NBA,SF,70.0,1521.0,10.3,0.5,0.34,0.14,5.0,12.8,8.7,8.4,1.7,0.3,12.9,17.9,0.2,0.5,0.7,0.02,-1.9,-1.2,-3.2,-0.4
2009,3,2633,NJN,New Jersey Nets,28.0,NBA,SF,71.0,1729.0,12.0,0.6,0.59,0.13,4.9,14.3,9.5,8.5,1.5,0.5,11.7,14.3,2.4,1.0,3.4,0.1,0.3,-0.4,0.0,0.8
2010,3,2633,NJN,New Jersey Nets,29.0,NBA,PF,23.0,395.0,8.0,0.48,0.54,0.17,3.1,15.9,9.2,6.3,2.0,0.6,13.1,16.8,-0.2,0.3,0.1,0.01,-3.6,0.0,-3.6,-0.2
2011,27,2633,SAS,San Antonio Spurs,30.0,NBA,SF,2.0,16.0,-5.5,0.0,1.0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,8.6,0.0,0.0,0.0,-0.14,-8.9,-2.9,-11.8,0.0
2012,13,2633,LAC,Los Angeles Clippers,31.0,NBA,SF,28.0,418.0,6.0,0.43,0.67,0.08,4.8,10.9,7.8,3.8,1.9,0.6,9.7,11.4,0.0,0.3,0.3,0.03,-3.3,-0.3,-3.6,-0.2
