Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999,30,1417,WAS,Washington Wizards,Randell Jackson,1976-01-16,23.0,NBA,PF,27.0,8.0,271.0,6.1,14.3,0.43,0.1,0.9,0.14,6.0,13.4,0.45,2.8,4.3,0.66,4.0,3.2,7.2,1.1,0.4,1.5,3.5,3.9,15.1
2000,7,1417,DAL,Dallas Mavericks,Randell Jackson,1976-01-16,24.0,NBA,PF,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
