PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Reggie Lewis,26.0,82,82.0,3070,703,1397,0.503,5,21,0.23800000000000002,698,1376,0.507,0.505,292,343,0.851,117,277,394,185,125,105,136,258,1703
Kevin Gamble,26.0,82,77.0,2496,480,908,0.529,9,31,0.29,471,877,0.537,0.534,139,157,0.885,80,206,286,219,75,37,97,200,1108
Robert Parish,38.0,79,79.0,2285,468,874,0.535,0,0,,468,874,0.535,0.535,179,232,0.772,219,486,705,70,68,97,131,172,1115
Ed Pinckney,28.0,81,36.0,1917,203,378,0.537,0,1,0.0,203,377,0.5379999999999999,0.537,207,255,0.812,252,312,564,62,70,56,73,158,613
John Bagley,31.0,73,59.0,1742,223,506,0.441,10,42,0.23800000000000002,213,464,0.45899999999999996,0.451,68,95,0.716,38,123,161,480,57,4,148,123,524
Larry Bird,35.0,45,45.0,1662,353,758,0.466,52,128,0.406,301,630,0.478,0.5,150,162,0.9259999999999999,46,388,434,306,42,33,125,82,908
Rick Fox,22.0,81,5.0,1535,241,525,0.45899999999999996,23,70,0.32899999999999996,218,455,0.479,0.48100000000000004,139,184,0.755,73,147,220,126,78,30,123,230,644
Kevin McHale,34.0,56,1.0,1398,323,634,0.509,0,13,0.0,323,621,0.52,0.509,134,163,0.8220000000000001,119,211,330,82,11,59,82,112,780
Joe Kleine,30.0,70,3.0,991,144,293,0.491,4,8,0.5,140,285,0.491,0.498,34,48,0.708,94,202,296,32,23,14,27,99,326
Dee Brown,23.0,31,20.0,883,149,350,0.426,5,22,0.22699999999999998,144,328,0.439,0.433,60,78,0.769,15,64,79,164,33,7,59,74,363
Sherman Douglas,25.0,37,0.0,654,101,222,0.455,1,9,0.111,100,213,0.469,0.457,68,100,0.68,12,45,57,153,21,9,60,68,271
Brian Shaw,25.0,17,3.0,436,70,164,0.42700000000000005,0,7,0.0,70,157,0.446,0.42700000000000005,35,40,0.875,11,58,69,89,12,10,32,29,175
Rickey Green,37.0,26,0.0,367,46,103,0.447,1,4,0.25,45,99,0.455,0.451,13,18,0.722,3,21,24,68,17,1,18,28,106
Kevin Pritchard,24.0,11,0.0,136,16,34,0.47100000000000003,0,3,0.0,16,31,0.516,0.47100000000000003,14,18,0.778,1,10,11,30,3,4,11,17,46
Stojko Vranković,28.0,19,0.0,110,15,32,0.469,0,0,,15,32,0.469,0.469,7,12,0.583,8,20,28,5,0,17,10,22,37
Tony Massenburg,24.0,7,0.0,46,4,9,0.444,0,0,,4,9,0.444,0.444,2,4,0.5,2,7,9,0,0,1,2,7,10
Kenny Battle,27.0,8,0.0,46,3,4,0.75,0,0,,3,4,0.75,0.75,8,8,1.0,3,6,9,0,1,0,2,4,14
Larry Robinson,24.0,1,0.0,6,1,5,0.2,0,0,,1,5,0.2,0.2,0,0,,2,0,2,1,0,0,1,3,2
Team Totals,,82,,19780,3543,7196,0.49200000000000005,110,359,0.306,3433,6837,0.502,0.5,1549,1917,0.8079999999999999,1095,2583,3678,2072,636,484,1165,1686,8745
