Season,Team ID,Player ID,Team ABV,Team,Player Name,Birth Date,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015,5,1923,CHI,Chicago Bulls,Doug McDermott,"January 3, 1992",23.0,NBA,SF,36.0,0.0,321.0,43.0,107.0,0.4,13.0,41.0,0.32,30.0,66.0,0.46,0.46,10.0,15.0,0.67,6.0,37.0,43.0,6.0,4.0,1.0,17.0,29.0,109.0
2016,5,1923,CHI,Chicago Bulls,Doug McDermott,"January 3, 1992",24.0,NBA,SF,81.0,4.0,1861.0,291.0,644.0,0.45,110.0,259.0,0.42,181.0,385.0,0.47,0.54,72.0,84.0,0.86,37.0,158.0,195.0,59.0,14.0,6.0,53.0,127.0,764.0
2017,31,1923,TOT,Total After Trade,Doug McDermott,"January 3, 1992",25.0,NBA,SF,66.0,5.0,1508.0,222.0,497.0,0.45,77.0,208.0,0.37,145.0,289.0,0.5,0.52,71.0,84.0,0.84,20.0,159.0,179.0,58.0,13.0,5.0,38.0,79.0,592.0
2017,5,1923,CHI,Chicago Bulls,Doug McDermott,"January 3, 1992",25.0,NBA,SF,44.0,4.0,1078.0,166.0,373.0,0.44,56.0,150.0,0.37,110.0,223.0,0.49,0.52,59.0,67.0,0.88,14.0,116.0,130.0,45.0,11.0,4.0,32.0,57.0,447.0
2017,21,1923,OKC,Oklahoma City Thunder,Doug McDermott,"January 3, 1992",25.0,NBA,SF,22.0,1.0,430.0,56.0,124.0,0.45,21.0,58.0,0.36,35.0,66.0,0.53,0.54,12.0,17.0,0.71,6.0,43.0,49.0,13.0,2.0,1.0,6.0,22.0,145.0
2018,31,1923,TOT,Total After Trade,Doug McDermott,"January 3, 1992",26.0,NBA,SF,81.0,4.0,1768.0,237.0,508.0,0.47,92.0,216.0,0.43,145.0,292.0,0.5,0.56,64.0,81.0,0.79,40.0,160.0,200.0,79.0,19.0,16.0,56.0,122.0,630.0
2018,20,1923,NYK,New York Knicks,Doug McDermott,"January 3, 1992",26.0,NBA,SF,55.0,1.0,1172.0,151.0,328.0,0.46,53.0,137.0,0.39,98.0,191.0,0.51,0.54,40.0,53.0,0.76,33.0,101.0,134.0,50.0,10.0,12.0,34.0,73.0,395.0
2018,7,1923,DAL,Dallas Mavericks,Doug McDermott,"January 3, 1992",26.0,NBA,SF,26.0,3.0,596.0,86.0,180.0,0.48,39.0,79.0,0.49,47.0,101.0,0.46,0.59,24.0,28.0,0.86,7.0,59.0,66.0,29.0,9.0,4.0,22.0,49.0,235.0
2019,12,1923,IND,Indiana Pacers,Doug McDermott,"January 3, 1992",27.0,NBA,SF,77.0,1.0,1340.0,207.0,422.0,0.49,84.0,206.0,0.41,123.0,216.0,0.57,0.59,66.0,79.0,0.84,17.0,92.0,109.0,67.0,18.0,8.0,42.0,104.0,564.0
2020,12,1923,IND,Indiana Pacers,Doug McDermott,"January 3, 1992",28.0,NBA,PF,69.0,0.0,1372.0,267.0,547.0,0.49,128.0,294.0,0.44,139.0,253.0,0.55,0.6,48.0,58.0,0.83,26.0,148.0,174.0,78.0,12.0,5.0,42.0,117.0,710.0
2021,12,1923,IND,Indiana Pacers,Doug McDermott,"January 3, 1992",29.0,NBA,PF,31.0,11.0,807.0,157.0,313.0,0.5,49.0,137.0,0.36,108.0,176.0,0.61,0.58,44.0,54.0,0.82,33.0,92.0,125.0,42.0,8.0,3.0,31.0,52.0,407.0
