PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Joe Harris,27,5,5,149,3.9,10.4,0.37200000000000005,1.0,5.1,0.19,2.9,5.3,0.545,1.9,1.9,1.0,1.4,3.6,5.1,0.7,0.7,0.0,2.2,2.9,10.6
D'Angelo Russell,22,5,5,148,9.0,25.1,0.359,2.9,9.0,0.324,6.1,16.1,0.379,2.7,3.2,0.846,0.5,3.9,4.4,4.4,1.7,0.2,3.4,2.9,23.6
Caris LeVert,24,5,2,144,9.0,18.2,0.493,3.0,6.5,0.462,6.0,11.7,0.511,5.2,7.2,0.7240000000000001,1.5,4.2,5.7,3.7,1.2,0.5,2.5,2.0,26.2
Spencer Dinwiddie,25,5,0,131,7.4,17.0,0.435,2.5,6.6,0.375,4.9,10.4,0.474,2.7,3.8,0.7140000000000001,1.1,2.5,3.6,2.2,0.5,0.0,2.2,2.7,20.1
DeMarre Carroll,32,5,3,119,2.7,11.5,0.237,2.1,7.3,0.292,0.6,4.2,0.14300000000000002,2.4,2.4,1.0,1.8,4.2,6.1,0.6,1.2,0.0,0.9,2.4,10.0
Jarrett Allen,20,5,5,110,6.2,10.5,0.594,0.0,0.0,,6.2,10.5,0.594,5.6,6.5,0.85,4.9,6.2,11.1,3.6,1.0,1.0,2.6,4.3,18.0
Jared Dudley,33,4,2,82,1.3,4.8,0.273,0.9,4.0,0.222,0.4,0.9,0.5,1.8,1.8,1.0,0.0,0.9,0.9,4.8,1.3,0.4,1.8,4.4,5.3
Treveon Graham,25,5,0,79,0.9,4.6,0.2,0.0,3.2,0.0,0.9,1.4,0.667,1.4,2.7,0.5,1.4,3.6,5.0,1.4,0.9,0.5,1.4,4.6,3.2
Rodions Kurucs,20,4,3,68,4.2,10.6,0.4,1.1,4.2,0.25,3.2,6.4,0.5,3.7,4.8,0.778,3.2,7.4,10.6,1.6,1.1,0.0,1.1,5.3,13.2
Rondae Hollis-Jefferson,24,4,0,62,9.3,19.2,0.485,0.6,0.6,1.0,8.7,18.6,0.469,11.6,14.5,0.8,1.7,5.2,7.0,3.5,0.6,2.9,1.7,4.1,30.8
Ed Davis,29,3,0,41,6.1,8.8,0.7,0.0,0.0,,6.1,8.8,0.7,1.8,1.8,1.0,3.5,13.2,16.7,1.8,0.0,0.9,0.0,7.9,14.0
Shabazz Napier,27,3,0,28,9.0,14.1,0.636,3.9,6.4,0.6,5.1,7.7,0.667,9.0,10.3,0.875,2.6,6.4,9.0,14.1,1.3,0.0,0.0,1.3,30.9
Theo Pinson,23,3,0,22,4.9,13.1,0.375,4.9,11.5,0.429,0.0,1.6,0.0,0.0,0.0,,0.0,4.9,4.9,4.9,3.3,0.0,1.6,0.0,14.7
DeMarre Carroll,19,2,0,15,4.8,7.2,0.667,0.0,2.4,0.0,4.8,4.8,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,4.8,0.0,7.2,9.6,9.6
