Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
1983,27,2556,SAS,San Antonio Spurs,22.0,NBA,SF,26.0,0.0,393.0,9.0,18.6,0.48,0.0,0.2,0.0,9.0,18.3,0.49,3.7,5.1,0.72,3.7,7.4,11.1,2.2,2.1,0.7,3.3,6.7,21.6,,104.0,105.0
1984,24,2556,PHO,Phoenix Suns,23.0,NBA,SF,50.0,0.0,586.0,7.8,16.4,0.48,0.0,0.0,,7.8,16.4,0.48,2.3,3.4,0.69,3.2,5.1,8.3,3.6,1.9,1.0,3.6,8.2,18.0,,98.0,108.0
1985,24,2556,PHO,Phoenix Suns,24.0,NBA,SF,21.0,11.0,418.0,9.5,19.6,0.49,0.0,0.0,,9.5,19.6,0.49,5.0,6.6,0.76,4.3,5.7,10.0,3.2,2.6,0.4,3.8,6.6,24.1,,104.0,105.0
1986,24,2556,PHO,Phoenix Suns,25.0,NBA,SF,82.0,5.0,1644.0,9.7,18.8,0.51,0.1,0.4,0.2,9.6,18.4,0.52,5.8,7.2,0.81,2.9,4.7,7.6,4.2,2.1,0.9,4.0,6.6,25.2,,109.0,107.0
1987,24,2556,PHO,Phoenix Suns,26.0,NBA,SF,82.0,4.0,1655.0,10.2,20.5,0.49,0.1,0.5,0.12,10.1,20.0,0.5,4.1,5.2,0.78,2.9,4.8,7.7,3.6,1.7,0.7,3.0,6.0,24.4,,107.0,111.0
1988,31,2556,TOT,Total After Trade,27.0,NBA,SF,59.0,16.0,883.0,8.4,16.6,0.5,0.0,0.1,0.0,8.4,16.5,0.51,3.2,4.2,0.78,2.1,3.9,6.0,3.1,1.7,0.5,2.7,7.2,20.0,,106.0,111.0
1988,24,2556,PHO,Phoenix Suns,27.0,NBA,SF,35.0,5.0,466.0,8.3,17.4,0.48,0.0,0.1,0.0,8.3,17.3,0.48,4.0,5.4,0.74,2.8,3.5,6.3,3.1,1.8,0.4,2.7,7.4,20.7,,105.0,113.0
1988,6,2556,CLE,Cleveland Cavaliers,27.0,NBA,SF,24.0,11.0,417.0,8.4,15.6,0.54,0.0,0.0,,8.4,15.6,0.54,2.4,2.7,0.87,1.2,4.4,5.6,3.1,1.5,0.6,2.7,6.9,19.2,,107.0,108.0
1989,6,2556,CLE,Cleveland Cavaliers,28.0,NBA,SF,82.0,82.0,2102.0,7.7,17.1,0.45,0.1,0.2,0.3,7.7,16.8,0.46,2.3,3.1,0.72,2.3,4.9,7.2,3.1,2.1,0.7,2.4,5.4,17.8,,99.0,104.0
1990,12,2556,IND,Indiana Pacers,29.0,NBA,SF,82.0,13.0,1531.0,7.3,15.5,0.47,0.2,0.5,0.36,7.1,15.0,0.47,1.8,2.4,0.73,2.5,4.9,7.4,2.9,1.4,0.7,2.6,7.1,16.5,,100.0,112.0
1991,12,2556,IND,Indiana Pacers,30.0,NBA,SF,80.0,7.0,1357.0,7.3,17.6,0.42,0.1,0.7,0.2,7.2,16.9,0.43,1.7,2.0,0.82,2.6,4.0,6.6,3.8,1.3,0.9,2.3,7.0,16.5,,97.0,114.0
1992,31,2556,TOT,Total After Trade,31.0,NBA,SF,31.0,20.0,633.0,7.3,12.8,0.57,0.1,0.2,0.33,7.2,12.5,0.58,2.9,3.7,0.77,2.1,5.5,7.6,4.2,1.9,0.8,1.7,6.6,17.6,,122.0,109.0
1992,12,2556,IND,Indiana Pacers,31.0,NBA,SF,10.0,0.0,81.0,6.6,13.2,0.5,0.0,0.0,,6.6,13.2,0.5,3.0,3.6,0.83,0.0,4.8,4.8,6.6,1.2,0.6,3.6,4.8,16.2,,102.0,112.0
1992,6,2556,CLE,Cleveland Cavaliers,31.0,NBA,SF,21.0,20.0,552.0,7.4,12.7,0.58,0.1,0.3,0.33,7.3,12.5,0.59,2.8,3.8,0.76,2.5,5.6,8.1,3.8,2.0,0.8,1.5,6.9,17.8,,126.0,108.0
1993,6,2556,CLE,Cleveland Cavaliers,32.0,NBA,SF,53.0,51.0,1189.0,8.4,16.9,0.5,0.0,0.2,0.25,8.3,16.7,0.5,2.5,3.3,0.76,2.2,5.0,7.2,3.2,1.7,1.3,2.4,6.4,19.3,,104.0,107.0
