PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Alvin Robertson,25,3,119,22.9,0.614,0.132,0.17,4.1,10.0,6.6,33.6,4.6,0.5,13.6,21.3,,0.3,0.1,0.4,0.175,,5.0,3.8,8.8,0.3
Frank Brickowski,28,3,113,16.4,0.5539999999999999,0.023,0.43200000000000005,6.1,17.5,11.0,16.4,2.4,1.0,14.7,20.9,,0.1,0.1,0.2,0.078,,1.6,0.5,2.1,0.1
Greg Anderson,23,3,95,8.0,0.475,0.0,0.25,6.2,20.9,12.4,4.1,1.0,2.4,20.0,20.2,,-0.2,0.1,-0.1,-0.07200000000000001,,-4.7,-1.8,-6.4,-0.1
Walter Berry,23,3,94,20.0,0.583,0.02,0.3,13.5,11.2,12.6,9.6,2.4,1.2,16.3,27.7,,0.1,0.1,0.2,0.079,,2.8,-1.1,1.7,0.1
Jon Sundvold,26,3,90,14.0,0.5589999999999999,0.3,0.1,1.1,4.4,2.5,21.2,2.0,0.0,8.7,14.7,,0.1,0.0,0.2,0.08199999999999999,,1.6,-0.5,1.0,0.1
Mike Mitchell,32,3,74,7.4,0.391,0.0,0.162,7.9,16.1,11.4,7.0,0.6,0.8,11.2,23.2,,-0.2,0.0,-0.1,-0.091,,-3.4,-4.3,-7.7,-0.1
Johnny Dawkins,24,3,53,4.0,0.303,0.087,0.174,1.8,5.0,3.2,11.3,1.7,0.0,3.9,18.7,,-0.1,0.0,-0.1,-0.109,,-5.3,-4.0,-9.3,-0.1
Ed Nealy,27,2,36,6.8,0.5,0.0,0.0,8.2,14.7,10.9,12.4,1.3,0.0,20.0,5.3,,0.0,0.0,0.0,0.051,,-2.6,0.1,-2.4,0.0
Kurt Nimphius,29,3,30,13.7,0.551,0.0,0.2,9.8,22.0,15.0,8.5,0.0,1.9,0.0,13.9,,0.1,0.0,0.1,0.139,,-0.6,-0.1,-0.8,0.0
Ricky Wilson,23,2,9,-11.9,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,33.3,12.8,,-0.1,0.0,-0.1,-0.32,,-14.9,-6.8,-21.7,0.0
Walter Berry,29,2,6,-27.7,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,60.0,32.0,,-0.1,0.0,-0.1,-0.909,,-26.8,-6.3,-33.1,0.0
Phil Zevenbergen,23,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.017,,-4.7,-4.5,-9.2,0.0
