PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Hakeem Olajuwon,25,4,162,39.0,0.6409999999999999,0.01,0.439,13.2,33.2,22.9,9.3,2.8,4.2,7.1,32.7,,1.0,0.3,1.3,0.385,,10.5,4.0,14.5,0.7
Rodney McCray,26,4,159,8.2,0.441,0.032,0.387,10.1,8.6,9.4,7.7,1.3,1.2,16.2,11.5,,0.0,0.1,0.1,0.026000000000000002,,-2.3,-0.7,-3.0,0.0
Sleepy Floyd,27,4,154,17.3,0.531,0.131,0.361,2.1,3.0,2.5,34.3,2.6,0.0,14.5,22.6,,0.2,0.1,0.3,0.107,,2.0,0.6,2.7,0.2
Joe Barry Carroll,29,4,116,8.6,0.428,0.0,0.213,7.4,10.8,9.1,2.6,1.3,0.5,8.9,20.5,,-0.1,0.1,0.0,-0.001,,-3.7,-1.9,-5.7,-0.1
Robert Reid,32,4,114,9.3,0.51,0.212,0.091,2.8,12.0,7.3,10.3,0.9,0.0,8.0,13.8,,0.1,0.1,0.2,0.064,,-2.5,0.6,-1.9,0.0
Jim Petersen,25,4,98,11.9,0.5479999999999999,0.0,0.522,7.7,16.3,11.9,8.9,0.5,1.2,12.4,13.9,,0.1,0.1,0.2,0.085,,-1.0,0.7,-0.3,0.0
Purvis Short,30,4,71,3.1,0.373,0.038,0.308,6.0,8.0,7.0,2.0,0.7,0.0,11.9,19.9,,-0.1,0.0,-0.1,-0.07200000000000001,,-7.3,-3.6,-10.9,-0.2
Allen Leavell,30,4,38,11.6,0.48200000000000004,0.316,0.21100000000000002,0.0,9.0,4.4,37.7,2.7,0.0,22.4,29.7,,-0.1,0.0,0.0,-0.027999999999999997,,-2.3,-0.2,-2.5,0.0
Buck Johnson,24,4,20,4.1,0.644,0.0,0.667,10.7,11.4,11.1,0.0,2.5,0.0,50.8,16.6,,-0.1,0.0,-0.1,-0.136,,-5.7,-1.1,-6.7,0.0
Cedric Maxwell,32,4,15,6.2,0.5,0.0,0.0,7.2,0.0,3.7,8.9,0.0,0.0,0.0,5.6,,0.0,0.0,0.0,0.057999999999999996,,-1.8,-1.3,-3.1,0.0
World B. Free,34,2,12,-14.0,0.0,0.5,0.0,8.9,9.5,9.2,10.3,0.0,0.0,60.0,17.5,,-0.1,0.0,-0.1,-0.43700000000000006,,-15.8,-6.5,-22.4,-0.1
Lester Conner,28,1,1,181.3,1.136,,,0.0,100.0,55.3,100.0,50.4,0.0,0.0,37.1,,0.0,0.0,0.1,2.6210000000000004,,59.0,84.3,143.4,0.0
