Season,Team ID,Player ID,Team ABV,Team,Age,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1995,13,2303,LAC,Los Angeles Clippers,24.0,NBA,SG,81.0,1208.0,13.9,0.56,0.43,0.25,5.8,7.3,6.5,10.6,1.6,0.9,11.1,20.5,1.6,0.4,2.0,0.08,0.8,-1.3,-0.5,0.4
1996,13,2303,LAC,Los Angeles Clippers,25.0,NBA,SG,65.0,784.0,12.2,0.54,0.47,0.34,6.0,9.8,7.9,9.2,1.6,1.0,13.9,18.4,0.8,0.4,1.2,0.07,-0.3,-0.9,-1.2,0.2
1997,13,2303,LAC,Los Angeles Clippers,26.0,NBA,SG,65.0,747.0,18.2,0.58,0.4,0.28,7.4,9.1,8.2,12.2,2.3,1.0,12.1,22.8,1.7,0.6,2.3,0.15,3.2,-0.2,3.0,1.0
1998,13,2303,LAC,Los Angeles Clippers,27.0,NBA,SG,67.0,1740.0,15.5,0.59,0.46,0.3,4.5,11.0,7.7,8.2,1.5,0.5,11.1,18.4,3.8,0.1,3.9,0.11,1.8,-1.7,0.2,0.9
1999,13,2303,LAC,Los Angeles Clippers,28.0,NBA,SG,49.0,1242.0,15.3,0.56,0.4,0.24,3.5,10.2,6.7,7.6,1.9,0.4,10.3,18.8,2.5,-0.2,2.3,0.09,1.8,-1.5,0.3,0.7
2001,13,2303,LAC,Los Angeles Clippers,30.0,NBA,SG,81.0,2144.0,14.6,0.57,0.44,0.27,3.0,9.7,6.4,7.6,1.1,0.6,9.2,17.8,4.5,1.0,5.5,0.12,1.5,-0.8,0.7,1.4
2002,13,2303,LAC,Los Angeles Clippers,31.0,NBA,SG,71.0,1718.0,13.8,0.6,0.5,0.24,2.9,9.2,6.1,10.4,1.3,0.5,10.9,15.4,3.8,0.8,4.5,0.13,1.4,-0.4,1.0,1.3
2003,13,2303,LAC,Los Angeles Clippers,32.0,NBA,SG,62.0,1360.0,16.0,0.6,0.45,0.27,3.7,9.3,6.5,9.1,1.3,0.5,10.1,18.5,3.3,0.3,3.6,0.13,2.5,-1.2,1.3,1.1
2004,11,2303,HOU,Houston Rockets,33.0,NBA,SF,49.0,703.0,8.7,0.51,0.64,0.08,1.8,10.1,6.1,6.3,1.2,0.5,12.8,15.4,0.1,0.8,0.9,0.06,-1.1,0.2,-0.8,0.2
2005,5,2303,CHI,Chicago Bulls,34.0,NBA,SG,68.0,841.0,12.4,0.57,0.52,0.22,2.0,8.5,5.3,10.3,1.8,0.1,11.6,17.0,1.1,1.2,2.3,0.13,-0.1,1.4,1.3,0.7
2006,5,2303,CHI,Chicago Bulls,35.0,NBA,SG,29.0,228.0,6.2,0.47,0.54,0.08,2.0,9.5,5.8,8.8,1.4,0.3,14.8,14.7,-0.2,0.2,0.1,0.02,-3.8,0.5,-3.4,-0.1
2007,24,2303,PHO,Phoenix Suns,36.0,NBA,SG,11.0,73.0,7.7,0.52,0.72,0.08,3.4,10.6,7.2,7.5,0.0,1.0,16.2,19.0,0.0,0.0,0.0,0.01,-1.3,-2.2,-3.5,0.0
2008,24,2303,PHO,Phoenix Suns,37.0,NBA,SF,16.0,113.0,8.3,0.56,0.79,0.12,1.1,10.2,6.0,11.8,0.0,0.6,14.7,16.1,0.1,0.0,0.1,0.04,-0.9,-1.6,-2.5,0.0
