PLAYER,AGE,G,MP,FG,2P,3P,eFG,FT,TS,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add
Dwyane Wade,34.0,74.0,2258.0,0.457,0.46799999999999997,0.159,0.45899999999999996,0.7929999999999999,0.517,0.34299999999999997,0.037000000000000005,101.0,95.0,45.0,91.0,105.0,96.0,124.0,13.0,-101.9,-64.9
Hassan Whiteside,26.0,73.0,2125.0,0.606,0.606,,0.606,0.65,0.629,0.48200000000000004,0.0,134.0,123.0,,121.0,86.0,116.0,175.0,,140.6,145.1
Goran Dragić,29.0,72.0,2363.0,0.47700000000000004,0.527,0.312,0.513,0.727,0.537,0.18899999999999997,0.23399999999999999,105.0,107.0,88.0,102.0,96.0,99.0,68.0,82.0,18.7,-7.7
Chris Bosh,31.0,53.0,1778.0,0.467,0.508,0.365,0.52,0.795,0.5710000000000001,0.349,0.289,103.0,103.0,103.0,103.0,105.0,105.0,126.0,102.0,26.2,52.1
Luol Deng,30.0,74.0,2394.0,0.455,0.513,0.344,0.514,0.755,0.5489999999999999,0.258,0.344,101.0,104.0,97.0,102.0,100.0,101.0,93.0,121.0,17.3,13.1
Gerald Green,30.0,69.0,1557.0,0.392,0.447,0.32299999999999995,0.46299999999999997,0.7829999999999999,0.491,0.157,0.44299999999999995,87.0,91.0,91.0,92.0,103.0,91.0,57.0,156.0,-45.9,-63.2
Justise Winslow,19.0,78.0,2232.0,0.42200000000000004,0.47100000000000003,0.276,0.457,0.684,0.489,0.253,0.251,93.0,96.0,78.0,91.0,90.0,90.0,92.0,88.0,-42.3,-53.8
Josh Richardson,22.0,52.0,1107.0,0.452,0.446,0.461,0.55,0.667,0.569,0.23199999999999998,0.423,100.0,91.0,130.0,109.0,88.0,105.0,84.0,148.0,25.6,16.6
Joe Johnson,34.0,24.0,769.0,0.518,0.569,0.41700000000000004,0.588,0.765,0.604,0.136,0.335,115.0,116.0,118.0,117.0,101.0,112.0,49.0,118.0,42.8,33.1
Tyler Johnson,23.0,36.0,863.0,0.486,0.529,0.38,0.541,0.797,0.579,0.263,0.292,107.0,108.0,108.0,108.0,105.0,107.0,95.0,103.0,18.8,20.5
Amar'e Stoudemire,33.0,52.0,762.0,0.5660000000000001,0.5660000000000001,,0.5660000000000001,0.746,0.599,0.303,0.0,125.0,115.0,,113.0,99.0,111.0,110.0,,27.9,28.9
Beno Udrih,33.0,36.0,587.0,0.434,0.462,0.33299999999999996,0.47,0.882,0.495,0.11199999999999999,0.217,96.0,94.0,94.0,94.0,117.0,92.0,40.0,76.0,-9.8,-14.6
Josh McRoberts,28.0,42.0,595.0,0.37200000000000005,0.434,0.245,0.41200000000000003,0.7,0.45299999999999996,0.27,0.331,82.0,88.0,69.0,82.0,93.0,84.0,98.0,116.0,-26.7,-29.3
Udonis Haslem,35.0,37.0,260.0,0.377,0.423,0.111,0.385,0.75,0.434,0.262,0.147,83.0,86.0,31.0,77.0,99.0,80.0,95.0,52.0,-14.3,-14.6
Mario Chalmers,29.0,6.0,120.0,0.312,0.429,0.091,0.32799999999999996,0.9229999999999999,0.43700000000000006,0.406,0.344,69.0,87.0,26.0,65.0,122.0,81.0,147.0,121.0,-11.2,-7.8
Chris Andersen,37.0,7.0,36.0,0.4,0.4,0.4,0.5,0.75,0.5529999999999999,0.4,0.5,88.0,81.0,113.0,100.0,99.0,102.0,145.0,176.0,-0.0,0.3
Jarnell Stokes,22.0,5.0,14.0,0.6,0.6,,0.6,0.5,0.595,0.4,0.0,133.0,122.0,,119.0,66.0,110.0,145.0,,1.0,0.6
Briante Weber,23.0,1.0,3.0,1.0,1.0,,1.0,,1.0,0.0,0.0,221.0,204.0,,199.0,,185.0,,,1.0,0.9
James Ennis,25.0,3.0,7.0,,,,,,,,,,,,,,,,,0.0,0.0
Team,,,,0.47,0.508,0.33299999999999996,0.506,0.742,0.544,0.29100000000000004,0.21600000000000003,104.0,103.0,94.0,101.0,98.0,101.0,105.0,76.0,44.0,42.7
League Average,,,,0.452,0.491,0.354,0.502,0.757,0.541,0.276,0.285,,,,,,,,,,
