Season,Team ID,Team ABV,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,DRB%,Arena,Attend.,Attend./G
1999,27,SAS,San Antonio Spurs,30.1,37.0,13.0,39,11,8.06,-0.94,7.12,104.0,95.0,9.0,88.6,0.37,0.14,0.52,0.48,14.6,30.4,0.26,69.5,Alamodome,527357,
1999,25,POR,Portland Trail Blazers,27.4,35.0,15.0,36,14,6.36,-0.69,5.67,104.8,97.7,7.1,89.2,0.34,0.17,0.52,0.47,14.5,31.8,0.25,71.8,Rose Garden Arena,486556,
1999,29,UTA,Utah Jazz,30.3,37.0,13.0,37,13,6.52,-0.99,5.54,105.8,98.4,7.4,87.0,0.42,0.11,0.55,0.48,16.0,30.0,0.32,70.4,Delta Center,493120,
1999,16,MIA,Miami Heat,30.3,33.0,17.0,35,15,4.96,0.15,5.11,104.7,98.9,5.8,84.8,0.35,0.23,0.54,0.49,15.3,27.3,0.26,71.0,Miami Arena,378813,
1999,9,DET,Detroit Pistons,27.7,29.0,21.0,32,18,3.42,0.55,3.97,104.2,100.3,3.9,86.3,0.34,0.18,0.53,0.48,15.6,30.5,0.26,72.0,The Palace of Auburn Hills,444585,
1999,12,IND,Indiana Pacers,30.8,33.0,17.0,32,18,3.74,0.12,3.86,108.7,104.4,4.3,86.4,0.32,0.21,0.54,0.49,12.8,28.7,0.25,69.9,Market Square Arena,404536,
1999,22,ORL,Orlando Magic,28.7,33.0,17.0,30,20,2.6,0.51,3.11,100.3,97.4,2.9,88.8,0.32,0.17,0.5,0.46,15.4,32.6,0.22,70.8,Orlando Arena,411091,
1999,1,ALT,Atlanta Hawks,29.6,31.0,19.0,31,19,2.9,-0.08,2.82,100.5,97.1,3.4,85.3,0.38,0.17,0.49,0.44,14.5,33.1,0.28,72.1,Georgia Dome,331831,
1999,14,LAL,Los Angeles Lakers,27.5,31.0,19.0,30,20,3.02,-0.35,2.68,107.6,104.3,3.3,91.6,0.38,0.17,0.54,0.5,14.1,30.6,0.26,70.2,Great Western Forum,430007,
1999,23,PHI,Philadelphia 76Ers,26.0,28.0,22.0,29,21,2.06,0.5,2.56,99.9,97.6,2.3,88.6,0.38,0.1,0.49,0.44,15.3,34.2,0.28,69.8,First Union Center,436444,
1999,24,PHO,Phoenix Suns,29.3,27.0,23.0,29,21,2.26,-0.11,2.15,105.8,103.3,2.5,90.0,0.3,0.18,0.53,0.48,13.0,28.4,0.23,69.8,America West Arena,472283,
1999,17,MIL,Milwaukee Bucks,28.3,28.0,22.0,28,22,1.66,0.0,1.66,104.9,103.0,1.9,87.0,0.3,0.16,0.53,0.49,14.3,29.0,0.22,67.6,Bradley Center,381948,
1999,20,NYK,New York Knicks,29.0,27.0,23.0,27,23,1.02,0.43,1.45,98.6,97.5,1.1,86.9,0.33,0.16,0.51,0.46,15.9,27.9,0.24,71.0,Madison Square Garden (IV),494075,
1999,11,HOU,Houston Rockets,29.6,31.0,19.0,29,21,2.32,-0.93,1.39,105.4,102.9,2.5,88.8,0.31,0.24,0.55,0.51,15.8,27.8,0.23,69.9,Compaq Center,407125,
1999,4,CHO,Charlotte Hornets,29.0,26.0,24.0,25,25,-0.1,0.73,0.63,102.3,102.4,-0.1,89.7,0.37,0.2,0.54,0.48,15.5,24.4,0.28,69.5,Charlotte Coliseum,480807,
1999,18,MIN,Minnesota Timberwolves,27.2,25.0,25.0,26,24,0.38,-0.55,-0.17,101.9,101.5,0.4,91.0,0.26,0.1,0.48,0.44,11.7,32.5,0.2,70.2,Target Center,427974,
1999,26,SAC,Sacramento Kings,26.1,27.0,23.0,24,26,-0.42,-0.47,-0.89,102.7,103.1,-0.4,96.0,0.3,0.22,0.51,0.48,14.7,30.6,0.2,67.7,ARCO Arena (II),418751,
1999,6,CLE,Cleveland Cavaliers,26.7,22.0,28.0,22,28,-1.72,0.78,-0.94,99.6,101.6,-2.0,86.4,0.38,0.15,0.52,0.46,15.9,25.1,0.28,69.0,Gund Arena,352992,
1999,28,TOR,Toronto Raptors,27.3,23.0,27.0,22,28,-1.64,0.33,-1.32,102.0,103.9,-1.9,88.8,0.34,0.17,0.5,0.45,15.0,33.8,0.26,70.2,Air Canada Centre,439190,
1999,21,SEA,Seattle Supersonics,31.2,25.0,25.0,23,27,-1.08,-0.35,-1.43,105.0,106.2,-1.2,89.6,0.34,0.23,0.52,0.48,14.3,31.9,0.23,68.6,KeyArena at Seattle Center,426800,
1999,2,BOS,Boston Celtics,24.3,19.0,31.0,22,28,-1.86,0.11,-1.75,100.4,102.4,-2.0,91.5,0.26,0.18,0.5,0.47,14.8,30.6,0.18,69.4,FleetCenter,440602,
1999,30,WAS,Washington Wizards,29.3,18.0,32.0,21,29,-2.24,0.49,-1.75,101.2,103.7,-2.5,89.8,0.3,0.15,0.51,0.47,14.1,28.2,0.21,69.5,MCI Center,402481,
1999,7,DAL,Dallas Mavericks,26.1,19.0,31.0,21,29,-2.4,-0.1,-2.5,102.3,104.9,-2.6,89.0,0.3,0.15,0.5,0.46,13.2,29.8,0.22,69.1,Reunion Arena,362837,
1999,10,GSW,Golden State Warriors,28.1,21.0,29.0,20,30,-2.5,-0.13,-2.63,98.4,101.1,-2.7,88.9,0.28,0.14,0.47,0.43,14.1,35.2,0.19,70.4,The Arena in Oakland,335837,
1999,3,NJN,New Jersey Nets,26.0,16.0,34.0,18,32,-3.78,0.58,-3.2,99.5,103.6,-4.1,91.5,0.3,0.16,0.48,0.43,13.7,31.1,0.23,69.7,Continental Airlines Arena,400387,
1999,8,DEN,Denver Nuggets,24.6,14.0,36.0,14,36,-6.6,-0.07,-6.67,103.1,110.4,-7.3,90.5,0.33,0.23,0.51,0.46,13.9,30.1,0.25,69.2,McNichols Sports Arena,296965,
1999,5,CHI,Chicago Bulls,28.6,13.0,37.0,9,41,-9.46,0.88,-8.58,92.4,103.0,-10.6,88.1,0.31,0.16,0.47,0.42,15.1,26.8,0.22,71.7,United Center,560012,
1999,13,LAC,Los Angeles Clippers,25.0,9.0,41.0,11,39,-8.82,-0.12,-8.94,100.0,109.7,-9.7,89.5,0.31,0.17,0.5,0.45,14.9,30.6,0.22,66.9,Los Angeles Memorial Sports Arena,256568,
1999,15,VAN,Vancouver Grizzlies,25.0,8.0,42.0,11,39,-8.66,-0.28,-8.94,98.4,107.9,-9.5,89.0,0.37,0.12,0.5,0.45,16.0,30.9,0.26,66.9,General Motors Place,417966,
