SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1990,13,LAC,51,Ken Bannister,PF,6-9,235,1960-04-01,US,3,"Indiana State University, Saint Augustine's College"
1990,13,LAC,0,Benoit Benjamin,C,7-0,250,1964-11-22,US,4,Creighton
1990,13,LAC,12,Torgeir Bryn,C,6-9,250,1964-08-08,NO,R,Texas State University
1990,13,LAC,3,Jay Edwards,SG,6-4,185,1969-01-03,US,R,Indiana
1990,13,LAC,11,Winston Garland,PG,6-2,170,1964-12-19,US,2,Missouri State University
1990,13,LAC,22,Tom Garrick,SG,6-2,185,1966-07-07,US,1,Rhode Island
1990,13,LAC,23,Gary Grant,PG,6-3,185,1965-04-21,US,1,Michigan
1990,13,LAC,4,Ron Harper,SG,6-6,185,1964-01-20,US,3,Miami University
1990,13,LAC,20,Steve Harris,SG,6-5,195,1963-10-15,US,4,Tulsa
1990,13,LAC,12,Jim Les,PG,5-11,165,1963-08-18,US,1,"Cleveland State University, Bradley"
1990,13,LAC,5,Danny Manning,PF,6-10,230,1966-05-17,US,1,Kansas
1990,13,LAC,15,Jeff Martin,SG,6-5,195,1967-01-14,US,R,Murray State
1990,13,LAC,14,Carlton McKinney,SG,6-4,190,1964-10-21,US,R,"Tulsa, SMU"
1990,13,LAC,33,Ken Norman,SF,6-8,215,1964-09-05,US,2,Illinois
1990,13,LAC,44,David Rivers,PG,6-0,170,1965-01-20,US,1,Notre Dame
1990,13,LAC,54,Charles Smith,PF,6-10,230,1965-07-16,US,1,Pitt
1990,13,LAC,12,Andre Turner,PG,5-11,160,1964-12-13,US,3,Memphis
1990,13,LAC,34,Reggie Williams,SF,6-7,190,1964-03-05,US,2,Georgetown
1990,13,LAC,24,Joe Wolf,C,6-11,230,1964-12-17,US,2,UNC
1990,13,LAC,42,Michael Young,SF,6-7,220,1961-01-02,US,2,Houston
